GENESIS-Tabelle: 31211-03-01-5-B
Gebäude mit Wohnraum nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
0713801;Asbach, Verbandsgem.;7675;609;605;2906;928;313;684;825;427;286;92
0713801003;Asbach, Westerwald;2392;261;179;898;265;84;186;221;159;108;31
0713801044;Neustadt (Wied);2264;145;255;1011;226;84;156;192;88;83;24
0713801077;Windhagen;1452;63;63;470;252;72;225;191;74;36;6
0713801080;Buchholz (Westerwald);1567;140;108;527;185;73;117;221;106;59;31
0713802;Bad Hönningen, Verbandsgem.;3730;693;504;1610;281;84;173;169;82;104;30
0713802004;Bad Hönningen;1719;250;212;803;133;44;91;75;52;46;13
0713802024;Hammerstein;136;33;24;43;9;-;12;6;-;6;3
0713802038;Leutesdorf;654;187;104;246;45;10;21;22;10;9;-
0713802063;Rheinbrohl;1221;223;164;518;94;30;49;66;20;43;14
0713803;Dierdorf, Verbandsgem.;3515;371;324;1379;356;109;288;365;180;129;14
0713803012;Dierdorf;1702;196;158;713;145;35;132;172;83;62;6
0713803023;Großmaischeid;819;60;87;311;88;32;74;84;36;39;8
0713803031;Isenburg;241;43;27;97;45;10;9;4;3;3;-
0713803034;Kleinmaischeid;417;35;27;142;42;15;48;65;21;22;-
0713803069;Stebach;151;10;6;48;16;17;13;23;18;-;-
0713803201;Marienhausen;185;27;19;68;20;-;12;17;19;3;-
0713804;Linz am Rhein, Verbandsgem.;6168;839;628;2288;671;206;431;630;227;179;69
0713804009;Dattenberg;566;88;49;208;73;13;44;53;10;25;3
0713804037;Leubsdorf, Rhein;665;85;63;276;84;39;42;35;32;3;6
0713804041;Linz am Rhein;1762;424;213;615;181;44;67;126;44;36;12
0713804055;Ockenfels;367;26;34;161;35;20;24;42;16;6;3
0713804068;St. Katharinen (Landkreis Neuwied);1137;85;116;367;146;34;108;190;45;36;10
0713804075;Vettelschoß;1164;40;93;488;111;44;120;140;48;45;35
0713804501;Kasbach-Ohlenberg;507;91;60;173;41;12;26;44;32;28;-
0713805;Puderbach, Verbandsgem.;5081;427;506;2165;598;140;351;504;191;153;46
0713805011;Dernbach b Dierdorf;314;18;48;130;21;3;28;41;15;10;-
0713805013;Döttesfeld;288;25;22;169;32;3;9;18;-;7;3
0713805014;Dürrholz;466;43;48;181;71;13;29;30;37;14;-
0713805025;Hanroth;206;6;9;78;25;15;26;37;7;-;3
0713805027;Harschbach;130;0;20;49;12;6;8;14;4;14;3
0713805040;Linkenbach;167;22;9;71;12;6;19;25;-;3;-
0713805048;Niederhofen;124;10;15;43;6;-;6;7;6;28;3
0713805050;Niederwambach;183;29;19;94;16;3;3;6;3;3;7
0713805052;Oberdreis;345;43;51;134;36;11;9;33;19;6;3
0713805057;Puderbach;778;54;79;382;95;23;58;58;13;13;3
0713805058;Ratzert;97;9;17;52;13;-;-;3;3;-;-
0713805059;Raubach;611;45;49;280;81;20;60;47;16;10;3
0713805064;Rodenbach bei Puderbach;254;23;35;93;39;6;20;21;6;11;-
0713805070;Steimel;451;36;27;170;56;7;18;79;29;20;9
0713805074;Urbach, Westerwald;454;39;42;158;63;17;43;54;24;14;-
0713805078;Woldert;213;25;16;81;20;7;15;31;9;-;9
0713806;Rengsdorf, Verbandsgem.;5165;445;477;2118;723;197;368;390;227;164;56
0713806002;Anhausen;447;37;26;158;68;26;50;19;37;17;9
0713806005;Bonefeld;302;36;35;110;38;9;37;25;9;-;3
0713806015;Ehlscheid;383;20;20;174;58;28;21;22;12;25;3
0713806026;Hardert;234;27;9;80;40;12;22;26;8;7;3
0713806030;Hümmerich;254;4;28;89;56;3;18;25;6;19;6
0713806036;Kurtscheid;339;21;30;167;50;3;12;21;23;6;6
0713806042;Meinborn;182;37;15;66;12;3;22;3;6;15;3
0713806043;Melsbach;688;28;36;369;113;36;15;55;19;17;-
0713806053;Oberhonnefeld-Gierend;329;19;38;135;50;3;20;31;30;3;-
0713806054;Oberraden;213;7;29;87;30;14;12;19;12;3;-
0713806061;Rengsdorf;747;102;104;287;94;26;45;39;24;16;10
0713806066;Rüscheid;268;24;29;101;35;15;20;26;9;9;-
0713806071;Straßenhaus;552;43;51;236;63;9;55;45;19;24;7
0713806072;Thalhausen;227;40;27;59;16;10;19;34;13;3;6
0713807;Unkel, Verbandsgem.;4003;517;311;1654;463;152;256;333;178;87;52
0713807008;Bruchhausen;290;46;16;111;29;9;27;40;6;-;6
0713807019;Erpel;848;118;77;378;78;37;27;67;41;10;15
0713807062;Rheinbreitbach;1421;144;106;644;144;47;97;125;69;42;3
0713807073;Unkel;1444;209;112;521;212;59;105;101;62;35;28
0713808;Waldbreitbach, Verbandsgem.;3143;225;220;1461;353;101;187;284;182;97;33
0713808006;Breitscheid Kr Neuwied;887;53;39;433;104;16;47;98;67;21;9
0713808007;Hausen (Wied);529;43;38;196;68;18;19;53;61;27;6
0713808010;Datzeroth;91;17;6;34;3;9;6;10;-;3;3
0713808047;Niederbreitbach;526;40;30;234;69;22;31;54;19;21;6
0713808065;Roßbach, Wied;509;27;40;242;54;27;50;31;16;16;6
0713808076;Waldbreitbach;601;45;67;322;55;9;34;38;19;9;3
0714000501;Boppard, verbandsfr. Gemeinde;4730;926;453;1997;376;156;220;268;165;141;28
0714002;Emmelshausen, Verbandsgem.;4939;654;357;1872;613;208;281;474;242;194;44
0714002005;Badenhard;62;-;3;46;3;3;-;7;-;-;-
0714002014;Bickenbach, Hunsrück;139;28;19;61;12;-;6;9;-;4;-
0714002016;Birkheim;45;7;-;22;10;-;-;3;-;3;-
0714002031;Dörth;178;47;20;51;13;6;6;12;14;3;6
0714002036;Emmelshausen;1311;39;57;610;202;47;66;162;67;48;13
0714002043;Gondershausen;480;104;49;169;48;13;13;38;20;26;-
0714002045;Halsenbach;433;48;37;161;56;22;19;37;40;13;-
0714002047;Hausbay;73;25;-;25;9;-;7;0;4;3;-
0714002060;Hungenroth;91;25;3;25;7;-;19;3;6;3;-
0714002063;Karbach, Hunsrück;185;24;14;63;27;9;13;13;6;13;3
0714002075;Kratzenburg;151;20;3;43;23;3;21;18;10;10;-
0714002084;Leiningen;268;35;27;77;20;13;12;47;33;4;-
0714002087;Lingerhahn;171;19;16;53;16;13;21;9;20;4;-
0714002089;Maisborn;58;10;6;20;12;-;-;10;-;-;-
0714002093;Mermuth;102;15;-;47;9;3;3;9;3;6;7
0714002098;Mühlpfad;26;9;3;10;-;-;-;4;-;-;-
0714002102;Ney;131;18;12;42;27;13;7;9;-;3;-
0714002108;Niedert;54;28;3;16;7;-;-;-;-;-;-
0714002110;Norath;165;33;20;53;9;7;12;10;-;15;6
0714002117;Pfalzfeld;264;34;18;112;28;21;12;9;7;14;9
0714002140;Schwall;111;6;10;16;12;12;17;26;3;9;-
0714002149;Thörlingen;48;3;7;3;12;7;-;10;-;6;-
0714002156;Utzenhain;49;13;3;19;7;-;4;3;-;-;-
0714002201;Beulich;203;49;24;68;22;10;14;7;6;3;-
0714002205;Morshausen;141;15;3;60;22;6;9;19;3;4;-
0714003;Kastellaun, Verbandsgem.;4928;799;394;1754;571;188;325;434;245;155;63
0714003001;Alterkülz;158;38;26;43;13;-;7;18;4;6;3
0714003009;Bell (Hunsrück);538;137;49;147;48;22;22;55;27;28;3
0714003010;Beltheim;762;115;73;294;98;17;42;53;28;29;13
0714003018;Braunshorn;240;35;19;88;21;13;16;25;13;10;-
0714003021;Buch, Hunsrück;340;70;21;122;48;15;21;26;13;-;4
0714003042;Gödenroth;175;37;9;54;19;6;16;7;17;6;4
0714003046;Hasselbach, Hunsrück;70;6;18;14;-;7;3;7;9;6;-
0714003055;Hollnich;120;31;9;39;23;6;3;3;3;3;-
0714003064;Kastellaun;1342;117;76;538;172;49;110;151;73;39;17
0714003073;Korweiler;38;15;3;3;4;3;3;-;4;-;3
0714003095;Michelbach, Hunsrück;68;9;6;23;7;4;-;6;6;3;4
0714003131;Roth, Rhein-Hunsrück-Kr;86;23;7;20;3;-;6;4;10;7;6
0714003147;Spesenroth;47;-;3;19;8;7;7;3;-;-;-
0714003153;Uhler;144;32;10;44;13;3;6;24;9;3;-
0714003202;Dommershausen;402;77;45;125;53;13;27;33;20;9;-
0714003204;Mastershausen;398;57;20;181;41;23;36;19;9;6;6
0714003502;Lahr;-;-;-;-;-;-;-;-;-;-;-
0714003503;Mörsdorf;-;-;-;-;-;-;-;-;-;-;-
0714003504;Zilshausen;-;-;-;-;-;-;-;-;-;-;-
0714004;Kirchberg (Hunsrück), Verbandsgem.;6683;947;526;2647;751;333;403;538;261;215;62
0714004006;Bärenbach b Simmern, Hunsrück;136;18;3;58;9;12;18;12;3;3;-
0714004007;Belg;42;6;6;23;7;-;-;-;-;-;-
0714004024;Büchenbeuren;464;43;27;190;69;13;44;28;9;26;15
0714004028;Dickenschied;231;25;21;66;35;18;13;40;7;6;-
0714004029;Dill;69;28;-;13;3;-;4;11;10;-;-
0714004030;Dillendorf;270;28;3;165;44;3;12;6;9;-;-
0714004040;Gehlweiler;105;19;13;36;9;3;6;13;3;3;-
0714004041;Gemünden, Hunsrück;484;84;50;223;49;15;3;31;22;7;-
0714004044;Hahn;61;13;7;27;7;-;-;-;4;3;-
0714004048;Hecken;42;10;7;17;8;-;-;-;-;-;-
0714004049;Heinzenbach;141;13;9;49;16;3;11;17;10;7;6
0714004050;Henau;88;24;16;23;7;6;6;-;6;-;-
0714004053;Hirschfeld (Hunsrück);131;9;24;62;6;6;-;7;3;11;3
0714004062;Kappel;158;19;22;61;16;8;9;17;6;-;-
0714004067;Kirchberg (Hunsrück);1148;117;69;463;159;47;63;127;36;61;6
0714004071;Kludenbach;46;7;6;16;-;4;3;4;6;-;-
0714004081;Laufersweiler;315;44;26;156;29;6;15;26;10;3;-
0714004082;Lautzenhausen;118;12;7;52;7;12;3;16;3;3;3
0714004086;Lindenschied;81;15;19;25;10;3;6;3;-;-;-
0714004090;Maitzborn;38;15;9;10;-;-;-;-;4;-;-
0714004094;Metzenhausen;37;7;4;15;-;8;-;3;-;-;-
0714004105;Nieder-Kostenz;62;18;-;23;7;-;-;10;-;4;-
0714004107;Niedersohren;151;15;12;63;12;9;6;18;10;6;-
0714004109;Niederweiler, Hunsrück;149;38;10;67;10;4;4;6;7;3;-
0714004111;Ober Kostenz;87;10;16;27;8;3;-;6;10;7;-
0714004120;Raversbeuren;64;15;6;23;7;3;-;-;3;7;-
0714004122;Reckershausen;114;10;3;58;3;3;0;11;7;19;-
0714004128;Rödelhausen;53;11;3;23;13;-;3;-;-;-;-
0714004129;Rödern;74;12;7;28;13;11;-;3;-;-;-
0714004130;Rohrbach, Hunsrück;69;27;6;24;3;3;3;-;-;-;3
0714004135;Schlierschied;65;12;9;6;25;-;-;6;7;-;-
0714004141;Schwarzen;54;9;0;16;3;-;3;8;3;4;8
0714004145;Sohren;976;51;54;383;109;101;134;70;39;26;9
0714004146;Sohrschied;49;9;12;15;3;4;3;-;-;-;3
0714004151;Todenroth;30;11;-;8;0;-;4;4;3;-;-
0714004154;Unzenberg;153;44;9;48;13;15;9;6;6;-;3
0714004159;Wahlenau;84;30;6;19;20;-;3;3;3;-;-
0714004163;Womrath;92;31;16;16;3;4;3;10;3;3;3
0714004164;Woppenroth;91;28;9;20;6;3;9;10;6;-;-
0714004165;Würrich;61;10;-;30;3;3;3;6;3;3;-
0714005;Rheinböllen, Verbandsgem.;3542;409;218;1264;547;128;281;367;172;106;50
0714005003;Argenthal;602;65;51;254;76;22;22;51;37;21;3
0714005011;Benzweiler;73;12;9;18;16;6;12;-;-;-;-
0714005027;Dichtelbach;230;43;12;50;26;7;29;26;22;12;3
0714005035;Ellern (Hunsrück);323;53;12;104;54;12;10;43;22;6;7
0714005037;Erbach, Hunsrück;155;-;11;80;16;6;15;6;6;3;12
0714005068;Kisselbach;203;22;13;81;25;17;16;23;-;3;3
0714005085;Liebshausen;183;20;18;53;14;9;15;25;23;6;-
0714005096;Mörschbach;129;49;3;22;19;7;10;10;6;-;3
0714005125;Rheinböllen;1236;92;59;440;258;31;118;138;39;48;13
0714005127;Riesweiler;289;38;18;128;43;11;18;19;4;4;6
0714005138;Schnorbach;77;9;6;27;-;-;6;22;7;-;-
0714005148;Steinbach, Hunsrück;42;6;6;7;-;-;10;4;6;3;-
0714006;Sankt Goar-Oberwesel, Verbandsgem.;3427;785;373;1153;341;135;207;178;116;93;46
0714006025;Damscheid;204;35;12;62;26;9;19;32;6;-;3
0714006080;Laudert;150;17;10;45;26;7;16;3;19;7;-
0714006104;Niederburg;228;32;18;93;31;9;12;22;3;8;-
0714006112;Oberwesel;1130;335;164;381;73;29;40;26;28;30;24
0714006116;Perscheid;137;22;4;44;16;11;6;6;24;4;-
0714006133;Sankt Goar;1123;298;124;379;79;58;77;54;16;28;10
0714006155;Urbar b St Goar;290;43;26;101;62;12;10;17;13;6;-
0714006161;Wiebelsheim;165;3;15;48;28;-;27;18;7;10;9
0714007;Simmern/Hunsrück, Verbandsgem.;5783;801;484;2055;658;272;407;515;360;172;59
0714007002;Altweidelbach;91;19;7;19;23;4;16;3;-;-;-
0714007008;Belgweiler;80;20;3;29;-;-;10;4;7;7;-
0714007012;Bergenhausen;48;12;3;12;12;3;-;6;-;-;-
0714007015;Biebern;117;24;4;45;19;6;-;6;13;-;-
0714007020;Bubach;122;17;13;46;11;-;8;11;9;4;3
0714007023;Budenbach;71;19;7;24;6;3;6;6;-;-;-
0714007039;Fronhofen;80;14;3;18;6;3;7;9;10;10;-
0714007056;Holzbach;206;30;12;69;32;6;18;16;9;10;4
0714007058;Horn;134;19;12;26;6;10;37;18;-;6;-
0714007065;Keidelheim;100;10;10;24;9;4;13;17;10;3;-
0714007070;Klosterkumbd;87;19;6;25;9;6;6;6;6;4;-
0714007076;Külz (Hunsrück);181;31;13;50;22;18;6;24;3;11;3
0714007077;Kümbdchen;161;18;3;69;21;3;9;24;11;3;-
0714007079;Laubach b Kastellaun;165;40;16;64;4;13;13;9;3;3;-
0714007092;Mengerschied;296;26;35;118;36;7;13;28;19;11;3
0714007099;Mutterschied;158;23;13;47;10;3;7;23;13;19;-
0714007100;Nannhausen;197;47;7;43;42;25;6;0;17;3;7
0714007101;Neuerkirch;117;34;10;40;3;-;15;9;3;3;-
0714007106;Niederkumbd;82;6;3;23;7;6;3;19;12;3;-
0714007113;Ohlweiler;118;32;3;38;19;-;6;10;10;-;-
0714007115;Oppertshausen;41;6;3;15;6;-;7;4;-;-;-
0714007118;Pleizenhausen;85;6;6;28;12;3;3;21;6;-;-
0714007119;Ravengiersburg;127;31;7;43;9;-;13;12;3;6;3
0714007121;Rayerschied;46;6;-;24;10;-;-;3;-;3;-
0714007123;Reich;123;22;10;45;13;3;-;21;9;-;-
0714007126;Riegenroth;60;3;7;9;14;6;6;4;4;4;3
0714007134;Sargenroth;170;39;12;56;17;16;0;9;12;6;3
0714007139;Schönborn, Hunsrück;88;6;4;34;12;4;4;11;3;7;3
0714007144;Simmern/Hunsrück;2001;170;207;821;197;95;159;157;140;28;27
0714007150;Tiefenbach, Hunsrück;280;34;35;99;55;11;6;16;12;12;-
0714007158;Wahlbach;56;9;3;25;3;4;3;3;6;-;-
0714007166;Wüschheim;95;9;7;27;13;10;7;6;10;6;-
0714100075;Lahnstein, verbandsfr. Gemeinde;4234;831;454;1741;323;221;227;226;120;69;22
0714101;Bad Ems, Verbandsgem.;4657;1083;474;1905;424;158;183;205;110;92;23
0714101006;Bad Ems;2092;649;235;807;134;48;55;82;43;27;12
0714101008;Becheln;234;49;16;80;54;3;9;3;7;13;-
0714101025;Dausenau;464;97;37;196;63;7;28;13;9;10;4
0714101041;Fachbach;408;44;28;188;56;19;21;33;6;13;-
0714101044;Frücht;195;49;13;74;12;9;13;22;-;3;-
0714101071;Kemmenau;195;30;21;89;10;10;6;17;9;-;3
0714101086;Miellen;144;19;6;59;18;13;11;18;-;-;-
0714101098;Nievern;357;71;37;141;25;29;19;4;8;19;4
0714101201;Arzbach;568;75;81;271;52;20;21;13;28;7;-
0714102;Braubach, Verbandsgem.;2455;691;239;812;265;63;136;96;70;74;9
0714102023;Dachsenhausen;365;73;16;130;50;15;29;22;17;7;6
0714102042;Filsen;235;45;29;47;12;13;34;13;18;24;-
0714102066;Kamp-Bornhofen;509;203;41;141;39;12;31;19;19;4;-
0714102108;Osterspai;463;94;48;177;51;10;21;32;3;27;-
0714102501;Braubach;883;276;105;317;113;13;21;10;13;12;3
0714103;Diez, Verbandsgem.;7438;1527;794;2464;619;372;518;594;309;184;57
0714103002;Altendiez;670;117;64;235;68;34;45;59;26;16;6
0714103005;Aull;153;24;6;51;15;7;19;19;6;6;-
0714103014;Birlenbach;508;106;51;155;57;23;42;35;15;18;6
0714103021;Charlottenberg;77;19;13;16;7;7;-;6;6;3;-
0714103022;Cramberg;177;40;27;49;13;13;20;6;9;-;-
0714103029;Diez;2532;569;337;865;131;108;196;151;116;44;15
0714103030;Dörnberg;174;46;39;45;3;3;19;10;3;-;6
0714103038;Eppenrod;230;33;9;79;25;13;15;35;12;6;3
0714103045;Geilnau;137;32;22;28;16;7;10;7;12;3;-
0714103049;Gückingen;357;25;15;98;30;50;33;52;27;24;3
0714103052;Hambach;163;12;3;53;42;9;16;14;10;4;-
0714103053;Heistenbach;355;54;38;118;39;26;13;46;6;15;-
0714103057;Hirschberg, Rhein-Lahn-Kreis;136;34;3;58;19;3;7;3;6;-;3
0714103059;Holzappel;378;92;30;129;49;20;10;18;21;3;6
0714103061;Holzheim, Rhein-Lahn-Kreis;298;54;40;97;15;16;12;48;6;7;3
0714103062;Horhausen, Rhein-Lahn-Kreis;121;26;8;43;17;8;3;13;3;-;-
0714103064;Isselbach;144;28;12;53;3;6;23;6;3;4;6
0714103076;Langenscheid;195;60;16;65;26;6;-;9;10;3;-
0714103077;Laurenburg;101;48;15;38;-;-;-;-;-;-;-
0714103124;Scheidt;118;27;15;25;12;-;12;15;6;6;-
0714103130;Steinsberg;81;28;9;28;3;-;4;9;-;-;-
0714103133;Wasenbach;117;27;0;30;9;7;9;19;6;10;-
0714103503;Balduinstein;216;26;22;106;20;6;10;14;-;12;-
0714104;Hahnstätten, Verbandsgem.;3091;597;334;1039;355;139;211;216;113;53;34
0714104020;Burgschwalbach;368;85;26;131;38;19;27;27;9;3;3
0714104043;Flacht;362;83;29;96;53;15;31;32;13;3;7
0714104051;Hahnstätten;878;124;103;315;145;44;47;35;40;22;3
0714104065;Kaltenholzhausen;205;38;22;68;19;12;21;25;-;-;-
0714104081;Lohrheim;193;51;20;61;12;6;9;14;10;6;4
0714104089;Mudershausen;141;10;31;57;6;10;0;16;7;4;-
0714104093;Netzbach;117;34;7;25;6;9;9;18;6;3;-
0714104095;Niederneisen;498;114;55;165;40;20;39;25;18;9;13
0714104102;Oberneisen;256;54;35;84;21;4;21;24;10;3;-
0714104125;Schiesheim;73;4;6;37;15;-;7;-;-;-;4
0714105;Katzenelnbogen, Verbandsgem.;3145;629;239;960;328;142;249;307;153;104;34
0714105001;Allendorf, Rhein-Lahn-Kreis;215;22;19;67;28;18;18;15;13;15;-
0714105010;Berghausen;85;13;10;24;13;-;13;3;3;6;-
0714105011;Berndroth;137;44;7;16;16;7;6;29;8;4;-
0714105013;Biebrich;134;35;20;36;13;-;7;17;6;-;-
0714105018;Bremberg;121;28;6;57;4;-;-;10;13;3;-
0714105032;Dörsdorf;133;16;7;47;9;13;18;14;6;3;-
0714105034;Ebertshausen;48;18;3;11;7;3;3;-;-;-;3
0714105036;Eisighofen;92;18;10;21;21;3;6;7;-;3;3
0714105039;Ergeshausen;56;18;3;17;-;3;6;9;-;-;-
0714105050;Gutenacker;136;28;11;53;12;3;6;10;3;10;-
0714105054;Herold;144;22;11;37;12;13;3;34;9;3;-
0714105068;Katzenelnbogen;608;85;43;207;55;20;50;60;42;31;15
0714105073;Klingelbach;232;38;7;75;21;12;41;27;4;4;3
0714105074;Kördorf;204;54;19;67;12;3;19;24;6;0;-
0714105088;Mittelfischbach;54;20;3;6;6;3;9;7;-;-;-
0714105096;Niedertiefenbach;78;23;7;32;6;3;3;4;-;-;-
0714105101;Oberfischbach;59;16;10;12;3;-;6;6;6;-;-
0714105113;Reckenroth;109;22;3;30;20;9;3;3;10;6;3
0714105117;Rettert;183;34;16;68;30;3;9;11;6;3;3
0714105118;Roth, Rhein-Lahn-Kreis;73;24;4;29;7;6;0;-;3;-;-
0714105126;Schönborn, Rhein-Lahn-Kreis;244;51;20;48;33;20;23;17;15;13;4
0714106;Nassau, Verbandsgem.;3736;743;330;1443;379;116;208;276;141;72;28
0714106003;Attenhausen;178;60;0;70;14;-;4;15;9;6;-
0714106026;Dessighofen;62;15;6;10;19;3;3;3;-;3;-
0714106027;Dienethal;88;29;4;33;9;-;7;6;-;-;-
0714106033;Dornholzhausen;84;20;3;25;12;6;6;6;3;-;3
0714106046;Geisig;128;23;8;38;10;10;3;15;17;4;-
0714106058;Hömberg;137;29;6;44;11;3;12;10;15;4;3
0714106082;Lollschied;80;26;-;22;16;-;3;7;-;3;3
0714106087;Misselberg;40;6;6;7;3;6;9;-;3;-;-
0714106091;Nassau;1112;169;161;521;102;27;35;52;21;24;-
0714106103;Obernhof;171;32;21;82;13;7;3;13;-;-;-
0714106106;Oberwies;54;15;-;24;3;3;3;3;3;-;-
0714106111;Pohl;121;30;3;45;6;-;6;16;12;3;-
0714106127;Schweighausen;82;32;3;17;-;3;7;3;11;-;6
0714106128;Seelbach b Nassau, Lahn;162;35;29;42;21;-;16;19;-;-;-
0714106129;Singhofen;643;103;24;234;71;33;54;72;30;12;10
0714106132;Sulzbach, Rhein-Lahn-Kreis;78;25;10;22;4;4;-;10;3;-;-
0714106135;Weinähr;162;36;22;56;18;4;12;7;4;3;-
0714106139;Winden, Rhein-Lahn-Kreis;308;50;24;127;47;7;25;12;10;6;-
0714106141;Zimmerschied;46;8;-;24;-;-;-;7;-;4;3
0714107;Nastätten, Verbandsgem.;5676;1044;408;1887;669;239;463;476;256;185;49
0714107009;Berg, Taunus;71;9;6;20;6;7;3;17;-;-;3
0714107012;Bettendorf;132;22;6;29;16;10;20;10;11;8;-
0714107015;Bogel;289;37;16;116;24;27;35;19;12;3;-
0714107019;Buch, Taunus;210;43;3;62;42;13;14;6;12;12;3
0714107035;Ehr;30;6;6;3;-;3;3;9;-;-;-
0714107037;Endlichhofen;54;12;3;10;4;6;4;-;3;12;-
0714107040;Eschbach b Nastätten;57;6;-;26;12;3;-;10;-;-;-
0714107047;Gemmerich;215;24;11;89;22;3;16;20;24;3;3
0714107055;Himmighofen;112;9;10;43;14;4;7;16;9;-;-
0714107060;Holzhausen an der Haide;411;86;23;143;37;13;40;43;13;10;3
0714107063;Hunzel;92;9;6;27;15;4;16;12;-;3;-
0714107067;Kasdorf;85;12;9;12;16;-;16;8;6;6;-
0714107070;Kehlbach;61;6;3;19;13;6;4;-;6;4;-
0714107078;Lautert;97;23;15;23;3;6;9;11;0;7;-
0714107080;Lipporn;103;8;6;44;17;-;7;15;-;3;3
0714107084;Marienfels;114;26;3;55;7;-;10;-;10;-;3
0714107085;Miehlen;730;166;33;239;118;47;40;42;30;15;-
0714107092;Nastätten;1248;138;123;489;147;32;98;116;44;42;19
0714107094;Niederbachheim;100;26;3;34;9;12;3;3;6;4;-
0714107097;Niederwallmenach;150;62;6;31;15;4;15;3;7;7;-
0714107100;Oberbachheim;70;13;6;15;3;3;3;10;13;4;-
0714107104;Obertiefenbach;132;30;9;19;15;9;16;25;6;3;-
0714107105;Oberwallmenach;76;30;-;23;7;3;0;6;7;-;-
0714107107;Oelsberg;187;21;20;71;17;3;13;17;9;10;6
0714107110;Hainau;69;9;13;15;6;-;3;17;-;6;-
0714107116;Rettershain;133;28;21;45;19;-;7;7;-;6;-
0714107120;Ruppertshofen, Taunus;121;23;12;29;28;3;14;6;3;3;-
0714107131;Strüth;126;43;7;36;9;3;17;4;-;4;3
0714107134;Weidenbach, Taunus;50;10;3;14;3;6;8;-;-;6;-
0714107137;Welterod;177;55;19;34;16;3;10;21;16;-;3
0714107140;Winterwerb;58;14;-;16;6;3;9;0;6;4;-
0714107502;Diethardt;116;38;7;56;3;3;3;3;3;-;-
0714108;Loreley, Verbandsgem.;3707;1041;426;1219;303;92;202;234;102;63;25
0714108004;Auel;70;6;7;37;3;-;6;7;-;4;-
0714108016;Bornich;404;112;29;133;30;15;32;22;17;7;7
0714108024;Dahlheim;295;35;50;124;37;7;12;15;9;3;3
0714108031;Dörscheid;162;27;6;58;25;4;10;28;4;-;-
0714108069;Kaub;349;207;52;57;9;6;6;-;6;6;-
0714108072;Kestert;274;88;56;76;20;6;10;14;4;-;-
0714108079;Lierschied;203;36;25;79;20;3;13;18;6;3;-
0714108083;Lykershausen;74;15;3;13;10;-;6;15;3;9;-
0714108099;Nochern;186;33;19;68;14;12;15;16;9;-;-
0714108109;Patersberg;179;34;25;61;9;13;12;10;6;9;-
0714108112;Prath;119;31;15;26;13;6;6;15;4;3;-
0714108114;Reichenberg, Rhein-Lahn-Kreis;74;22;17;16;16;-;3;-;-;-;-
0714108115;Reitzenhain;116;35;6;35;12;3;3;13;6;3;-
0714108121;Sankt Goarshausen;509;205;76;171;24;7;10;12;4;-;-
0714108122;Sauerthal;75;23;7;31;4;3;3;4;-;-;-
0714108136;Weisel;410;92;27;132;38;7;37;35;21;9;12
0714108138;Weyer;208;40;6;102;19;-;18;10;3;7;3
0714109;Loreley, Verbandsgem.;-;-;-;-;-;-;-;-;-;-;-
0714109004;Auel;-;-;-;-;-;-;-;-;-;-;-
0714109016;Bornich;-;-;-;-;-;-;-;-;-;-;-
0714109023;Dachsenhausen;-;-;-;-;-;-;-;-;-;-;-
0714109024;Dahlheim;-;-;-;-;-;-;-;-;-;-;-
0714109031;Dörscheid;-;-;-;-;-;-;-;-;-;-;-
0714109042;Filsen;-;-;-;-;-;-;-;-;-;-;-
0714109066;Kamp-Bornhofen;-;-;-;-;-;-;-;-;-;-;-
0714109069;Kaub, Stadt;-;-;-;-;-;-;-;-;-;-;-
0714109072;Kestert;-;-;-;-;-;-;-;-;-;-;-
0714109079;Lierschied;-;-;-;-;-;-;-;-;-;-;-
0714109083;Lykershausen;-;-;-;-;-;-;-;-;-;-;-
0714109099;Nochern;-;-;-;-;-;-;-;-;-;-;-
0714109108;Osterspai;-;-;-;-;-;-;-;-;-;-;-
0714109109;Patersberg;-;-;-;-;-;-;-;-;-;-;-
0714109112;Prath;-;-;-;-;-;-;-;-;-;-;-
0714109114;Reichenberg;-;-;-;-;-;-;-;-;-;-;-
0714109115;Reitzenhain;-;-;-;-;-;-;-;-;-;-;-
0714109121;Sankt Goarshausen, Loreleystadt, Stadt;-;-;-;-;-;-;-;-;-;-;-
