GENESIS-Tabelle: 12613-01-01-5-B
Sterbefälle: Gestorbene nach Geschlecht - Jahressumme -;;;;;
regionale Ebenen;;;;;
Statistik der Sterbefälle;;;;;
Gestorbene (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;männlich;weiblich
2014;0713306061;Mandel;7;4;3
2014;0713306068;Münchwald;1;0;1
2014;0713306070;Niederhausen;-;-;-
2014;0713306071;Norheim;-;-;-
2014;0713306074;Oberhausen an d.Nahe;-;-;-
2014;0713306075;Oberstreit;3;2;1
2014;0713306086;Roxheim;16;6;10
2014;0713306088;Sankt Katharinen;5;2;3
2014;0713306089;Schloßböckelheim;5;3;2
2014;0713306098;Sommerloch;3;0;3
2014;0713306099;Spabrücken;14;7;7
2014;0713306100;Spall;0;0;0
2014;0713306101;Sponheim;10;7;3
2014;0713306105;Traisen;-;-;-
2014;0713306107;Waldböckelheim;14;8;6
2014;0713306109;Wallhausen, Kr Bad Kreuznach;19;9;10
2014;0713306112;Weinsheim, Kr Bad Kreuznach;18;6;12
2014;0713306115;Winterbach, Kr Bad Kreuznach;2;1;1
2014;0713306117;Rüdesheim;29;14;15
2014;0713307;Bad Sobernheim, Verbandsgem.;192;96;96
2014;0713307005;Auen;1;1;0
2014;0713307009;Bärweiler;5;3;2
2014;0713307022;Daubach, Hunsrück;2;2;0
2014;0713307050;Ippenschied;0;0;0
2014;0713307053;Kirschroth;3;2;1
2014;0713307055;Langenthal;2;2;0
2014;0713307057;Lauschied;5;1;4
2014;0713307062;Martinstein;4;1;3
2014;0713307064;Meddersheim;7;4;3
2014;0713307066;Merxheim;14;8;6
2014;0713307067;Monzingen;17;8;9
2014;0713307072;Nußbaum;6;2;4
2014;0713307076;Odernheim am Glan;17;8;9
2014;0713307082;Rehbach;0;0;0
2014;0713307094;Seesbach;7;3;4
2014;0713307102;Staudernheim;13;6;7
2014;0713307111;Weiler bei Monzingen;5;4;1
2014;0713307116;Winterburg;2;2;0
2014;0713307501;Bad Sobernheim;82;39;43
2014;0713308;Stromberg, Verbandsgem.;102;52;50
2014;0713308023;Daxweiler;8;4;4
2014;0713308025;Dörrebach;4;4;0
2014;0713308028;Eckenroth;1;1;0
2014;0713308085;Roth b Stromberg, Hunsrück;4;2;2
2014;0713308091;Schöneberg, Hunsrück;9;6;3
2014;0713308093;Schweppenhausen;6;2;4
2014;0713308095;Seibersbach;14;8;6
2014;0713308103;Stromberg;49;21;28
2014;0713308108;Waldlaubersheim;4;2;2
2014;0713308110;Warmsroth;3;2;1
2014;0713400045;Idar-Oberstein, verbandsfr. Gemeinde;435;207;228
2014;0713401;Baumholder, Verbandsgem.;130;66;64
2014;0713401005;Baumholder;68;36;32
2014;0713401007;Berglangenbach;7;2;5
2014;0713401008;Berschweiler bei Baumholder;5;2;3
2014;0713401021;Eckersweiler;3;1;2
2014;0713401026;Fohren-Linden;2;1;1
2014;0713401027;Frauenberg;2;1;1
2014;0713401033;Hahnweiler;0;0;0
2014;0713401036;Heimbach, Nahe;14;9;5
2014;0713401051;Leitzweiler;1;1;0
2014;0713401054;Mettweiler;3;0;3
2014;0713401068;Reichenbach, Kr Birkenfeld, Nahe;4;2;2
2014;0713401073;Rohrbach, Nahe;5;3;2
2014;0713401074;Rückweiler;2;1;1
2014;0713401075;Ruschberg;14;7;7
2014;0713402;Birkenfeld, Verbandsgem.;214;105;109
2014;0713402001;Abentheuer;5;2;3
2014;0713402002;Achtelsbach;4;3;1
2014;0713402010;Birkenfeld, Nahe;88;37;51
2014;0713402011;Börfink;2;1;1
2014;0713402015;Brücken;8;5;3
2014;0713402016;Buhlenberg;4;2;2
2014;0713402018;Dambach;3;1;2
2014;0713402020;Dienstweiler;3;2;1
2014;0713402022;Elchweiler;2;1;1
2014;0713402023;Ellenberg b Birkenfeld, Nahe;0;0;0
2014;0713402024;Ellweiler;5;3;2
2014;0713402029;Gimbweiler;2;0;2
2014;0713402031;Gollenberg;3;1;2
2014;0713402034;Hattgenstein;3;3;0
2014;0713402042;Hoppstädten-Weiersbach;26;15;11
2014;0713402048;Kronweiler;0;0;0
2014;0713402050;Leisel;6;1;5
2014;0713402053;Meckenbach Kr Birkenfeld, Nahe;1;0;1
2014;0713402057;Niederbrombach;6;5;1
2014;0713402058;Niederhambach;2;1;1
2014;0713402061;Nohen;3;2;1
2014;0713402062;Oberbrombach;3;1;2
2014;0713402063;Oberhambach;1;1;0
2014;0713402070;Rimsberg;2;2;0
2014;0713402071;Rinzenberg;5;2;3
2014;0713402072;Rötsweiler-Nockenthal;7;3;4
2014;0713402078;Schmißberg;3;2;1
2014;0713402080;Schwollen;7;3;4
2014;0713402084;Siesbach;4;3;1
2014;0713402085;Sonnenberg-Winnenberg;5;2;3
2014;0713402094;Wilzenberg-Hußweiler;1;1;0
2014;0713403;Herrstein, Verbandsgem.;220;108;112
2014;0713403003;Allenbach;6;2;4
2014;0713403006;Bergen b Kirn, Nahe;5;4;1
2014;0713403009;Berschweiler bei Kirn;7;5;2
2014;0713403013;Breitenthal  b Idar Oberstein;1;1;0
2014;0713403014;Bruchweiler;2;2;0
2014;0713403019;Dickesbach;5;2;3
2014;0713403025;Fischbach b Idar-Oberstein;9;4;5
2014;0713403028;Gerach b Idar-Oberstein;2;1;1
2014;0713403032;Griebelschied;1;0;1
2014;0713403038;Herborn b Idar-Oberstein;7;2;5
2014;0713403039;Herrstein;37;20;17
2014;0713403040;Hettenrodt;10;6;4
2014;0713403041;Hintertiefenbach;9;4;5
2014;0713403046;Kempfeld;8;7;1
2014;0713403047;Kirschweiler;25;10;15
2014;0713403052;Mackenrodt;4;1;3
2014;0713403055;Mittelreidenbach;12;3;9
2014;0713403056;Mörschied;5;2;3
2014;0713403059;Niederhosenbach;2;0;2
2014;0713403060;Niederwörresbach;17;8;9
2014;0713403064;Oberhosenbach;4;2;2
2014;0713403066;Oberreidenbach;8;3;5
2014;0713403067;Oberwörresbach;0;0;0
2014;0713403077;Schmidthachenbach;6;3;3
2014;0713403081;Sensweiler;3;1;2
2014;0713403082;Sien;1;1;0
2014;0713403083;Sienhachenbach;2;1;1
2014;0713403086;Sonnschied;2;2;0
2014;0713403089;Veitsrodt;7;4;3
2014;0713403090;Vollmersbach;6;3;3
2014;0713403091;Weiden;0;0;0
2014;0713403093;Wickenrodt;0;0;0
2014;0713403095;Wirschweiler;4;2;2
2014;0713403502;Langweiler b Idar-Oberstein;3;2;1
2014;0713404;Rhaunen, Verbandsgem.;101;45;56
2014;0713404004;Asbach, Hunsrück;4;2;2
2014;0713404012;Bollenbach;2;2;0
2014;0713404017;Bundenbach;10;4;6
2014;0713404030;Gösenroth;2;0;2
2014;0713404035;Hausen, Hunsrück;4;3;1
2014;0713404037;Hellertshausen;4;2;2
2014;0713404043;Horbruch;4;0;4
2014;0713404044;Hottenbach;7;3;4
2014;0713404049;Krummenau;2;1;1
2014;0713404065;Oberkirn;4;3;1
2014;0713404069;Rhaunen;32;10;22
2014;0713404076;Schauren b Idar-Oberstein;4;2;2
2014;0713404079;Schwerbach;0;0;0
2014;0713404087;Stipshausen;21;12;9
2014;0713404088;Sulzbach b Idar-Oberstein;1;1;0
2014;0713404092;Weitersbach;0;0;0
2014;0713500020;Cochem, verbandsfr. Gemeinde;-;-;-
2014;0713501;Cochem-Land, Verbandsgem.;261;140;121
2014;0713501007;Beilstein, Mosel;0;0;0
2014;0713501012;Bremm;11;6;5
2014;0713501015;Briedern;5;1;4
2014;0713501017;Bruttig-Fankel;8;3;5
2014;0713501020;Cochem, Stadt;80;43;37
2014;0713501021;Dohr;3;0;3
2014;0713501024;Ediger-Eller;13;6;7
2014;0713501025;Ellenz-Poltersdorf;8;4;4
2014;0713501027;Ernst;2;2;0
2014;0713501029;Faid;9;3;6
2014;0713501036;Greimersburg;7;4;3
2014;0713501049;Klotten;22;12;10
2014;0713501053;Lieg;6;5;1
2014;0713501056;Lütz;2;2;0
2014;0713501060;Mesenich;3;0;3
2014;0713501065;Moselkern;9;5;4
2014;0713501066;Müden (Mosel);6;5;1
2014;0713501069;Nehren, Mosel;1;0;1
2014;0713501072;Pommern;10;6;4
2014;0713501079;Senheim;5;3;2
2014;0713501082;Treis-Karden;43;23;20
2014;0713501086;Valwig;4;3;1
2014;0713501090;Wirfus;4;4;0
2014;0713502;Kaisersesch, Verbandsgem.;184;77;107
2014;0713502009;Binningen;9;3;6
2014;0713502011;Brachtendorf;2;0;2
2014;0713502014;Brieden;3;0;3
2014;0713502016;Brohl;6;4;2
2014;0713502022;Dünfus;6;0;6
2014;0713502023;Düngenheim;22;10;12
2014;0713502026;Eppenberg;2;1;1
2014;0713502028;Eulgem;0;0;0
2014;0713502031;Forst (Eifel);5;2;3
2014;0713502033;Gamlen;2;0;2
2014;0713502038;Hambuch;4;2;2
2014;0713502040;Hauroth;6;1;5
2014;0713502042;Illerich;3;2;1
2014;0713502043;Kaifenheim;6;1;5
2014;0713502044;Kail;4;2;2
2014;0713502045;Kaisersesch;41;16;25
2014;0713502046;Kalenborn b Kaisersesch;2;1;1
2014;0713502051;Landkern;10;4;6
2014;0713502052;Laubach, Eifel;9;6;3
2014;0713502058;Masburg;18;10;8
2014;0713502062;Möntenich;2;1;1
2014;0713502067;Müllenbach b Mayen;7;4;3
2014;0713502075;Roes;7;3;4
2014;0713502084;Urmersbach;0;0;0
2014;0713502093;Zettingen;6;3;3
2014;0713502502;Leienkaul;2;1;1
2014;0713503;Ulmen, Verbandsgem.;169;73;96
2014;0713503002;Alflen;10;6;4
2014;0713503005;Auderath;6;2;4
2014;0713503008;Beuren, Eifel;7;5;2
2014;0713503018;Büchel b Cochem;14;3;11
2014;0713503030;Filz;0;0;0
2014;0713503034;Gevenich;4;0;4
2014;0713503035;Gillenbeuren;7;6;1
2014;0713503048;Kliding;2;0;2
2014;0713503057;Lutzerath;32;15;17
2014;0713503078;Schmitt;2;0;2
2014;0713503083;Ulmen;51;18;33
2014;0713503085;Urschmitt;3;2;1
2014;0713503087;Wagenhausen;0;0;0
2014;0713503089;Weiler b Gevenich, Eifel;5;3;2
2014;0713503091;Wollmerath;2;2;0
2014;0713503501;Bad Bertrich;24;11;13
2014;0713504;Treis-Karden, Verbandsgem.;-;-;-
2014;0713504009;Binningen;-;-;-
2014;0713504014;Brieden;-;-;-
2014;0713504016;Brohl;-;-;-
2014;0713504022;Dünfus;-;-;-
2014;0713504031;Forst (Eifel);-;-;-
2014;0713504044;Kail;-;-;-
2014;0713504050;Lahr, Hunsrück;-;-;-
2014;0713504053;Lieg;-;-;-
2014;0713504056;Lütz;-;-;-
2014;0713504062;Möntenich;-;-;-
2014;0713504063;Mörsdorf, Hunsrück;-;-;-
2014;0713504065;Moselkern;-;-;-
2014;0713504066;Müden (Mosel);-;-;-
2014;0713504072;Pommern;-;-;-
2014;0713504075;Roes;-;-;-
2014;0713504082;Treis-Karden;-;-;-
2014;0713504094;Zilshausen;-;-;-
2014;0713505;Zell (Mosel), Verbandsgem.;214;87;127
2014;0713505001;Alf;28;8;20
2014;0713505003;Altlay;3;2;1
2014;0713505004;Altstrimmig;3;0;3
2014;0713505010;Blankenrath;55;19;36
2014;0713505013;Briedel;17;5;12
2014;0713505019;Bullay;9;4;5
2014;0713505032;Forst (Hunsrück);1;1;0
2014;0713505037;Grenderich;5;2;3
2014;0713505039;Haserich;5;3;2
2014;0713505041;Hesweiler;0;0;0
2014;0713505054;Liesenich;3;1;2
2014;0713505061;Mittelstrimmig;4;3;1
2014;0713505064;Moritzheim;1;0;1
2014;0713505068;Neef;3;1;2
2014;0713505070;Panzweiler;3;2;1
2014;0713505071;Peterswald-Löffelscheid;4;3;1
2014;0713505073;Pünderich;10;5;5
2014;0713505074;Reidenhausen;5;1;4
2014;0713505076;Sankt Aldegund;6;4;2
2014;0713505077;Schauren b Blankenrath;1;1;0
2014;0713505080;Sosberg;6;4;2
2014;0713505081;Tellig;4;3;1
2014;0713505088;Walhausen;0;0;0
2014;0713505092;Zell (Mosel);38;15;23
2014;0713700003;Andernach, verbandsfr. Gemeinde;366;160;206
2014;0713700068;Mayen, verbandsfr. Gemeinde;235;107;128
2014;0713700203;Bendorf, Rhein, verbandsfr. Gemeinde;170;74;96
2014;0713701;Pellenz, Verbandsgem.;186;91;95
2014;0713701056;Kretz;8;5;3
2014;0713701057;Kruft;45;29;16
2014;0713701081;Nickenich;42;19;23
2014;0713701088;Plaidt;62;21;41
2014;0713701096;Saffig;29;17;12
2014;0713702;Maifeld, Verbandsgem.;266;127;139
2014;0713702023;Einig;0;0;0
2014;0713702027;Gappenach;1;0;1
2014;0713702029;Gering;2;2;0
2014;0713702030;Gierschnach;1;0;1
2014;0713702041;Kalt;2;1;1
2014;0713702048;Kerben;1;0;1
2014;0713702053;Kollig;5;3;2
2014;0713702065;Lonnig;6;5;1
2014;0713702070;Mertloch;14;10;4
2014;0713702080;Naunheim;4;1;3
2014;0713702086;Ochtendung;76;35;41
2014;0713702087;Pillig;9;6;3
2014;0713702089;Polch;66;33;33
2014;0713702095;Rüber;7;5;2
2014;0713702102;Trimbs;8;3;5
2014;0713702112;Welling;8;2;6
2014;0713702114;Wierschem;3;2;1
2014;0713702501;Münstermaifeld;53;19;34
2014;0713703;Vordereifel, Verbandsgem.;170;85;85
2014;0713703001;Acht;4;4;0
2014;0713703004;Anschau;0;0;0
2014;0713703006;Arft;2;1;1
2014;0713703007;Baar;3;2;1
2014;0713703011;Bermel;4;1;3
2014;0713703014;Boos, Eifel;7;3;4
2014;0713703019;Ditscheid;1;0;1
2014;0713703025;Ettringen, Eifel;23;11;12
2014;0713703034;Hausten;4;2;2
2014;0713703035;Herresbach;3;0;3
2014;0713703036;Hirten;1;0;1
2014;0713703043;Kehrig;15;7;8
2014;0713703049;Kirchwald;9;4;5
2014;0713703055;Kottenheim;37;19;18
2014;0713703060;Langenfeld, Eifel;8;7;1
2014;0713703061;Langscheid;1;1;0
2014;0713703063;Lind b Mayen;0;0;0
2014;0713703066;Luxem;3;2;1
2014;0713703074;Monreal;7;4;3
2014;0713703077;Münk;0;0;0
2014;0713703079;Nachtsheim;9;5;4
2014;0713703092;Reudelsterz;4;3;1
2014;0713703097;Sankt Johann b Mayen;7;2;5
2014;0713703099;Siebenbach;1;1;0
2014;0713703105;Virneburg;6;1;5
2014;0713703110;Weiler b Mayen;11;5;6
2014;0713703113;Welschenbach;0;0;0
2014;0713704;Mendig, Verbandsgem.;141;69;72
2014;0713704008;Bell;16;6;10
2014;0713704069;Mendig;99;52;47
2014;0713704093;Rieden, Eifel;11;6;5
2014;0713704101;Thür;10;4;6
2014;0713704106;Volkesfeld;5;1;4
2014;0713705;Rhens, Verbandsgem.;-;-;-
2014;0713705204;Brey;-;-;-
2014;0713705221;Rhens;-;-;-
2014;0713705223;Spay;-;-;-
2014;0713705227;Waldesch;-;-;-
2014;0713706;Untermosel, Verbandsgem.;-;-;-
2014;0713706201;Alken;-;-;-
2014;0713706205;Brodenbach;-;-;-
2014;0713706206;Burgen, Mosel;-;-;-
2014;0713706207;Dieblich;-;-;-
2014;0713706208;Hatzenport;-;-;-
2014;0713706212;Kobern-Gondorf;-;-;-
2014;0713706214;Löf;-;-;-
2014;0713706215;Macken;-;-;-
2014;0713706217;Niederfell;-;-;-
2014;0713706219;Nörtershausen;-;-;-
2014;0713706220;Oberfell;-;-;-
2014;0713706230;Winningen, Mosel;-;-;-
2014;0713706231;Wolken;-;-;-
2014;0713706504;Lehmen;-;-;-
2014;0713707;Vallendar, Verbandsgem.;200;97;103
2014;0713707218;Niederwerth;11;5;6
2014;0713707224;Urbar b Koblenz am Rhein;27;12;15
2014;0713707226;Vallendar;138;66;72
2014;0713707229;Weitersburg;24;14;10
2014;0713708;Weißenthurm, Verbandsgem.;352;200;152
2014;0713708202;Bassenheim;26;18;8
2014;0713708209;Kaltenengers;14;7;7
2014;0713708211;Kettig;45;22;23
2014;0713708216;Mülheim-Kärlich;95;50;45
2014;0713708222;Sankt Sebastian;11;8;3
2014;0713708225;Urmitz;27;20;7
2014;0713708228;Weißenthurm;134;75;59
2014;0713709;Rhein-Mosel;268;137;131
2014;0713709201;Alken;5;3;2
2014;0713709204;Brey;10;6;4
2014;0713709205;Brodenbach;5;3;2
2014;0713709206;Burgen;13;9;4
2014;0713709207;Dieblich;19;9;10
2014;0713709208;Hatzenport;8;4;4
2014;0713709212;Kobern-Gondorf;39;21;18
2014;0713709214;Löf;7;2;5
2014;0713709215;Macken;5;3;2
2014;0713709217;Niederfell;11;3;8
2014;0713709219;Nörtershausen;5;4;1
2014;0713709220;Oberfell;13;8;5
2014;0713709221;Rhens;25;17;8
2014;0713709223;Spay;18;6;12
2014;0713709227;Waldesch;27;14;13
2014;0713709230;Winningen;38;14;24
2014;0713709231;Wolken;5;4;1
2014;0713709504;Lehmen;15;7;8
2014;0713800045;Neuwied, verbandsfr. Gemeinde;859;363;496
2014;0713801;Asbach, Verbandsgem.;198;96;102
2014;0713801003;Asbach, Westerwald;61;30;31
2014;0713801044;Neustadt (Wied);79;31;48
2014;0713801077;Windhagen;28;16;12
2014;0713801080;Buchholz (Westerwald);30;19;11
2014;0713802;Bad Hönningen, Verbandsgem.;162;84;78
2014;0713802004;Bad Hönningen;70;36;34
2014;0713802024;Hammerstein;0;0;0
2014;0713802038;Leutesdorf;29;19;10
2014;0713802063;Rheinbrohl;63;29;34
2014;0713803;Dierdorf, Verbandsgem.;125;60;65
2014;0713803012;Dierdorf;70;30;40
2014;0713803023;Großmaischeid;27;14;13
2014;0713803031;Isenburg;1;1;0
2014;0713803034;Kleinmaischeid;19;11;8
2014;0713803069;Stebach;4;1;3
2014;0713803201;Marienhausen;4;3;1
2014;0713804;Linz am Rhein, Verbandsgem.;235;120;115
2014;0713804009;Dattenberg;15;12;3
2014;0713804037;Leubsdorf, Rhein;13;4;9
2014;0713804041;Linz am Rhein;131;61;70
2014;0713804055;Ockenfels;5;3;2
2014;0713804068;St. Katharinen (Landkreis Neuwied);26;16;10
2014;0713804075;Vettelschoß;31;15;16
2014;0713804501;Kasbach-Ohlenberg;14;9;5
2014;0713805;Puderbach, Verbandsgem.;155;87;68
2014;0713805011;Dernbach b Dierdorf;10;6;4
2014;0713805013;Döttesfeld;7;5;2
2014;0713805014;Dürrholz;15;7;8
2014;0713805025;Hanroth;6;3;3
2014;0713805027;Harschbach;1;1;0
2014;0713805040;Linkenbach;2;2;0
2014;0713805048;Niederhofen;5;3;2
2014;0713805050;Niederwambach;4;2;2
2014;0713805052;Oberdreis;11;5;6
2014;0713805057;Puderbach;35;16;19
2014;0713805058;Ratzert;1;0;1
2014;0713805059;Raubach;19;12;7
2014;0713805064;Rodenbach bei Puderbach;11;6;5
2014;0713805070;Steimel;14;11;3
2014;0713805074;Urbach, Westerwald;12;7;5
2014;0713805078;Woldert;2;1;1
2014;0713806;Rengsdorf, Verbandsgem.;168;84;84
2014;0713806002;Anhausen;8;6;2
2014;0713806005;Bonefeld;8;6;2
2014;0713806015;Ehlscheid;7;6;1
2014;0713806026;Hardert;18;5;13
2014;0713806030;Hümmerich;14;7;7
2014;0713806036;Kurtscheid;12;5;7
2014;0713806042;Meinborn;5;2;3
2014;0713806043;Melsbach;23;14;9
2014;0713806053;Oberhonnefeld-Gierend;11;6;5
2014;0713806054;Oberraden;0;0;0
2014;0713806061;Rengsdorf;29;12;17
2014;0713806066;Rüscheid;4;2;2
2014;0713806071;Straßenhaus;25;10;15
2014;0713806072;Thalhausen;4;3;1
2014;0713807;Unkel, Verbandsgem.;149;68;81
2014;0713807008;Bruchhausen;5;2;3
2014;0713807019;Erpel;27;15;12
2014;0713807062;Rheinbreitbach;31;16;15
2014;0713807073;Unkel;86;35;51
2014;0713808;Waldbreitbach, Verbandsgem.;131;65;66
2014;0713808006;Breitscheid Kr Neuwied;16;12;4
2014;0713808007;Hausen (Wied);51;28;23
2014;0713808010;Datzeroth;3;1;2
2014;0713808047;Niederbreitbach;11;4;7
2014;0713808065;Roßbach, Wied;21;10;11
2014;0713808076;Waldbreitbach;29;10;19
2014;0714000501;Boppard, verbandsfr. Gemeinde;218;106;112
2014;0714002;Emmelshausen, Verbandsgem.;165;86;79
2014;0714002005;Badenhard;1;1;0
2014;0714002014;Bickenbach, Hunsrück;3;2;1
2014;0714002016;Birkheim;1;0;1
2014;0714002031;Dörth;4;3;1
2014;0714002036;Emmelshausen;69;33;36
2014;0714002043;Gondershausen;9;6;3
2014;0714002045;Halsenbach;7;6;1
2014;0714002047;Hausbay;4;2;2
2014;0714002060;Hungenroth;1;1;0
2014;0714002063;Karbach, Hunsrück;9;7;2
2014;0714002075;Kratzenburg;5;1;4
2014;0714002084;Leiningen;9;5;4
2014;0714002087;Lingerhahn;0;0;0
2014;0714002089;Maisborn;2;2;0
2014;0714002093;Mermuth;3;2;1
2014;0714002098;Mühlpfad;1;0;1
2014;0714002102;Ney;3;2;1
2014;0714002108;Niedert;2;1;1
2014;0714002110;Norath;3;1;2
2014;0714002117;Pfalzfeld;13;5;8
2014;0714002140;Schwall;4;1;3
2014;0714002149;Thörlingen;2;1;1
2014;0714002156;Utzenhain;1;1;0
2014;0714002201;Beulich;4;0;4
2014;0714002205;Morshausen;5;3;2
2014;0714003;Kastellaun, Verbandsgem.;202;78;124
2014;0714003001;Alterkülz;3;0;3
2014;0714003009;Bell (Hunsrück);19;6;13
2014;0714003010;Beltheim;45;17;28
2014;0714003018;Braunshorn;6;2;4
2014;0714003021;Buch, Hunsrück;10;4;6
2014;0714003042;Gödenroth;1;0;1
2014;0714003046;Hasselbach, Hunsrück;2;2;0
2014;0714003055;Hollnich;4;0;4
2014;0714003064;Kastellaun;70;24;46
2014;0714003073;Korweiler;0;0;0
2014;0714003095;Michelbach, Hunsrück;1;0;1
2014;0714003131;Roth, Rhein-Hunsrück-Kr;4;4;0
2014;0714003147;Spesenroth;0;0;0
2014;0714003153;Uhler;5;4;1
2014;0714003202;Dommershausen;10;5;5
2014;0714003204;Mastershausen;13;7;6
2014;0714003502;Lahr;1;0;1
2014;0714003503;Mörsdorf;8;3;5
2014;0714003504;Zilshausen;0;0;0
2014;0714004;Kirchberg (Hunsrück), Verbandsgem.;209;83;126
2014;0714004006;Bärenbach b Simmern, Hunsrück;4;2;2
2014;0714004007;Belg;0;0;0
2014;0714004024;Büchenbeuren;12;5;7
2014;0714004028;Dickenschied;7;2;5
2014;0714004029;Dill;0;0;0
2014;0714004030;Dillendorf;7;6;1
2014;0714004040;Gehlweiler;1;1;0
2014;0714004041;Gemünden, Hunsrück;35;10;25
2014;0714004044;Hahn;3;0;3
2014;0714004048;Hecken;1;0;1
2014;0714004049;Heinzenbach;4;1;3
2014;0714004050;Henau;1;1;0
2014;0714004053;Hirschfeld (Hunsrück);4;1;3
2014;0714004062;Kappel;5;2;3
2014;0714004067;Kirchberg (Hunsrück);39;15;24
2014;0714004071;Kludenbach;2;2;0
2014;0714004081;Laufersweiler;9;4;5
2014;0714004082;Lautzenhausen;2;1;1
2014;0714004086;Lindenschied;1;0;1
2014;0714004090;Maitzborn;2;1;1
2014;0714004094;Metzenhausen;0;0;0
2014;0714004105;Nieder-Kostenz;0;0;0
2014;0714004107;Niedersohren;6;4;2
2014;0714004109;Niederweiler, Hunsrück;1;1;0
2014;0714004111;Ober Kostenz;2;1;1
2014;0714004120;Raversbeuren;2;1;1
2014;0714004122;Reckershausen;4;0;4
2014;0714004128;Rödelhausen;3;3;0
2014;0714004129;Rödern;1;0;1
2014;0714004130;Rohrbach, Hunsrück;1;0;1
2014;0714004135;Schlierschied;1;0;1
2014;0714004141;Schwarzen;0;0;0
2014;0714004145;Sohren;36;14;22
2014;0714004146;Sohrschied;1;0;1
2014;0714004151;Todenroth;1;0;1
2014;0714004154;Unzenberg;2;1;1
2014;0714004159;Wahlenau;3;0;3
2014;0714004163;Womrath;3;2;1
2014;0714004164;Woppenroth;2;2;0
2014;0714004165;Würrich;1;0;1
2014;0714005;Rheinböllen, Verbandsgem.;105;60;45
2014;0714005003;Argenthal;21;17;4
2014;0714005011;Benzweiler;1;0;1
2014;0714005027;Dichtelbach;4;1;3
2014;0714005035;Ellern (Hunsrück);10;5;5
2014;0714005037;Erbach, Hunsrück;2;1;1
2014;0714005068;Kisselbach;7;2;5
2014;0714005085;Liebshausen;5;3;2
2014;0714005096;Mörschbach;3;2;1
2014;0714005125;Rheinböllen;45;26;19
2014;0714005127;Riesweiler;7;3;4
2014;0714005138;Schnorbach;0;0;0
2014;0714005148;Steinbach, Hunsrück;0;0;0
2014;0714006;Sankt Goar-Oberwesel, Verbandsgem.;112;52;60
2014;0714006025;Damscheid;12;10;2
2014;0714006080;Laudert;3;1;2
2014;0714006104;Niederburg;8;7;1
2014;0714006112;Oberwesel;39;10;29
2014;0714006116;Perscheid;3;1;2
2014;0714006133;Sankt Goar;34;18;16
2014;0714006155;Urbar b St Goar;7;3;4
2014;0714006161;Wiebelsheim;6;2;4
2014;0714007;Simmern/Hunsrück, Verbandsgem.;212;102;110
2014;0714007002;Altweidelbach;0;0;0
2014;0714007008;Belgweiler;4;1;3
2014;0714007012;Bergenhausen;2;1;1
2014;0714007015;Biebern;1;1;0
2014;0714007020;Bubach;3;1;2
2014;0714007023;Budenbach;3;1;2
2014;0714007039;Fronhofen;4;4;0
2014;0714007056;Holzbach;5;2;3
2014;0714007058;Horn;4;3;1
2014;0714007065;Keidelheim;1;0;1
2014;0714007070;Klosterkumbd;4;1;3
2014;0714007076;Külz (Hunsrück);5;4;1
2014;0714007077;Kümbdchen;2;1;1
2014;0714007079;Laubach b Kastellaun;7;5;2
2014;0714007092;Mengerschied;9;5;4
2014;0714007099;Mutterschied;3;2;1
2014;0714007100;Nannhausen;9;6;3
2014;0714007101;Neuerkirch;2;1;1
2014;0714007106;Niederkumbd;3;0;3
2014;0714007113;Ohlweiler;2;1;1
2014;0714007115;Oppertshausen;3;3;0
2014;0714007118;Pleizenhausen;1;0;1
2014;0714007119;Ravengiersburg;5;3;2
2014;0714007121;Rayerschied;4;2;2
2014;0714007123;Reich;1;1;0
2014;0714007126;Riegenroth;1;0;1
2014;0714007134;Sargenroth;2;1;1
2014;0714007139;Schönborn, Hunsrück;1;0;1
2014;0714007144;Simmern/Hunsrück;112;46;66
2014;0714007150;Tiefenbach, Hunsrück;6;4;2
2014;0714007158;Wahlbach;1;0;1
2014;0714007166;Wüschheim;2;2;0
2014;0714100075;Lahnstein, verbandsfr. Gemeinde;222;103;119
2014;0714101;Bad Ems, Verbandsgem.;212;95;117
2014;0714101006;Bad Ems;142;58;84
2014;0714101008;Becheln;7;4;3
2014;0714101025;Dausenau;7;4;3
2014;0714101041;Fachbach;10;5;5
2014;0714101044;Frücht;5;5;0
2014;0714101071;Kemmenau;4;2;2
2014;0714101086;Miellen;0;0;0
2014;0714101098;Nievern;7;5;2
2014;0714101201;Arzbach;30;12;18
2014;0714102;Braubach, Verbandsgem.;-;-;-
2014;0714102023;Dachsenhausen;-;-;-
2014;0714102042;Filsen;-;-;-
2014;0714102066;Kamp-Bornhofen;-;-;-
2014;0714102108;Osterspai;-;-;-
2014;0714102501;Braubach;-;-;-
2014;0714103;Diez, Verbandsgem.;296;147;149
2014;0714103002;Altendiez;19;9;10
2014;0714103005;Aull;3;1;2
2014;0714103014;Birlenbach;13;5;8
2014;0714103021;Charlottenberg;4;2;2
2014;0714103022;Cramberg;10;5;5
2014;0714103029;Diez;142;61;81
2014;0714103030;Dörnberg;4;2;2
2014;0714103038;Eppenrod;3;1;2
2014;0714103045;Geilnau;5;3;2
2014;0714103049;Gückingen;12;9;3
2014;0714103052;Hambach;2;0;2
2014;0714103053;Heistenbach;12;7;5
2014;0714103057;Hirschberg, Rhein-Lahn-Kreis;7;5;2
