GENESIS-Tabelle: 46241-01-03-5-B
Straßenverkehrsunfälle, verunglückte Personen;;;;;;;
- Jahressumme - regionale Ebenen;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;
2015;;;;;;;
;;Unfälle (insgesamt);Unfälle mit Personenschaden;Schwerwiegende Unfälle mit Sachschaden i. e. S.;Sons.Sachschadensunf.unter d.Einfl.berausch.Mittel;Getötete Personen;Verletzte Personen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
03356008;Ritterhude;57;46;6;5;-;62
03356009;Schwanewede;86;64;18;4;-;89
03356011;Worpswede;39;31;8;-;2;44
03356401;Hambergen, Samtgemeinde;60;49;8;3;1;64
03356401001;Axstedt;2;2;-;-;1;2
03356401003;Hambergen;32;24;6;2;-;31
03356401004;Holste;3;3;-;-;-;6
03356401006;Lübberstedt;4;4;-;-;-;4
03356401010;Vollersode;19;16;2;1;-;21
03357008;Bremervörde;107;87;15;5;3;123
03357016;Gnarrenburg;50;44;6;-;2;56
03357039;Rotenburg (Wümme);154;134;12;8;-;157
03357041;Scheeßel;64;56;5;3;-;78
03357051;Visselhövede;46;38;5;3;1;45
03357401;Bothel, Samtgemeinde;36;31;5;-;-;40
03357401006;Bothel;7;6;1;-;-;6
03357401009;Brockel;10;8;2;-;-;9
03357401024;Hemsbünde;8;6;2;-;-;8
03357401025;Hemslingen;3;3;-;-;-;5
03357401031;Kirchwalsede;7;7;-;-;-;11
03357401054;Westerwalsede;1;1;-;-;-;1
03357402;Fintel, Samtgemeinde;27;25;2;-;2;26
03357402015;Fintel;4;4;-;-;-;5
03357402023;Helvesiek;2;2;-;-;-;2
03357402033;Lauenbrück;14;13;1;-;1;14
03357402046;Stemmen;2;1;1;-;1;-
03357402049;Vahlde;5;5;-;-;-;5
03357403;Geestequelle, Samtgemeinde;22;18;4;-;-;27
03357403002;Alfstedt;3;3;-;-;-;5
03357403004;Basdahl;5;4;1;-;-;7
03357403012;Ebersdorf;3;3;-;-;-;3
03357403027;Hipstedt;-;-;-;-;-;-
03357403035;Oerel;11;8;3;-;-;12
03357404;Selsingen, Samtgemeinde;49;35;11;3;2;41
03357404003;Anderlingen;3;2;1;-;-;2
03357404011;Deinstedt;1;-;1;-;-;-
03357404014;Farven;5;5;-;-;-;5
03357404036;Ostereistedt;6;4;2;-;2;4
03357404038;Rhade;11;7;3;1;-;7
03357404040;Sandbostel;5;4;1;-;-;5
03357404042;Seedorf b Zeven;8;7;1;-;-;9
03357404043;Selsingen;10;6;2;2;-;9
03357405;Sittensen, Samtgemeinde;76;66;10;-;4;91
03357405017;Gross Meckelsen;14;13;1;-;-;19
03357405019;Hamersen;5;5;-;-;-;5
03357405029;Kalbe;3;2;1;-;-;2
03357405032;Klein Meckelsen;-;-;-;-;-;-
03357405034;Lengenbostel;1;1;-;-;-;1
03357405044;Sittensen;33;29;4;-;3;42
03357405048;Tiste;10;7;3;-;1;9
03357405050;Vierden;5;4;1;-;-;6
03357405056;Wohnste;5;5;-;-;-;7
03357406;Sottrum, Samtgemeinde;95;77;15;3;4;115
03357406001;Ahausen;7;5;2;-;-;6
03357406005;Bötersen;4;3;1;-;-;3
03357406020;Hassendorf;3;2;1;-;-;2
03357406022;Hellwege;1;1;-;-;-;1
03357406028;Horstedt, Kr Rotenburg;9;8;1;-;-;10
03357406037;Reeßum;24;21;2;1;2;34
03357406045;Sottrum;47;37;8;2;2;59
03357407;Tarmstedt, Samtgemeinde;46;36;7;3;1;41
03357407007;Breddorf;7;6;1;-;-;6
03357407010;Bülstedt;5;3;1;1;-;3
03357407026;Hepstedt;4;3;1;-;-;5
03357407030;Kirchtimke;3;2;1;-;1;1
03357407047;Tarmstedt;12;11;1;-;-;12
03357407052;Vorwerk;4;4;-;-;-;5
03357407053;Westertimke;5;3;1;1;-;5
03357407055;Wilstedt;6;4;1;1;-;4
03357408;Zeven, Samtgemeinde;175;148;26;1;2;198
03357408013;Elsdorf, Niedersachs;33;26;7;-;1;40
03357408018;Gyhum;31;26;4;1;-;36
03357408021;Heeslingen;29;23;6;-;-;27
03357408057;Zeven;82;73;9;-;1;95
03358002;Bispingen;47;36;10;1;3;42
03358004;Bomlitz;37;29;6;2;1;38
03358008;Bad Fallingbostel;74;63;7;4;1;89
03358016;Munster;85;75;8;2;1;96
03358017;Neuenkirchen, Lüneburger Heide;22;19;2;1;2;33
03358019;Schneverdingen;93;77;11;5;4;101
03358021;Soltau;189;162;24;3;5;230
03358022;Walsrode;171;140;25;6;1;194
03358023;Wietzendorf;18;16;1;1;-;22
03358401;Ahlden, Samtgemeinde;27;19;6;2;1;24
03358401001;Ahlden (Aller);4;3;1;-;-;4
03358401006;Eickeloh;2;2;-;-;-;4
03358401011;Grethem;1;1;-;-;-;1
03358401012;Hademstorf;3;-;2;1;-;-
03358401014;Hodenhagen;17;13;3;1;1;15
03358402;Rethem/Aller, Samtgemeinde;33;27;5;1;-;44
03358402003;Böhme;17;13;3;1;-;22
03358402009;Frankenfeld;2;1;1;-;-;2
03358402013;Häuslingen;-;-;-;-;-;-
03358402018;Rethem (Aller);14;13;1;-;-;20
03358403;Schwarmstedt, Samtgemeinde;131;107;21;3;1;181
03358403005;Buchholz (Aller);50;41;9;-;-;81
03358403007;Essel;39;32;7;-;1;55
03358403010;Gilten;5;5;-;-;-;9
03358403015;Lindwedel;5;3;1;1;-;3
03358403020;Schwarmstedt;32;26;4;2;-;33
03358501;Osterheide, gem.fr. Bezirk;2;2;-;-;-;7
03359010;Buxtehude, Hansestadt;191;156;28;7;-;208
03359013;Drochtersen;42;36;3;3;2;40
03359028;Jork;57;50;5;2;1;66
03359038;Stade, Hansestadt;249;198;43;8;2;245
03359401;Apensen, Samtgemeinde;24;21;3;-;1;28
03359401003;Apensen;10;8;2;-;-;10
03359401006;Beckdorf;9;8;1;-;-;14
03359401037;Sauensiek;5;5;-;-;1;4
03359402;Fredenbeck, Samtgemeinde;39;36;-;3;2;42
03359402011;Deinste;10;9;-;1;-;11
03359402017;Fredenbeck;18;18;-;-;1;18
03359402031;Kutenholz;11;9;-;2;1;13
03359403;Harsefeld, Samtgemeinde;53;42;10;1;2;51
03359403002;Ahlerstedt;15;12;3;-;1;18
03359403005;Bargstedt, Kr Stade;4;2;2;-;-;2
03359403008;Brest;1;1;-;-;-;1
03359403023;Harsefeld;33;27;5;1;1;30
03359404;Himmelpforten, Samtgemeinde;-;-;-;-;-;-
03359404014;Düddenbüttel;-;-;-;-;-;-
03359404015;Engelschoff;-;-;-;-;-;-
03359404019;Großenwörden;-;-;-;-;-;-
03359404022;Hammah;-;-;-;-;-;-
03359404025;Himmelpforten;-;-;-;-;-;-
03359405;Horneburg, Samtgemeinde;45;37;6;2;-;49
03359405001;Agathenburg;10;7;3;-;-;9
03359405007;Bliedersdorf;6;6;-;-;-;9
03359405012;Dollern;13;10;3;-;-;14
03359405027;Horneburg;14;13;-;1;-;16
03359405034;Nottensdorf;2;1;-;1;-;1
03359406;Lühe, Samtgemeinde;26;18;5;3;1;20
03359406020;Grünendeich;5;3;1;1;-;3
03359406021;Guderhandviertel;1;1;-;-;-;1
03359406026;Hollern-Twielenfleth;4;4;-;-;1;4
03359406032;Mittelnkirchen;7;4;3;-;-;5
03359406033;Neuenkirchen b Horneburg, Niederelbe;5;3;1;1;-;3
03359406039;Steinkirchen, Kr Stade;4;3;-;1;-;4
03359407;Nordkehdingen, Samtgemeinde;24;21;2;1;1;25
03359407004;Balje;4;3;1;-;-;7
03359407018;Freiburg (Elbe);1;1;-;-;-;1
03359407030;Krummendeich;3;3;-;-;1;3
03359407035;Oederquart;2;2;-;-;-;2
03359407040;Wischhafen;14;12;1;1;-;12
03359408;Oldendorf, Samtgemeinde;-;-;-;-;-;-
03359408009;Burweg;-;-;-;-;-;-
03359408016;Estorf;-;-;-;-;-;-
03359408024;Heinbockel;-;-;-;-;-;-
03359408029;Kranenburg;-;-;-;-;-;-
03359408036;Oldendorf;-;-;-;-;-;-
03359409;Oldendorf-Himmelpforten, Samtgemeinde;79;69;5;5;1;102
03359409009;Burweg;1;-;1;-;-;-
03359409014;Düddenbüttel;8;8;-;-;-;9
03359409015;Engelschoff;6;4;2;-;-;5
03359409016;Estorf;4;3;-;1;1;7
03359409019;Großenwörden;3;3;-;-;-;6
03359409022;Hammah;18;15;2;1;-;23
03359409024;Heinbockel;8;7;-;1;-;10
03359409025;Himmelpforten;23;21;-;2;-;31
03359409029;Kranenburg;1;1;-;-;-;1
03359409036;Oldendorf;7;7;-;-;-;10
03360004;Bienenbüttel;21;20;1;-;-;27
03360025;Uelzen;185;160;15;10;2;219
03360401;Bevensen, Samtgemeinde;-;-;-;-;-;-
03360401001;Altenmedingen;-;-;-;-;-;-
03360401002;Bad Bevensen, Stadt;-;-;-;-;-;-
03360401003;Barum;-;-;-;-;-;-
03360401008;Emmendorf;-;-;-;-;-;-
03360401011;Himbergen;-;-;-;-;-;-
03360401012;Jelmstorf;-;-;-;-;-;-
03360401017;Römstedt;-;-;-;-;-;-
03360401026;Weste;-;-;-;-;-;-
03360402;Bodenteich, Samtgemeinde;-;-;-;-;-;-
03360402005;Bad Bodenteich;-;-;-;-;-;-
03360402013;Lüder;-;-;-;-;-;-
03360402020;Soltendieck;-;-;-;-;-;-
03360403;Altes Amt Ebstorf, Samtgemeinde;-;-;-;-;-;-
03360403006;Ebstorf, Klosterflecken;-;-;-;-;-;-
03360403010;Hanstedt;-;-;-;-;-;-
03360403014;Natendorf;-;-;-;-;-;-
03360403019;Schwienau;-;-;-;-;-;-
03360403029;Wriedel;-;-;-;-;-;-
03360404;Rosche, Samtgemeinde;39;26;11;2;1;34
03360404015;Oetzen;9;4;4;1;-;6
03360404016;Rätzlingen, Kr Uelzen;4;3;1;-;1;3
03360404018;Rosche;9;7;2;-;-;7
03360404022;Stoetze;2;2;-;-;-;3
03360404024;Suhlendorf;15;10;4;1;-;15
03360405;Suderburg, Samtgemeinde;31;27;3;1;1;34
03360405007;Eimke;10;8;1;1;1;8
03360405009;Gerdau;7;6;1;-;-;9
03360405023;Suderburg;14;13;1;-;-;17
03360406;Wrestedt, Samtgemeinde;-;-;-;-;-;-
03360406021;Stadensen;-;-;-;-;-;-
03360406027;Wieren;-;-;-;-;-;-
03360406028;Wrestedt;-;-;-;-;-;-
03360407;Bevensen-Ebstorf, Samtgemeinde;123;112;10;1;5;141
03360407001;Altenmedingen;10;9;1;-;-;11
03360407002;Bad Bevensen, Stadt;46;42;4;-;-;55
03360407003;Barum;5;4;1;-;-;4
03360407006;Ebstorf, Klosterflecken;14;13;1;-;-;13
03360407008;Emmendorf;5;5;-;-;1;4
03360407010;Hanstedt;7;7;-;-;1;9
03360407011;Himbergen;4;4;-;-;2;6
03360407012;Jelmstorf;6;5;1;-;-;11
03360407014;Natendorf;2;2;-;-;-;2
03360407017;Römstedt;4;4;-;-;-;4
03360407019;Schwienau;9;9;-;-;1;9
03360407026;Weste;2;1;1;-;-;4
03360407029;Wriedel;9;7;1;1;-;9
03360408;Aue, Samtgemeinde;35;29;3;3;1;38
03360408005;Bad Bodenteich;11;9;1;1;-;13
03360408013;Lüder;5;5;-;-;-;6
03360408020;Soltendiek;1;1;-;-;-;2
03360408030;Wrestedt;18;14;2;2;1;17
03361001;Achim b Bremen;181;153;23;5;-;203
03361003;Dörverden;32;29;3;-;1;38
03361005;Kirchlinteln;48;38;7;3;-;54
03361006;Langwedel, Kr Verden;80;66;9;5;-;90
03361008;Ottersberg;69;60;8;1;1;84
03361009;Oyten;104;82;19;3;-;112
03361012;Verden (Aller);189;162;21;6;-;199
03361401;Thedinghausen, Samtgemeinde;77;68;7;2;1;87
03361401002;Blender;12;11;1;-;-;11
03361401004;Emtinghausen;18;16;2;-;-;22
03361401010;Riede;10;10;-;-;-;11
03361401013;Thedinghausen;37;31;4;2;1;43
03401000;Delmenhorst, krsfr. Stadt;360;301;47;12;1;355
03402000;Emden, krsfr. Stadt;256;230;18;8;-;270
03403000;Oldenburg(Oldb), krsfr. Stadt;1056;921;99;36;-;1127
03404000;Osnabrück, krsfr. Stadt;956;804;109;43;2;982
03405000;Wilhelmshaven, krsfr. Stadt;450;354;79;17;2;439
03451001;Apen;60;53;7;-;1;66
03451002;Bad Zwischenahn;186;150;30;6;1;214
03451004;Edewecht;117;100;15;2;1;131
03451005;Rastede;127;97;27;3;-;129
03451007;Westerstede;140;121;18;1;-;154
03451008;Wiefelstede;73;58;14;1;1;71
03452001;Aurich (Ostfr.);345;316;24;5;1;405
03452002;Baltrum;-;-;-;-;-;-
03452006;Großefehn;64;53;8;3;1;67
03452007;Großheide;39;30;7;2;1;43
03452011;Hinte;39;39;-;-;-;59
03452012;Ihlow, Ostfriesl;68;57;9;2;3;78
03452013;Juist;2;2;-;-;1;2
03452014;Krummhörn;38;29;4;5;1;33
03452019;Norden;170;151;15;4;2;173
03452020;Norderney;19;18;-;1;-;19
03452023;Südbrookmerland;117;106;8;3;1;138
03452025;Wiesmoor;61;51;9;1;1;63
03452027;Dornum;19;14;5;-;1;15
03452401;Brookmerland, Samtgemeinde;70;67;3;-;1;101
03452401015;Leezdorf;7;7;-;-;1;10
03452401017;Marienhafe;12;9;3;-;-;14
03452401021;Osteel;21;21;-;-;-;30
03452401022;Rechtsupweg;2;2;-;-;-;4
03452401024;Upgant-Schott;23;23;-;-;-;37
03452401026;Wirdum;5;5;-;-;-;6
03452403;Hage, Samtgemeinde;51;42;8;1;-;59
03452403003;Berumbur;5;5;-;-;-;5
03452403008;Hage;32;26;5;1;-;35
03452403009;Hagermarsch;6;6;-;-;-;9
03452403010;Halbemond;2;-;2;-;-;-
03452403016;Lütetsburg;6;5;1;-;-;10
03452501;Nordseeinsel Memmert, gem.fr. Geb.;-;-;-;-;-;-
03453001;Barßel;48;44;3;1;1;61
03453002;Bösel;23;19;4;-;-;23
03453003;Cappeln (Oldenburg);39;31;5;3;1;46
03453004;Cloppenburg;204;176;21;7;1;210
03453005;Emstek;97;66;30;1;2;114
03453006;Essen (Oldenburg);51;39;10;2;2;52
03453007;Friesoythe;119;103;13;3;3;167
03453008;Garrel;85;71;9;5;3;82
03453009;Lastrup;36;30;6;-;-;48
03453010;Lindern (Oldenburg);23;21;2;-;-;27
03453011;Löningen;65;56;8;1;3;82
03453012;Molbergen;45;38;6;1;2;44
03453013;Saterland;44;37;6;1;-;48
03454010;Emsbüren;51;37;12;2;-;47
03454014;Geeste;60;47;12;1;-;59
03454018;Haren (Ems);96;82;9;5;1;110
03454019;Haselünne;66;55;10;1;3;73
03454032;Lingen (Ems);288;258;23;7;3;313
03454035;Meppen;253;219;21;13;3;275
03454041;Papenburg;272;233;30;9;3;307
03454044;Rhede (Ems);25;25;-;-;3;31
03454045;Salzbergen;53;38;15;-;-;48
03454054;Twist;39;34;5;-;-;56
03454401;Dörpen, Samtgemeinde;115;89;23;3;-;121
03454401007;Dersum;12;7;5;-;-;11
03454401008;Dörpen;52;41;9;2;-;54
03454401020;Heede, Ems;14;11;2;1;-;15
03454401025;Kluse;12;12;-;-;-;19
03454401030;Lehe, Ems;4;2;2;-;-;3
03454401037;Neubörger;7;6;1;-;-;6
03454401038;Neulehe;6;5;1;-;-;8
03454401056;Walchum;7;5;2;-;-;5
03454401060;Wippingen;1;-;1;-;-;-
03454402;Freren, Samtgemeinde;49;40;8;1;1;54
03454402001;Andervenne;5;4;-;1;-;7
03454402003;Beesten;11;8;3;-;-;10
03454402012;Freren;24;19;5;-;1;22
03454402036;Messingen;5;5;-;-;-;11
03454402053;Thuine;4;4;-;-;-;4
03454403;Herzlake, Samtgemeinde;41;32;8;1;-;35
03454403009;Dohren, Emsl;4;3;1;-;-;3
03454403021;Herzlake;19;14;4;1;-;15
03454403026;Lähden;18;15;3;-;-;17
03454404;Lathen, Samtgemeinde;52;46;4;2;2;61
03454404013;Fresenburg;5;5;-;-;-;8
03454404029;Lathen;22;19;2;1;1;21
03454404039;Niederlangen;11;10;1;-;1;13
03454404040;Oberlangen;6;6;-;-;-;9
03454404043;Renkenberge;2;2;-;-;-;2
03454404052;Sustrum;6;4;1;1;-;8
03454405;Lengerich, Samtgemeinde;34;29;4;1;-;40
03454405002;Bawinkel;5;5;-;-;-;6
03454405015;Gersten;1;1;-;-;-;1
03454405017;Handrup;7;6;1;-;-;10
03454405028;Langen, Emsl;8;6;2;-;-;6
03454405031;Lengerich, Emsl;13;11;1;1;-;17
03454405059;Wettrup;-;-;-;-;-;-
03454406;Nordhümmling, Samtgemeinde;48;39;9;-;3;57
03454406004;Bockhorst;4;2;2;-;-;3
03454406006;Breddenberg;1;1;-;-;-;1
03454406011;Esterwegen;22;18;4;-;2;21
03454406022;Hilkenbrook;3;3;-;-;-;4
03454406051;Surwold;18;15;3;-;1;28
03454407;Sögel, Samtgemeinde;72;50;18;4;1;63
03454407005;Börger;10;5;5;-;-;6
03454407016;Groß Berßen;1;1;-;-;-;3
03454407023;Hüven;1;1;-;-;-;1
03454407024;Klein Berßen;4;3;1;-;-;4
03454407047;Sögel;46;33;10;3;1;41
03454407048;Spahnharrenstätte;4;3;1;-;-;3
03454407050;Stavern;2;2;-;-;-;3
03454407058;Werpeloh;4;2;1;1;-;2
03454408;Spelle, Samtgemeinde;68;55;11;2;-;71
03454408034;Lünne;10;6;3;1;-;6
03454408046;Schapen;10;5;4;1;-;8
03454408049;Spelle;48;44;4;-;-;57
03454409;Werlte, Samtgemeinde;66;47;16;3;-;49
03454409027;Lahn;2;2;-;-;-;2
03454409033;Lorup;12;6;3;3;-;6
03454409042;Rastdorf;2;2;-;-;-;2
03454409055;Vrees;1;1;-;-;-;1
03454409057;Werlte;49;36;13;-;-;38
03455007;Jever;73;68;4;1;-;80
03455014;Sande;67;52;12;3;-;64
03455015;Schortens;107;89;18;-;2;101
03455020;Wangerland;46;41;4;1;2;60
03455021;Wangerooge;-;-;-;-;-;-
03455025;Bockhorn, Jadebusen;41;36;4;1;1;42
03455026;Varel;120;101;17;2;1;133
03455027;Zetel;47;38;8;1;-;53
03456001;Bad Bentheim;102;82;17;3;1;111
03456015;Nordhorn;290;262;20;8;2;318
03456025;Wietmarschen;67;59;7;1;-;89
03456401;Emlichheim, Samtgemeinde;72;55;16;1;2;77
03456401002;Emlichheim;37;29;8;-;-;40
03456401009;Hoogstede;19;15;4;-;2;22
03456401012;Laar;4;4;-;-;-;6
03456401019;Ringe;12;7;4;1;-;9
03456402;Neuenhaus, Samtgemeinde;66;55;10;1;1;82
03456402004;Esche;5;3;1;1;-;3
03456402005;Georgsdorf;4;4;-;-;-;5
03456402013;Lage, Dinkel;5;5;-;-;-;7
03456402014;Neuenhaus;37;29;8;-;1;38
03456402017;Osterwald;15;14;1;-;-;29
03456403;Schüttorf, Samtgemeinde;100;77;17;6;-;104
03456403003;Engden;3;3;-;-;-;4
03456403010;Isterberg;6;5;1;-;-;7
03456403016;Ohne;4;3;1;-;-;3
03456403018;Quendorf;9;7;2;-;-;11
03456403020;Samern;21;15;5;1;-;23
03456403021;Schüttorf, Stadt;-;-;-;-;-;-
03456403022;Suddendorf;-;-;-;-;-;-
03456403027;Schüttorf, Stadt;57;44;8;5;-;56
03456404;Uelsen, Samtgemeinde;51;42;9;-;1;69
03456404006;Getelo;3;3;-;-;-;5
03456404007;Gölenkamp;3;2;1;-;-;2
03456404008;Halle b Neuenhaus, Dinkel;5;5;-;-;1;7
03456404011;Itterbeck;19;15;4;-;-;28
03456404023;Uelsen;16;13;3;-;-;17
03456404024;Wielen;1;-;1;-;-;-
03456404026;Wilsum;4;4;-;-;-;10
03457002;Borkum;14;14;-;-;-;14
03457012;Jemgum;14;14;-;-;-;19
03457013;Leer (Ostfriesland);245;218;17;10;2;266
03457014;Moormerland;97;81;13;3;-;97
03457017;Ostrhauderfehn;47;43;3;1;1;61
03457018;Rhauderfehn;91;84;6;1;2;93
03457020;Uplengen;68;54;13;1;1;71
03457021;Weener;67;60;5;2;2;76
03457022;Westoverledingen;88;80;7;1;-;99
03457024;Bunde;23;19;4;-;-;26
03457402;Hesel, Samtgemeinde;43;37;4;2;-;56
03457402003;Brinkum;4;2;2;-;-;4
03457402009;Firrel;4;4;-;-;-;6
03457402010;Hesel;28;24;2;2;-;33
03457402011;Holtland;5;5;-;-;-;10
03457402015;Neukamperfehn;2;2;-;-;-;3
03457402019;Schwerinsdorf;-;-;-;-;-;-
03457403;Jümme, Samtgemeinde;35;24;5;6;1;31
03457403006;Detern;12;9;1;2;1;10
03457403008;Filsum;14;10;3;1;-;15
03457403016;Nortmoor;9;5;1;3;-;6
03457501;Insel Lütje Hörn, gem.fr. Geb.;-;-;-;-;-;-
03458003;Dötlingen;53;39;12;2;-;65
03458005;Ganderkesee;167;130;30;7;2;168
03458007;Großenkneten;71;47;21;3;-;58
03458009;Hatten;64;46;16;2;2;65
03458010;Hude (Oldenburg);71;62;9;-;1;78
03458013;Wardenburg;83;68;14;1;1;94
03458014;Wildeshausen;121;100;15;6;6;123
03458401;Harpstedt, Samtgemeinde;74;59;13;2;-;112
03458401001;Beckeln;3;3;-;-;-;3
03458401002;Colnrade;4;3;1;-;-;4
03458401004;Dünsen;2;1;-;1;-;2
03458401006;Groß Ippener;8;6;2;-;-;13
03458401008;Harpstedt;39;32;7;-;-;74
03458401011;Kirchseelte;4;1;3;-;-;1
03458401012;Prinzhöfte;9;8;-;1;-;9
03458401015;Winkelsett;5;5;-;-;-;6
03459003;Bad Essen;70;63;6;1;1;80
03459004;Bad Iburg;49;39;9;1;1;47
03459005;Bad Laer;36;30;5;1;-;51
03459006;Bad Rothenfelde;31;27;-;4;-;38
03459008;Belm;81;64;11;6;-;95
03459012;Bissendorf;58;47;10;1;-;59
03459013;Bohmte;61;52;6;3;2;63
03459014;Bramsche;186;151;27;8;1;191
03459015;Dissen am Teutob. Wald;43;35;2;6;-;44
03459019;Georgsmarienhütte;115;101;13;1;-;121
03459020;Hagen am Teutoburger Wald;40;38;2;-;-;46
03459021;Hasbergen;45;40;3;2;-;45
03459022;Hilter am Teutob. Wald;62;52;10;-;1;70
03459024;Melle;214;166;38;10;6;192
03459029;Ostercappeln;41;36;3;2;-;43
03459033;Wallenhorst;79;65;12;2;-;79
03459034;Glandorf;35;26;4;5;2;30
03459401;Artland, Samtgemeinde;123;95;19;9;2;120
03459401007;Badbergen;32;22;8;2;-;32
03459401025;Menslage;16;13;3;-;-;16
03459401028;Nortrup;14;11;2;1;-;13
03459401030;Quakenbrück;61;49;6;6;2;59
03459402;Bersenbrück, Samtgemeinde;150;122;18;10;3;154
03459402001;Alfhausen;20;18;-;2;-;23
03459402002;Ankum;28;23;5;-;-;25
03459402010;Bersenbrück;54;44;6;4;1;60
03459402016;Eggermühlen;5;4;1;-;-;6
03459402018;Gehrde;12;9;2;1;2;10
03459402023;Kettenkamp;11;10;-;1;-;14
03459402031;Rieste;20;14;4;2;-;16
03459403;Fürstenau, Samtgemeinde;69;56;11;2;4;67
03459403009;Berge b Quakenbrück;13;10;3;-;-;14
03459403011;Bippen;11;9;2;-;2;8
03459403017;Fürstenau;45;37;6;2;2;45
03459404;Neuenkirchen, Samtgemeinde;47;30;13;4;2;43
03459404026;Merzen;23;14;7;2;2;18
03459404027;Neuenkirchen b Bramsche, Hase;19;13;5;1;-;22
03459404032;Voltlage;5;3;1;1;-;3
03460001;Bakum;46;38;8;-;-;53
03460002;Damme, Dümmer;62;53;6;3;-;65
03460003;Dinklage;50;48;1;1;1;59
03460004;Goldenstedt;27;24;2;1;1;29
03460005;Holdorf, Niedersachs;57;49;6;2;-;67
03460006;Lohne (Oldenburg);134;115;13;6;-;146
03460007;Neuenkirchen-Vörden;56;45;7;4;1;60
03460008;Steinfeld (Oldenburg);62;51;5;6;1;73
03460009;Vechta;194;174;15;5;1;227
03460010;Visbek;36;29;7;-;2;35
03461001;Berne;28;25;2;1;1;36
03461002;Brake (Unterweser);77;69;7;1;1;91
03461003;Butjadingen;26;19;5;2;-;24
03461004;Elsfleth;39;32;6;1;2;48
03461005;Jade;30;24;6;-;1;28
03461006;Lemwerder;26;23;3;-;-;27
03461007;Nordenham;122;95;23;4;2;102
03461008;Ovelgönne;35;28;7;-;1;39
03461009;Stadland;43;37;5;1;-;53
03462005;Friedeburg;57;53;4;-;1;64
03462007;Langeoog;4;4;-;-;-;5
03462014;Spiekeroog;4;4;-;-;-;4
03462019;Wittmund;91;75;9;7;2;88
03462401;Esens, Samtgemeinde;98;86;6;6;1;110
03462401002;Dunum;7;4;2;1;-;9
03462401003;Esens;55;49;3;3;-;61
03462401006;Holtgast;6;6;-;-;-;7
03462401008;Moorweg;3;3;-;-;-;3
03462401010;Neuharlingersiel;12;12;-;-;-;16
03462401015;Stedesdorf;13;10;1;2;1;12
03462401017;Werdum;2;2;-;-;-;2
03462402;Holtriem, Samtgemeinde;36;34;2;-;2;47
03462402001;Blomberg, Ostfriesl;5;5;-;-;-;8
03462402004;Eversmeer;4;3;1;-;-;5
03462402009;Nenndorf;2;2;-;-;-;4
03462402011;Neuschoo;5;5;-;-;1;7
03462402012;Ochtersum;-;-;-;-;-;-
03462402013;Schweindorf;-;-;-;-;-;-
03462402016;Utarp;1;1;-;-;-;1
03462402018;Westerholt;19;18;1;-;1;22
04011000;Bremen, krsfr. Stadt;3229;2785;335;109;16;3281
04012000;Bremerhaven, krsfr. Stadt;780;582;159;39;1;737
05111000;Düsseldorf, krsfr. Stadt;3044;2590;342;112;14;3238
05112000;Duisburg, krsfr. Stadt;1939;1565;247;127;7;1968
05113000;Essen, krsfr. Stadt;2010;1723;193;94;10;2142
05114000;Krefeld, krsfr. Stadt;908;731;120;57;7;872
05116000;Mönchengladbach, krsfr. Stadt;1150;950;131;69;2;1189
05117000;Mülheim an der Ruhr, krsfr. Stadt;515;441;48;26;-;560
05119000;Oberhausen, krsfr. Stadt;797;674;76;47;3;836
05120000;Remscheid, krsfr. Stadt;355;293;35;27;-;372
05122000;Solingen, krsfr. Stadt;577;500;44;33;2;625
05124000;Wuppertal, krsfr. Stadt;1223;1012;131;80;7;1255
05154004;Bedburg-Hau;38;36;2;-;1;48
05154008;Emmerich am Rhein;136;121;11;4;1;154
05154012;Geldern;133;115;11;7;1;148
05154016;Goch;138;125;7;6;4;147
05154020;Issum;46;41;4;1;1;60
05154024;Kalkar;71;61;8;2;2;83
05154028;Kerken;36;32;1;3;-;39
05154032;Kevelaer;122;113;9;-;2;138
05154036;Kleve, Niederrhein;202;180;19;3;2;220
05154040;Kranenburg, Niederrhein;45;39;6;-;1;49
05154044;Rees;71;61;7;3;1;75
05154048;Rheurdt;15;12;1;2;1;16
05154052;Straelen;83;69;8;6;3;93
05154056;Uedem;35;31;-;4;-;33
05154060;Wachtendonk;42;33;5;4;-;44
05154064;Weeze;60;51;7;2;3;65
05158004;Erkrath;140;107;17;16;-;146
05158008;Haan;136;102;23;11;1;127
05158012;Heiligenhaus;71;58;11;2;3;71
05158016;Hilden;240;207;18;15;4;255
05158020;Langenfeld (Rhld.);285;245;27;13;1;315
05158024;Mettmann;146;124;16;6;1;149
05158026;Monheim am Rhein;116;100;8;8;-;122
05158028;Ratingen;403;325;64;14;1;381
05158032;Velbert;262;218;31;13;2;261
05158036;Wülfrath;65;57;4;4;2;75
05162004;Dormagen;257;209;32;16;2;270
05162008;Grevenbroich;260;208;41;11;2;302
05162012;Jüchen;82;66;13;3;-;87
05162016;Kaarst;178;125;40;13;-;151
05162020;Korschenbroich;112;88;21;3;1;110
05162022;Meerbusch;209;169;32;8;2;226
05162024;Neuss;686;560;98;28;6;697
05162028;Rommerskirchen;45;37;7;1;-;46
05166004;Brüggen, Niederrhein;57;48;8;1;-;57
05166008;Grefrath;72;60;9;3;2;67
05166012;Kempen;159;146;9;4;3;183
