GENESIS-Tabelle: 42111-01-04-5-B
Verarbeitendes Gewerbe, Bergbau und Gewinnung von Steinen;;;;;
und Erden: Betriebe, Beschäftigte - Stichtag: 30.09. -;;;;;
regionale Ebenen;;;;;
Verarbeitendes Gewerbe - Jahre ab 2009 mit WZ2008;;;;;
;;;Betriebe;Beschäftigte;Bruttoentgelte
;;;Anzahl;Anzahl;Tsd. EUR
30.09.2014;12067292;Lawitz;0;0;0
30.09.2014;12067310;Madlitz-Wilmersdorf;-;-;-
30.09.2014;12067324;Mixdorf;0;0;0
30.09.2014;12067336;Müllrose;4;174;3961
30.09.2014;12067338;Neißemünde;1;.;.
30.09.2014;12067357;Neuzelle;1;.;.
30.09.2014;12067397;Ragow-Merz;0;0;0
30.09.2014;12067408;Rauen;0;0;0
30.09.2014;12067413;Reichenwalde;1;.;.
30.09.2014;12067426;Rietz-Neuendorf;1;.;.
30.09.2014;12067438;Schlaubetal;0;0;0
30.09.2014;12067440;Schöneiche bei Berlin;4;57;1411
30.09.2014;12067458;Siehdichum;0;0;0
30.09.2014;12067469;Spreenhagen;5;129;4098
30.09.2014;12067473;Steinhöfel, b Fürstenwalde, Spree;1;.;.
30.09.2014;12067481;Storkow (Mark);7;636;13610
30.09.2014;12067493;Tauche;2;.;.
30.09.2014;12067508;Vogelsang, a d Oder;1;.;.
30.09.2014;12067520;Wendisch Rietz;0;0;0
30.09.2014;12067528;Wiesenau;1;.;.
30.09.2014;12067544;Woltersdorf, b Erkner;0;0;0
30.09.2014;12067552;Ziltendorf;0;0;0
30.09.2014;12068052;Breddin;0;0;0
30.09.2014;12068072;Dabergotz;0;0;0
30.09.2014;12068109;Dreetz, b Neustadt, Dosse;0;0;0
30.09.2014;12068117;Fehrbellin;4;267;7804
30.09.2014;12068181;Heiligengrabe;6;975;27478
30.09.2014;12068188;Herzberg (Mark);0;0;0
30.09.2014;12068264;Kyritz;8;524;12103
30.09.2014;12068280;Lindow (Mark);1;.;.
30.09.2014;12068306;Märkisch Linden;5;318;10790
30.09.2014;12068320;Neuruppin;24;1841;54812
30.09.2014;12068324;Neustadt (Dosse);5;307;7777
30.09.2014;12068353;Rheinsberg;2;.;.
30.09.2014;12068372;Rüthnick;0;0;0
30.09.2014;12068409;Sieversdorf-Hohenofen;0;0;0
30.09.2014;12068413;Storbeck-Frankendorf;0;0;0
30.09.2014;12068417;Stüdenitz-Schönermark;0;0;0
30.09.2014;12068425;Temnitzquell;0;0;0
30.09.2014;12068426;Temnitztal;0;0;0
30.09.2014;12068437;Vielitzsee;0;0;0
30.09.2014;12068452;Walsleben, b Neuruppin;1;.;.
30.09.2014;12068468;Wittstock/Dosse;13;762;15366
30.09.2014;12068477;Wusterhausen/Dosse;1;.;.
30.09.2014;12068501;Zernitz-Lohm;0;0;0
30.09.2014;12069017;Beelitz, Mark;7;596;10665
30.09.2014;12069018;Beetzsee;2;.;.
30.09.2014;12069019;Beetzseeheide;0;0;0
30.09.2014;12069020;Bad Belzig;5;153;3754
30.09.2014;12069028;Bensdorf;0;0;0
30.09.2014;12069052;Borkheide;4;218;6681
30.09.2014;12069056;Borkwalde;0;0;0
30.09.2014;12069076;Brück;3;169;5818
30.09.2014;12069089;Buckautal;0;0;0
30.09.2014;12069216;Golzow, b Brandenburg an der Havel;1;.;.
30.09.2014;12069224;Görzke;1;.;.
30.09.2014;12069232;Gräben;0;0;0
30.09.2014;12069249;Groß Kreutz (Havel);3;.;.
30.09.2014;12069270;Havelsee;1;.;.
30.09.2014;12069304;Kleinmachnow;2;.;.
30.09.2014;12069306;Kloster Lehnin;5;464;13436
30.09.2014;12069345;Linthe;4;239;7219
30.09.2014;12069397;Michendorf;1;.;.
30.09.2014;12069402;Mühlenfließ;1;.;.
30.09.2014;12069448;Niemegk;3;101;2568
30.09.2014;12069454;Nuthetal;1;.;.
30.09.2014;12069460;Päwesin;0;0;0
30.09.2014;12069470;Planebruch;0;0;0
30.09.2014;12069474;Planetal;0;0;0
30.09.2014;12069485;Rabenstein/Fläming;0;0;0
30.09.2014;12069537;Rosenau;1;.;.
30.09.2014;12069541;Roskow;0;0;0
30.09.2014;12069590;Schwielowsee;2;.;.
30.09.2014;12069596;Seddiner See;3;282;9702
30.09.2014;12069604;Stahnsdorf;6;243;8075
30.09.2014;12069616;Teltow;15;920;33957
30.09.2014;12069632;Treuenbrietzen;3;386;10632
30.09.2014;12069648;Wenzlow, b Brandenburg an der Havel;0;0;0
30.09.2014;12069656;Werder (Havel);13;720;23452
30.09.2014;12069665;Wiesenburg/Mark;4;169;5024
30.09.2014;12069680;Wollin, b Brandenburg an der Havel;0;0;0
30.09.2014;12069688;Wusterwitz;0;0;0
30.09.2014;12069696;Ziesar;2;.;.
30.09.2014;12070008;Bad Wilsnack;1;.;.
30.09.2014;12070028;Berge, b Perleberg;1;.;.
30.09.2014;12070052;Breese;0;0;0
30.09.2014;12070060;Cumlosen;0;0;0
30.09.2014;12070096;Gerdshagen;1;.;.
30.09.2014;12070125;Groß Pankow (Prignitz);3;231;4696
30.09.2014;12070145;Gülitz-Reetz;0;0;0
30.09.2014;12070149;Gumtow;0;0;0
30.09.2014;12070153;Halenbeck-Rohlsdorf;0;0;0
30.09.2014;12070173;Karstädt, Prignitz;9;352;12016
30.09.2014;12070222;Kümmernitztal;0;0;0
30.09.2014;12070236;Lanz;0;0;0
30.09.2014;12070241;Legde/Quitzöbel;0;0;0
30.09.2014;12070244;Lenzen (Elbe);3;112;2670
30.09.2014;12070246;Lenzerwische;0;0;0
30.09.2014;12070266;Marienfließ;0;0;0
30.09.2014;12070280;Meyenburg;2;.;.
30.09.2014;12070296;Perleberg;8;449;9458
30.09.2014;12070300;Pirow;1;.;.
30.09.2014;12070302;Plattenburg;1;.;.
30.09.2014;12070316;Pritzwalk;19;1520;45776
30.09.2014;12070325;Putlitz;0;0;0
30.09.2014;12070348;Rühstädt;1;.;.
30.09.2014;12070393;Triglitz;0;0;0
30.09.2014;12070416;Weisen;3;60;1448
30.09.2014;12070424;Wittenberge;9;1298;43480
30.09.2014;12071028;Briesen;0;0;0
30.09.2014;12071032;Burg (Spreewald);0;0;0
30.09.2014;12071041;Dissen-Striesow;0;0;0
30.09.2014;12071044;Döbern;1;.;.
30.09.2014;12071052;Drachhausen;0;0;0
30.09.2014;12071057;Drebkau;5;201;6649
30.09.2014;12071060;Drehnow;0;0;0
30.09.2014;12071074;Felixsee;0;0;0
30.09.2014;12071076;Forst (Lausitz);7;181;4540
30.09.2014;12071153;Groß Schacksdorf-Simmersdorf;0;0;0
30.09.2014;12071160;Guben;10;1201;32231
30.09.2014;12071164;Guhrow;0;0;0
30.09.2014;12071176;Heinersbrück;1;.;.
30.09.2014;12071185;Hornow-Wadelsdorf;1;.;.
30.09.2014;12071189;Jämlitz-Klein Düben;0;0;0
30.09.2014;12071193;Jänschwalde;2;.;.
30.09.2014;12071244;Kolkwitz;4;285;5358
30.09.2014;12071294;Neiße-Malxetal;2;.;.
30.09.2014;12071301;Neuhausen/Spree;0;0;0
30.09.2014;12071304;Peitz;10;1297;53777
30.09.2014;12071337;Schenkendöbern;0;0;0
30.09.2014;12071341;Schmogrow-Fehrow;0;0;0
30.09.2014;12071372;Spremberg;18;5097;195112
30.09.2014;12071384;Tauer;0;0;0
30.09.2014;12071386;Teichland;0;0;0
30.09.2014;12071392;Tschernitz;1;.;.
30.09.2014;12071401;Turnow-Preilack;0;0;0
30.09.2014;12071408;Welzow;2;.;.
30.09.2014;12071412;Werben;0;0;0
30.09.2014;12071414;Wiesengrund;0;0;0
30.09.2014;12072002;Am Mellensee;4;161;3226
30.09.2014;12072014;Baruth/Mark;9;1407;37288
30.09.2014;12072017;Blankenfelde-Mahlow;9;2893;173748
30.09.2014;12072053;Dahme/Mark;6;383;7593
30.09.2014;12072055;Dahmetal;0;0;0
30.09.2014;12072120;Großbeeren;7;280;8730
30.09.2014;12072157;Ihlow;0;0;0
30.09.2014;12072169;Jüterbog;6;382;6984
30.09.2014;12072232;Luckenwalde;19;1690;54552
30.09.2014;12072240;Ludwigsfelde;15;3624;166426
30.09.2014;12072297;Niedergörsdorf;4;334;7392
30.09.2014;12072298;Niederer Fläming;1;.;.
30.09.2014;12072312;Nuthe-Urstromtal;5;362;8041
30.09.2014;12072340;Rangsdorf;2;.;.
30.09.2014;12072426;Trebbin;18;679;19833
30.09.2014;12072477;Zossen;6;357;12381
30.09.2014;12073008;Angermünde;3;.;.
30.09.2014;12073032;Berkholz-Meyenburg;0;0;0
30.09.2014;12073069;Boitzenburger Land;1;.;.
30.09.2014;12073085;Brüssow;0;0;0
30.09.2014;12073093;Carmzow-Wallmow;0;0;0
30.09.2014;12073097;Casekow;2;.;.
30.09.2014;12073157;Flieth-Stegelitz;0;0;0
30.09.2014;12073189;Gartz (Oder);0;0;0
30.09.2014;12073201;Gerswalde;0;0;0
30.09.2014;12073216;Göritz;0;0;0
30.09.2014;12073225;Gramzow (Uckermark);1;.;.
30.09.2014;12073261;Grünow, b Prenzlau;0;0;0
30.09.2014;12073309;Hohenselchow-Groß Pinnow;0;0;0
30.09.2014;12073384;Lychen;4;179;3561
30.09.2014;12073386;Mark Landin;0;0;0
30.09.2014;12073393;Mescherin;0;0;0
30.09.2014;12073396;Milmersdorf;2;.;.
30.09.2014;12073404;Mittenwalde, b Templin;0;0;0
30.09.2014;12073429;Nordwestuckermark;1;.;.
30.09.2014;12073430;Oberuckersee;0;0;0
30.09.2014;12073440;Pinnow, b Angermünde;1;.;.
30.09.2014;12073452;Prenzlau;12;938;25908
30.09.2014;12073458;Randowtal;0;0;0
30.09.2014;12073490;Schenkenberg, b Prenzlau;0;0;0
30.09.2014;12073505;Schöneberg, b Angermünde;0;0;0
30.09.2014;12073520;Schönfeld, b Prenzlau;0;0;0
30.09.2014;12073532;Schwedt/Oder;27;3075;145380
30.09.2014;12073565;Tantow;0;0;0
30.09.2014;12073569;Temmen-Ringenwalde;0;0;0
30.09.2014;12073572;Templin;6;247;5458
30.09.2014;12073578;Uckerfelde;0;0;0
30.09.2014;12073579;Uckerland;0;0;0
30.09.2014;12073603;Passow;1;.;.
30.09.2014;12073645;Zichow;0;0;0
30.09.2014;13001000;Greifswald, krsfr. Stadt;-;-;-
30.09.2014;13002000;Neubrandenburg, krsfr. Stadt;-;-;-
30.09.2014;13003000;Rostock, krsfr. Stadt;66;7309;248095
30.09.2014;13004000;Schwerin, krsfr. Stadt;41;2816;85267
30.09.2014;13005000;Stralsund, krsfr. Stadt;-;-;-
30.09.2014;13006000;Wismar, krsfr. Stadt;-;-;-
30.09.2014;13051001;Admannshagen-Bargeshagen;-;-;-
30.09.2014;13051002;Alt Bukow;-;-;-
30.09.2014;13051004;Bad Doberan, Stadt;-;-;-
30.09.2014;13051006;Bartenshagen-Parkentin;-;-;-
30.09.2014;13051007;Bastorf;-;-;-
30.09.2014;13051008;Benitz;-;-;-
30.09.2014;13051009;Bentwisch;-;-;-
30.09.2014;13051010;Biendorf;-;-;-
30.09.2014;13051011;Blankenhagen;-;-;-
30.09.2014;13051013;Börgerende-Rethwisch;-;-;-
30.09.2014;13051014;Bröbberow;-;-;-
30.09.2014;13051015;Broderstorf;-;-;-
30.09.2014;13051016;Cammin;-;-;-
30.09.2014;13051017;Damm;-;-;-
30.09.2014;13051018;Dummerstorf;-;-;-
30.09.2014;13051019;Elmenhorst/Lichtenhagen;-;-;-
30.09.2014;13051020;Gelbensande;-;-;-
30.09.2014;13051021;Gnewitz;-;-;-
30.09.2014;13051022;Graal-Müritz;-;-;-
30.09.2014;13051023;Grammow;-;-;-
30.09.2014;13051028;Hohenfelde;-;-;-
30.09.2014;13051033;Kassow;-;-;-
30.09.2014;13051034;Kavelstorf;-;-;-
30.09.2014;13051035;Kessin;-;-;-
30.09.2014;13051036;Kirch Mulsow;-;-;-
30.09.2014;13051037;Klein Kussewitz;-;-;-
30.09.2014;13051040;Kritzmow;-;-;-
30.09.2014;13051041;Kröpelin, Stadt;-;-;-
30.09.2014;13051042;Kühlungsborn, Stadt;-;-;-
30.09.2014;13051043;Lambrechtshagen;-;-;-
30.09.2014;13051044;Lieblingshof;-;-;-
30.09.2014;13051045;Mandelshagen;-;-;-
30.09.2014;13051046;Mönchhagen;-;-;-
30.09.2014;13051047;Neubukow, Stadt;-;-;-
30.09.2014;13051049;Nienhagen;-;-;-
30.09.2014;13051050;Nustrow;-;-;-
30.09.2014;13051051;Papendorf;-;-;-
30.09.2014;13051053;Pölchow;-;-;-
30.09.2014;13051054;Poppendorf;-;-;-
30.09.2014;13051055;Prisannewitz;-;-;-
30.09.2014;13051059;Reddelich;-;-;-
30.09.2014;13051062;Rerik, Stadt;-;-;-
30.09.2014;13051063;Retschow;-;-;-
30.09.2014;13051064;Roggentin;-;-;-
30.09.2014;13051066;Rövershagen;-;-;-
30.09.2014;13051067;Rukieten;-;-;-
30.09.2014;13051068;Sanitz;-;-;-
30.09.2014;13051071;Schwaan, Stadt;-;-;-
30.09.2014;13051072;Selpin;-;-;-
30.09.2014;13051073;Stäbelow;-;-;-
30.09.2014;13051074;Steffenshagen;-;-;-
30.09.2014;13051075;Steinfeld;-;-;-
30.09.2014;13051076;Stubbendorf;-;-;-
30.09.2014;13051077;Tessin, Stadt;-;-;-
30.09.2014;13051078;Thelkow;-;-;-
30.09.2014;13051079;Thulendorf;-;-;-
30.09.2014;13051080;Vorbeck;-;-;-
30.09.2014;13051082;Wiendorf;-;-;-
30.09.2014;13051083;Wittenbeck;-;-;-
30.09.2014;13051084;Zarnewanz;-;-;-
30.09.2014;13051085;Ziesendorf;-;-;-
30.09.2014;13051086;Satow;-;-;-
30.09.2014;13051087;Am Salzhaff;-;-;-
30.09.2014;13051088;Carinerland;-;-;-
30.09.2014;13051089;Dummerstorf;-;-;-
30.09.2014;13052001;Alt Tellin;-;-;-
30.09.2014;13052002;Altenhagen;-;-;-
30.09.2014;13052003;Altentreptow, Stadt;-;-;-
30.09.2014;13052004;Bartow;-;-;-
30.09.2014;13052005;Basedow;-;-;-
30.09.2014;13052007;Beggerow;-;-;-
30.09.2014;13052008;Bentzin;-;-;-
30.09.2014;13052010;Bredenfelde;-;-;-
30.09.2014;13052011;Breesen;-;-;-
30.09.2014;13052012;Breest;-;-;-
30.09.2014;13052013;Briggow;-;-;-
30.09.2014;13052015;Burow;-;-;-
30.09.2014;13052016;Daberkow;-;-;-
30.09.2014;13052017;Dargun, Stadt;-;-;-
30.09.2014;13052018;Demmin, Hansestadt;-;-;-
30.09.2014;13052019;Duckow;-;-;-
30.09.2014;13052020;Düvier;-;-;-
30.09.2014;13052021;Faulenrost;-;-;-
30.09.2014;13052022;Gielow;-;-;-
30.09.2014;13052024;Gnevkow;-;-;-
30.09.2014;13052025;Golchen;-;-;-
30.09.2014;13052026;Görmin;-;-;-
30.09.2014;13052028;Grammentin;-;-;-
30.09.2014;13052029;Grapzow;-;-;-
30.09.2014;13052030;Grischow;-;-;-
30.09.2014;13052032;Groß Teetzleben;-;-;-
30.09.2014;13052033;Gültz;-;-;-
30.09.2014;13052034;Gülzow;-;-;-
30.09.2014;13052035;Hohenbollentin;-;-;-
30.09.2014;13052038;Ivenack;-;-;-
30.09.2014;13052039;Jarmen, Stadt;-;-;-
30.09.2014;13052040;Jürgenstorf;-;-;-
30.09.2014;13052042;Kittendorf;-;-;-
30.09.2014;13052044;Knorrendorf;-;-;-
30.09.2014;13052045;Kriesow;-;-;-
30.09.2014;13052046;Kruckow;-;-;-
30.09.2014;13052047;Kummerow;-;-;-
30.09.2014;13052048;Lindenberg;-;-;-
30.09.2014;13052049;Loitz, Stadt;-;-;-
30.09.2014;13052050;Malchin, Stadt;-;-;-
30.09.2014;13052051;Meesiger;-;-;-
30.09.2014;13052053;Mölln;-;-;-
30.09.2014;13052054;Kentzlin;-;-;-
30.09.2014;13052055;Neukalen, Stadt;-;-;-
30.09.2014;13052056;Nossendorf;-;-;-
30.09.2014;13052059;Pripsleben;-;-;-
30.09.2014;13052062;Remplin;-;-;-
30.09.2014;13052063;Ritzerow;-;-;-
30.09.2014;13052064;Röckwitz;-;-;-
30.09.2014;13052065;Rosenow;-;-;-
30.09.2014;13052067;Sarow;-;-;-
30.09.2014;13052070;Schönfeld;-;-;-
30.09.2014;13052071;Siedenbollentin;-;-;-
30.09.2014;13052073;Sommersdorf;-;-;-
30.09.2014;13052074;Stavenhagen, Reuterstadt, Stadt;-;-;-
30.09.2014;13052078;Tutow;-;-;-
30.09.2014;13052079;Tützpatz;-;-;-
30.09.2014;13052082;Verchen;-;-;-
30.09.2014;13052083;Völschow;-;-;-
30.09.2014;13052085;Warrenzin;-;-;-
30.09.2014;13052086;Werder;-;-;-
30.09.2014;13052087;Wildberg;-;-;-
30.09.2014;13052088;Wolde;-;-;-
30.09.2014;13052092;Zettemin;-;-;-
30.09.2014;13052093;Borrentin;-;-;-
30.09.2014;13052094;Hohenmocker;-;-;-
30.09.2014;13052095;Kletzin;-;-;-
30.09.2014;13052096;Siedenbrünzow;-;-;-
30.09.2014;13052097;Utzedel;-;-;-
30.09.2014;13052098;Sassen-Trantow;-;-;-
30.09.2014;13053002;Alt Sührkow;-;-;-
30.09.2014;13053003;Altkalen;-;-;-
30.09.2014;13053004;Baumgarten;-;-;-
30.09.2014;13053005;Behren-Lübchin;-;-;-
30.09.2014;13053007;Bernitt;-;-;-
30.09.2014;13053008;Boddin;-;-;-
30.09.2014;13053013;Bützow, Stadt;-;-;-
30.09.2014;13053015;Dahmen;-;-;-
30.09.2014;13053016;Dalkendorf;-;-;-
30.09.2014;13053017;Diekhof;-;-;-
30.09.2014;13053019;Dreetz;-;-;-
30.09.2014;13053020;Finkenthal;-;-;-
30.09.2014;13053021;Glasewitz;-;-;-
30.09.2014;13053022;Gnoien, Stadt;-;-;-
30.09.2014;13053026;Groß Roge;-;-;-
30.09.2014;13053027;Groß Schwiesow;-;-;-
30.09.2014;13053028;Groß Wokern;-;-;-
30.09.2014;13053029;Groß Wüstenfelde;-;-;-
30.09.2014;13053031;Güstrow, Stadt;-;-;-
30.09.2014;13053032;Gutow;-;-;-
30.09.2014;13053033;Hohen Demzin;-;-;-
30.09.2014;13053034;Hohen Sprenz;-;-;-
30.09.2014;13053035;Hoppenrade;-;-;-
30.09.2014;13053036;Jördenstorf;-;-;-
30.09.2014;13053037;Jürgenshagen;-;-;-
30.09.2014;13053039;Klein Belitz;-;-;-
30.09.2014;13053041;Klein Upahl;-;-;-
30.09.2014;13053043;Krakow am See, Stadt;-;-;-
30.09.2014;13053044;Kuchelmiß;-;-;-
30.09.2014;13053045;Kuhs;-;-;-
30.09.2014;13053047;Laage, Stadt;-;-;-
30.09.2014;13053048;Lalendorf;-;-;-
30.09.2014;13053049;Langhagen;-;-;-
30.09.2014;13053050;Lelkendorf;-;-;-
30.09.2014;13053054;Lohmen;-;-;-
30.09.2014;13053056;Lühburg;-;-;-
30.09.2014;13053057;Lüssow;-;-;-
30.09.2014;13053060;Mistorf;-;-;-
30.09.2014;13053062;Mühl Rosin;-;-;-
30.09.2014;13053067;Penzin;-;-;-
30.09.2014;13053068;Plaaz;-;-;-
30.09.2014;13053075;Reimershagen;-;-;-
30.09.2014;13053078;Rühn;-;-;-
30.09.2014;13053080;Sarmstorf;-;-;-
30.09.2014;13053083;Steinhagen;-;-;-
30.09.2014;13053086;Tarnow;-;-;-
30.09.2014;13053087;Teterow, Stadt;-;-;-
30.09.2014;13053088;Thürkow;-;-;-
30.09.2014;13053091;Walkendorf;-;-;-
30.09.2014;13053092;Wardow;-;-;-
30.09.2014;13053093;Warnkenhagen;-;-;-
30.09.2014;13053094;Warnow;-;-;-
30.09.2014;13053095;Wasdow;-;-;-
30.09.2014;13053098;Zehna;-;-;-
30.09.2014;13053099;Zepelin;-;-;-
30.09.2014;13053102;Dobbin-Linstow;-;-;-
30.09.2014;13053103;Dolgen am See;-;-;-
30.09.2014;13053104;Gülzow-Prüzen;-;-;-
30.09.2014;13053105;Schorssow;-;-;-
30.09.2014;13053106;Schwasdorf;-;-;-
30.09.2014;13053107;Sukow-Levitzow;-;-;-
30.09.2014;13053109;Prebberede;-;-;-
30.09.2014;13054001;Alt Krenzlin;-;-;-
30.09.2014;13054002;Alt Zachun;-;-;-
30.09.2014;13054003;Balow;-;-;-
30.09.2014;13054004;Bandenitz;-;-;-
30.09.2014;13054007;Belsch;-;-;-
30.09.2014;13054009;Besitz;-;-;-
30.09.2014;13054010;Blievenstorf;-;-;-
30.09.2014;13054011;Bobzin;-;-;-
30.09.2014;13054013;Boizenburg/Elbe, Stadt;-;-;-
30.09.2014;13054014;Brahlstorf;-;-;-
30.09.2014;13054015;Brenz;-;-;-
30.09.2014;13054016;Bresegard bei Picher;-;-;-
30.09.2014;13054017;Bresegard bei Eldena;-;-;-
30.09.2014;13054018;Brunow;-;-;-
30.09.2014;13054021;Dambeck;-;-;-
30.09.2014;13054022;Dersenow;-;-;-
30.09.2014;13054024;Dömitz, Stadt;-;-;-
30.09.2014;13054027;Dümmer;-;-;-
30.09.2014;13054028;Eldena;-;-;-
30.09.2014;13054030;Gallin;-;-;-
30.09.2014;13054031;Gammelin;-;-;-
30.09.2014;13054034;Göhlen;-;-;-
30.09.2014;13054035;Gorlosen;-;-;-
30.09.2014;13054037;Grabow, Stadt;-;-;-
30.09.2014;13054039;Gresse;-;-;-
30.09.2014;13054040;Greven;-;-;-
30.09.2014;13054041;Groß Krams;-;-;-
30.09.2014;13054042;Groß Laasch;-;-;-
30.09.2014;13054043;Hagenow, Stadt;-;-;-
30.09.2014;13054045;Holthusen;-;-;-
30.09.2014;13054046;Hoort;-;-;-
30.09.2014;13054047;Hülseburg;-;-;-
30.09.2014;13054049;Karenz;-;-;-
30.09.2014;13054051;Karstädt;-;-;-
30.09.2014;13054052;Kirch Jesar;-;-;-
30.09.2014;13054054;Klein Rogahn;-;-;-
30.09.2014;13054056;Kogel;-;-;-
30.09.2014;13054057;Körchow;-;-;-
30.09.2014;13054058;Kremmin;-;-;-
30.09.2014;13054060;Kuhstorf;-;-;-
30.09.2014;13054063;Lehsen;-;-;-
30.09.2014;13054064;Leussow;-;-;-
30.09.2014;13054065;Lübesse;-;-;-
30.09.2014;13054066;Lüblow;-;-;-
30.09.2014;13054067;Lübtheen, Stadt;-;-;-
30.09.2014;13054069;Ludwigslust, Stadt;-;-;-
30.09.2014;13054071;Malk Göhren;-;-;-
30.09.2014;13054072;Malliß;-;-;-
30.09.2014;13054074;Milow;-;-;-
30.09.2014;13054075;Möllenbeck;-;-;-
30.09.2014;13054076;Moraas;-;-;-
30.09.2014;13054077;Muchow;-;-;-
30.09.2014;13054078;Neu Gülze;-;-;-
30.09.2014;13054079;Neu Kaliß;-;-;-
30.09.2014;13054081;Neustadt-Glewe, Stadt;-;-;-
30.09.2014;13054083;Nostorf;-;-;-
30.09.2014;13054084;Pampow;-;-;-
30.09.2014;13054086;Pätow-Steegen;-;-;-
30.09.2014;13054087;Picher;-;-;-
30.09.2014;13054089;Prislich;-;-;-
30.09.2014;13054090;Pritzier;-;-;-
30.09.2014;13054091;Rastow;-;-;-
30.09.2014;13054092;Redefin;-;-;-
30.09.2014;13054095;Schossin;-;-;-
30.09.2014;13054096;Schwanheide;-;-;-
30.09.2014;13054097;Setzin;-;-;-
30.09.2014;13054098;Steesow;-;-;-
30.09.2014;13054099;Stralendorf;-;-;-
30.09.2014;13054100;Strohkirchen;-;-;-
30.09.2014;13054101;Sülstorf;-;-;-
30.09.2014;13054102;Teldau;-;-;-
30.09.2014;13054103;Tessin b. Boizenburg;-;-;-
30.09.2014;13054106;Toddin;-;-;-
30.09.2014;13054107;Uelitz;-;-;-
30.09.2014;13054109;Vellahn;-;-;-
30.09.2014;13054110;Vielank;-;-;-
30.09.2014;13054111;Warlitz;-;-;-
30.09.2014;13054112;Warlow;-;-;-
30.09.2014;13054113;Warsow;-;-;-
30.09.2014;13054117;Wittenburg, Stadt;-;-;-
30.09.2014;13054118;Wittenförden;-;-;-
30.09.2014;13054119;Wöbbelin;-;-;-
30.09.2014;13054121;Zarrentin am Schaalsee, Stadt;-;-;-
30.09.2014;13054122;Zierzow;-;-;-
30.09.2014;13054123;Zülow;-;-;-
30.09.2014;13054124;Wittendörp;-;-;-
30.09.2014;13054125;Grebs-Niendorf;-;-;-
30.09.2014;13054126;Lüttow-Valluhn;-;-;-
30.09.2014;13054127;Bengerstorf;-;-;-
30.09.2014;13055002;Beseritz;-;-;-
30.09.2014;13055003;Blankenhof;-;-;-
30.09.2014;13055004;Blankensee;-;-;-
30.09.2014;13055005;Blumenholz;-;-;-
30.09.2014;13055008;Brunn;-;-;-
30.09.2014;13055009;Burg Stargard, Stadt;-;-;-
30.09.2014;13055010;Cammin;-;-;-
30.09.2014;13055011;Carpin;-;-;-
30.09.2014;13055012;Cölpin;-;-;-
30.09.2014;13055020;Friedland, Stadt;-;-;-
30.09.2014;13055021;Genzkow;-;-;-
30.09.2014;13055022;Glienke;-;-;-
30.09.2014;13055023;Godendorf;-;-;-
30.09.2014;13055028;Groß Nemerow;-;-;-
30.09.2014;13055029;Grünow;-;-;-
30.09.2014;13055032;Hohenzieritz;-;-;-
30.09.2014;13055033;Holldorf;-;-;-
30.09.2014;13055035;Klein Vielen;-;-;-
30.09.2014;13055037;Kratzeburg;-;-;-
30.09.2014;13055039;Kublank;-;-;-
30.09.2014;13055043;Mildenitz;-;-;-
30.09.2014;13055044;Mirow, Stadt;-;-;-
30.09.2014;13055045;Möllenbeck;-;-;-
30.09.2014;13055046;Neddemin;-;-;-
30.09.2014;13055047;Neetzka;-;-;-
30.09.2014;13055049;Neuenkirchen;-;-;-
30.09.2014;13055050;Neustrelitz, Stadt;-;-;-
30.09.2014;13055051;Neverin;-;-;-
30.09.2014;13055053;Petersdorf;-;-;-
30.09.2014;13055054;Pragsdorf;-;-;-
30.09.2014;13055055;Priepert;-;-;-
30.09.2014;13055058;Roggentin;-;-;-
30.09.2014;13055061;Schönbeck;-;-;-
30.09.2014;13055062;Schönhausen;-;-;-
30.09.2014;13055066;Staven;-;-;-
30.09.2014;13055068;Teschendorf;-;-;-
30.09.2014;13055069;Trollenhagen;-;-;-
30.09.2014;13055070;Userin;-;-;-
30.09.2014;13055071;Voigtsdorf;-;-;-
30.09.2014;13055074;Wesenberg,Stadt;-;-;-
30.09.2014;13055076;Woggersin;-;-;-
30.09.2014;13055078;Woldegk, Stadt;-;-;-
30.09.2014;13055079;Wulkenzin;-;-;-
30.09.2014;13055080;Wustrow;-;-;-
30.09.2014;13055081;Zirzow;-;-;-
30.09.2014;13055082;Feldberger Seenlandschaft;-;-;-
30.09.2014;13055083;Groß Miltzow;-;-;-
30.09.2014;13055084;Helpt;-;-;-
30.09.2014;13055085;Eichhorst;-;-;-
30.09.2014;13055086;Wokuhl-Dabelow;-;-;-
30.09.2014;13055087;Lindetal;-;-;-
30.09.2014;13055088;Datzetal;-;-;-
30.09.2014;13055089;Galenbeck;-;-;-
30.09.2014;13055090;Sponholz;-;-;-
30.09.2014;13056004;Alt Schwerin;-;-;-
30.09.2014;13056005;Altenhof;-;-;-
30.09.2014;13056006;Ankershagen;-;-;-
30.09.2014;13056007;Bollewick;-;-;-
30.09.2014;13056008;Buchholz;-;-;-
30.09.2014;13056009;Bütow;-;-;-
30.09.2014;13056010;Fincken;-;-;-
30.09.2014;13056011;Göhren-Lebbin;-;-;-
30.09.2014;13056012;Gotthun;-;-;-
30.09.2014;13056013;Grabow-Below;-;-;-
30.09.2014;13056014;Grabowhöfe;-;-;-
30.09.2014;13056015;Groß Dratow;-;-;-
30.09.2014;13056016;Groß Flotow;-;-;-
30.09.2014;13056017;Groß Gievitz;-;-;-
30.09.2014;13056018;Groß Kelle;-;-;-
