GENESIS-Tabelle: 31211-09-01-5-B
Wohnungen in Gebäuden mit Wohnraum nach Anzahl der;;;;;;;;;
Räume - Stichtag 09.05.2011;;;;;;;;;
regionale Ebenen;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;
;;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum;Wohnungen in Gebäuden mit Wohnraum
;;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume;Wohnungen nach Zahl der Räume
;;Insgesamt;1 Raum;2 Räume;3 Räume;4 Räume;5 Räume;6 Räume;7 und mehr Räume
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05974020;Geseke;8523;29;385;1261;1792;1716;1392;1945
05974024;Lippetal;4881;11;163;499;944;986;802;1476
05974028;Lippstadt;31797;440;2471;6406;8436;5699;3910;4435
05974032;Möhnesee;5583;106;398;916;1144;1039;778;1199
05974036;Rüthen;4820;18;134;502;988;946;850;1382
05974040;Soest;23362;334;1820;5202;6311;4025;2639;3031
05974044;Warstein;12677;79;573;1971;2771;2609;1888;2786
05974048;Welver;5210;13;137;549;1049;1079;1057;1326
05974052;Werl;13682;89;774;2614;3400;2881;1931;1993
05974056;Wickede (Ruhr);5168;24;244;841;1476;1008;787;788
05978004;Bergkamen;22589;249;1715;4910;5957;4853;2842;2063
05978008;Bönen;8170;64;733;1490;2187;1695;1039;962
05978012;Fröndenberg/Ruhr;9736;75;554;1855;2445;1814;1467;1523
05978016;Holzwickede;8152;145;502;1798;2302;1611;1005;789
05978020;Kamen;21587;310;1665;4702;6672;4047;2249;1942
05978024;Lünen;43481;772;5578;12013;13113;6265;3140;2600
05978028;Schwerte;23963;284;1763;5655;7271;4190;2637;2163
05978032;Selm;12011;54;479;2110;3582;2499;1647;1640
05978036;Unna, Stadt;29684;415;2502;6142;8656;5858;3284;2827
05978040;Werne;14172;218;974;3279;3352;2527;1712;2110
06411000;Darmstadt, krsfr. Stadt;74999;4853;10198;19773;19566;9959;5063;5584
06412000;Frankfurt am Main, krsfr. Stadt;365437;26371;58895;113583;99260;38462;15294;13528
06413000;Offenbach am Main, krsfr. Stadt;58700;2766;7509;18494;18070;6390;2789;2682
06414000;Wiesbaden, krsfr. Stadt;138801;4841;16537;40600;38610;19113;8947;9461
06431001;Abtsteinach;1190;12;52;150;295;230;196;255
06431002;Bensheim;18262;387;1531;3761;3998;3161;2285;3136
06431003;Biblis;4159;57;228;485;974;1044;648;720
06431004;Birkenau;4823;58;267;674;1151;1037;705;922
06431005;Bürstadt;6994;65;218;858;1927;1533;1022;1367
06431006;Einhausen, Hess;2721;23;151;349;559;606;434;599
06431007;Fürth;4752;48;237;608;1065;1031;709;1054
06431008;Gorxheimertal;1992;24;98;287;525;427;257;374
06431009;Grasellenbach;1753;26;113;255;389;380;254;336
06431010;Groß-Rohrheim;1687;23;62;195;386;397;259;365
06431011;Heppenheim (Bergstraße);11860;347;1073;2354;2823;1878;1577;1805
06431012;Hirschhorn (Neckar);1828;29;115;291;468;358;276;291
06431013;Lampertheim;14913;277;1005;2819;4066;2854;1879;1997
06431014;Lautertal (Odenwald);3313;12;125;417;778;726;554;701
06431015;Lindenfels;2559;24;161;422;585;455;387;525
06431016;Lorsch;5860;76;315;882;1412;1176;943;1056
06431017;Mörlenbach;4774;46;248;730;1113;925;762;947
06431018;Neckarsteinach;2039;31;103;352;497;469;253;330
06431019;Rimbach, Odenw;3960;36;162;500;842;882;591;947
06431020;Viernheim;15682;292;1032;3390;4693;3242;1533;1482
06431021;Wald-Michelbach;4925;36;253;665;1206;981;668;1116
06431022;Zwingenberg (Bergstraße);3129;25;243;441;725;622;535;538
06431200;Michelbuch, gem.fr. Geb.;-;-;-;-;-;-;-;-
06432001;Alsbach-Hähnlein;4219;52;277;591;912;945;668;774
06432002;Babenhausen, Hess;7131;100;373;1091;1842;1440;1026;1256
06432003;Bickenbach, Bergstr;2610;27;168;416;741;480;366;412
06432004;Dieburg;6555;183;324;1076;1377;1308;1054;1233
06432005;Eppertshausen;2672;24;154;459;675;586;345;429
06432006;Erzhausen;3438;65;172;568;878;665;554;536
06432007;Fischbachtal;1168;6;49;140;258;254;196;265
06432008;Griesheim;12107;261;994;2525;3535;2070;1362;1354
06432009;Groß-Bieberau;1990;27;106;285;412;414;297;449
06432010;Groß-Umstadt;9214;99;497;1340;2244;1660;1481;1893
06432011;Groß-Zimmern;5890;67;417;939;1393;1068;892;1114
06432012;Messel;1817;56;85;287;429;429;235;296
06432013;Modautal;2181;9;105;252;478;427;394;516
06432014;Mühltal;6317;137;428;900;1509;1211;913;1219
06432015;Münster b Dieburg;6134;57;313;1044;1460;1239;961;1060
06432016;Ober-Ramstadt;6892;148;488;1195;1685;1323;899;1154
06432017;Otzberg;2876;21;123;307;599;561;486;779
06432018;Pfungstadt;11309;124;738;2112;3459;2191;1315;1370
06432019;Reinheim;7537;76;374;1166;1881;1467;1120;1453
06432020;Roßdorf b Darmstadt;5556;76;381;741;1366;1030;900;1062
06432021;Schaafheim;3976;53;147;556;867;903;648;802
06432022;Seeheim-Jugenheim;7589;174;437;1212;1676;1528;1128;1434
06432023;Weiterstadt;11111;268;790;1881;3023;2306;1523;1316
06433001;Biebesheim am Rhein;2901;55;178;499;679;554;416;520
06433002;Bischofsheim;5899;152;532;1211;1749;959;586;710
06433003;Büttelborn;6438;90;468;1054;1628;1262;844;1092
06433004;Gernsheim;4585;73;277;761;1137;954;667;716
06433005;Ginsheim-Gustavsburg;7605;141;744;1747;2375;1405;600;593
06433006;Groß-Gerau;10764;288;938;1887;2618;1909;1398;1723
06433007;Kelsterbach;6845;336;639;1573;2014;1338;528;417
06433008;Mörfelden-Walldorf;15604;531;1356;3251;4487;2659;1720;1594
06433009;Nauheim;4739;116;262;899;1164;894;694;710
06433010;Raunheim;6100;180;893;1769;1191;949;572;546
06433011;Riedstadt;9386;120;552;1277;2234;2027;1426;1747
06433012;Rüsselsheim;28382;1103;2048;7109;9013;4417;2220;2465
06433013;Stockstadt am Rhein;2530;60;104;354;711;518;325;458
06433014;Trebur;6046;147;408;961;1433;1148;862;1078
06434001;Bad Homburg v.d.Höhe;26597;1083;3304;6189;6334;3876;2538;3267
06434002;Friedrichsdorf;11529;276;841;2103;2925;1887;1631;1866
06434003;Glashütten, Taunus;2431;20;119;303;403;453;422;711
06434004;Grävenwiesbach;2266;9;105;305;539;437;409;462
06434005;Königstein im Taunus;7617;209;684;1400;1497;1211;852;1761
06434006;Kronberg im Taunus;8637;459;716;1612;2139;1224;917;1570
06434007;Neu-Anspach;6288;170;348;869;1308;1281;1124;1188
06434008;Oberursel (Taunus);21386;632;1830;5000;5637;3473;2159;2647
06434009;Schmitten;4191;57;212;521;886;788;731;996
06434010;Steinbach (Taunus);4874;63;271;1067;1838;778;425;432
06434011;Usingen;6070;89;435;931;1329;1103;919;1264
06434012;Wehrheim;4212;39;220;513;893;793;813;941
06434013;Weilrod;2971;43;134;409;522;616;552;695
06435001;Bad Orb;5350;131;591;1341;1466;718;473;630
06435002;Bad Soden-Salmünster;6279;102;417;991;1608;1220;803;1138
06435003;Biebergemünd;3842;31;162;452;839;847;737;774
06435004;Birstein;2748;22;64;281;515;534;436;896
06435005;Brachttal;2449;16;71;283;565;502;413;599
06435006;Bruchköbel;9635;102;445;1706;2578;2078;1210;1516
06435007;Erlensee;6080;63;356;1193;1793;1240;690;745
06435008;Flörsbachtal;1218;12;34;126;304;282;196;264
06435009;Freigericht;6651;50;223;861;1647;1533;1031;1306
06435010;Gelnhausen;10449;165;773;1689;2653;1964;1451;1754
06435011;Großkrotzenburg;3542;108;260;591;877;687;536;483
06435012;Gründau;6500;27;267;934;1555;1420;997;1297
06435013;Hammersbach;2227;35;81;295;500;511;382;423
06435014;Hanau;43203;1475;5310;11481;12029;5902;3478;3525
06435015;Hasselroth;3398;35;100;448;890;739;528;658
06435016;Jossgrund;1739;-;76;189;446;433;250;345
06435017;Langenselbold;6328;85;388;1132;1791;1236;768;928
06435018;Linsengericht;4552;36;164;498;1139;980;805;930
06435019;Maintal;18178;574;1786;4187;5392;2946;1614;1675
06435020;Neuberg;2508;12;123;394;576;590;400;413
06435021;Nidderau;8781;62;446;1184;2040;1857;1576;1616
06435022;Niederdorfelden;1676;22;104;280;491;343;230;206
06435023;Rodenbach b Hanau;5162;122;259;843;1375;1002;742;819
06435024;Ronneburg, Hess;1578;12;83;184;395;344;250;310
06435025;Schlüchtern;7424;73;350;1050;1782;1548;1015;1606
06435026;Schöneck;5391;62;271;794;1504;1067;804;889
06435027;Sinntal;4081;20;99;318;854;926;784;1080
06435028;Steinau a.d.Straße;4751;37;205;551;1082;991;738;1147
06435029;Wächtersbach;5542;24;274;906;1409;1115;815;999
06435200;Gutsbezirk Spessart;-;-;-;-;-;-;-;-
06436001;Bad Soden am Taunus;11053;439;1134;2408;2849;1629;1089;1499
06436002;Eppstein;6130;184;310;982;1319;1114;918;1291
06436003;Eschborn;10024;602;1101;2161;2504;1593;1072;991
06436004;Flörsheim am Main;9317;195;624;1873;2418;1796;1182;1220
06436005;Hattersheim am Main;12159;477;850;2671;3751;1904;1144;1359
06436006;Hochheim am Main;7915;222;636;1600;2097;1483;842;1022
06436007;Hofheim am Taunus;17880;591;1212;3078;4608;3197;2410;2769
06436008;Kelkheim (Taunus);13132;280;774;2349;3571;2359;1670;2126
06436009;Kriftel;4828;151;369;944;1326;822;636;580
06436010;Liederbach am Taunus;3943;149;311;800;907;737;525;514
06436011;Schwalbach am Taunus;7098;158;407;1542;1928;1643;739;681
06436012;Sulzbach (Taunus);4259;134;310;1076;1103;709;484;443
06437001;Bad König;4511;74;313;861;985;841;562;875
06437002;Beerfelden;3099;10;130;410;763;636;513;637
06437003;Brensbach;2464;22;138;312;585;493;371;543
06437004;Breuberg;3364;41;140;514;875;679;496;616
06437005;Brombachtal;1745;15;64;234;378;369;283;402
06437006;Erbach;6289;99;579;1164;1403;1047;887;1110
06437007;Fränkisch-Crumbach;1526;9;62;227;337;273;252;366
06437008;Hesseneck;364;-;19;38;82;72;61;92
06437009;Höchst i. Odw.;4578;87;252;637;1177;930;665;830
06437010;Lützelbach;3129;9;129;422;715;607;487;760
06437011;Michelstadt;7658;105;373;1341;1769;1316;1078;1676
06437012;Mossautal;1170;10;37;158;220;230;175;340
06437013;Reichelsheim (Odenwald);4070;39;151;576;1004;840;617;843
06437014;Rothenberg;1146;25;27;150;250;249;196;249
06437015;Sensbachtal;451;-;19;47;97;83;76;129
06438001;Dietzenbach;13970;433;1629;3338;3520;2395;1357;1298
06438002;Dreieich;19885;528;1375;4574;5506;3245;2220;2437
06438003;Egelsbach;4845;81;317;780;1256;976;803;632
06438004;Hainburg;6547;82;393;1268;1777;1395;833;799
06438005;Heusenstamm;8889;207;693;1752;2336;1617;1032;1252
06438006;Langen (Hessen);17164;499;1457;4168;5186;3038;1341;1472
06438007;Mainhausen;4129;44;176;735;1179;849;589;554
06438008;Mühlheim am Main;13121;334;930;3167;4237;2162;1181;1110
06438009;Neu-Isenburg;18899;1091;2230;5244;5656;2386;1059;1233
06438010;Obertshausen;11287;284;903;2579;3561;1917;1022;1021
06438011;Rodgau;19726;439;1351;3665;5091;3953;2668;2559
06438012;Rödermark;11981;182;670;1980;2872;2473;1843;1961
06438013;Seligenstadt;9526;192;557;1686;2741;1865;1134;1351
06439001;Aarbergen;2977;44;145;446;703;569;416;654
06439002;Bad Schwalbach;5185;125;452;1063;1077;937;717;808
06439003;Eltville am Rhein;8086;163;578;1492;2151;1490;1065;1128
06439004;Geisenheim;5705;157;392;1032;1414;987;725;991
06439005;Heidenrod;3768;32;160;501;841;723;686;825
06439006;Hohenstein, Untertaunus;2858;16;130;368;537;617;558;632
06439007;Hünstetten;4465;15;194;518;799;928;784;1224
06439008;Idstein;11224;264;962;2267;2674;1992;1400;1658
06439009;Kiedrich;1853;48;102;335;466;331;264;307
06439010;Lorch, Rheingau;1977;12;98;238;443;397;386;403
06439011;Niedernhausen;7041;131;536;1349;1605;1332;915;1157
06439012;Oestrich-Winkel;5705;185;394;889;1290;1147;827;973
06439013;Rüdesheim am Rhein;4726;167;385;1081;1276;804;434;579
06439014;Schlangenbad;3181;147;260;471;682;584;436;598
06439015;Taunusstein;13394;236;869;2408;3548;2492;1720;2114
06439016;Waldems;2516;33;158;341;503;500;424;557
06439017;Walluf;2844;57;245;521;767;552;336;362
06440001;Altenstadt, Hess;5232;87;253;694;1221;1044;844;1089
06440002;Bad Nauheim;15024;420;1441;3686;4026;2117;1466;1868
06440003;Bad Vilbel;15352;439;1526;3430;3796;2290;1792;2079
06440004;Büdingen;9398;148;613;1549;2046;1732;1332;1978
06440005;Butzbach;11053;143;577;1811;2778;2194;1434;2116
06440006;Echzell;2454;39;121;254;538;504;396;602
06440007;Florstadt;4001;66;184;505;828;906;661;851
06440008;Friedberg (Hessen);13238;390;1173;2506;3344;2404;1550;1871
06440009;Gedern;3313;42;129;353;638;686;573;892
06440010;Glauburg;1472;6;60;195;322;329;198;362
06440011;Hirzenhain;1410;6;79;198;344;263;175;345
06440012;Karben;9780;121;686;1669;2192;1964;1468;1680
06440013;Kefenrod;1200;9;43;138;254;230;155;371
06440014;Limeshain;2370;9;92;379;553;555;325;457
06440015;Münzenberg;2533;20;88;269;495;519;432;710
06440016;Nidda;7744;50;365;1013;1618;1585;1352;1761
06440017;Niddatal;4273;28;162;547;907;874;841;914
06440018;Ober-Mörlen;2805;60;142;420;654;587;406;536
06440019;Ortenberg, Hess;4174;36;165;586;893;893;592;1009
06440020;Ranstadt;2299;9;105;254;485;510;400;536
06440021;Reichelsheim (Wetterau);3034;37;170;388;658;603;552;626
06440022;Rockenberg;1902;20;99;210;394;397;321;461
06440023;Rosbach v.d.Höhe;5248;68;247;706;1102;1094;907;1124
06440024;Wölfersheim;4311;44;196;614;965;843;767;882
06440025;Wöllstadt;2882;41;147;470;677;552;517;478
06531001;Allendorf (Lumda);1884;19;91;179;414;381;289;511
06531002;Biebertal;4728;80;169;611;842;1024;823;1179
06531003;Buseck;5968;104;354;900;1264;1166;951;1229
06531004;Fernwald;3121;196;194;450;611;597;436;637
06531005;Gießen;42556;4197;4472;11183;10753;5739;2903;3309
06531006;Grünberg, Hess;6173;55;300;966;1285;1106;911;1550
06531007;Heuchelheim;3692;110;224;623;873;670;492;700
06531008;Hungen;5787;54;298;813;1139;1076;974;1433
06531009;Langgöns;5231;76;300;682;1170;991;791;1221
06531010;Laubach, Hess;4533;38;207;651;854;879;726;1178
06531011;Lich;6174;96;329;960;1437;1128;922;1299
06531012;Linden, Hessen;5943;301;429;1032;1281;998;696;1206
06531013;Lollar;4270;47;203;672;1136;901;519;792
06531014;Pohlheim;7781;168;495;1032;1910;1459;1075;1642
06531015;Rabenau, Hess;2349;9;57;232;466;482;390;713
06531016;Reiskirchen;4597;52;212;614;1021;862;776;1057
06531017;Staufenberg, Hess;3906;46;220;574;925;829;550;762
06531018;Wettenberg;5814;115;331;903;1060;1077;919;1409
06532001;Aßlar;5984;76;196;873;1384;1136;937;1382
06532002;Bischoffen;1517;21;47;132;254;310;304;449
06532003;Braunfels;5416;46;343;839;1144;1115;747;1182
06532004;Breitscheid, Hess;1970;11;60;205;308;365;355;666
06532005;Dietzhölztal;2778;31;118;339;515;534;465;776
06532006;Dillenburg;10994;86;453;1653;2503;2037;1724;2538
06532007;Driedorf;2377;9;76;266;419;454;462;691
06532008;Ehringshausen;4255;57;159;578;801;829;801;1030
06532009;Eschenburg;4303;19;124;391;766;761;783;1459
06532010;Greifenstein;3186;18;97;344;533;590;622;982
06532011;Haiger;8543;82;385;974;1750;1583;1399;2370
06532012;Herborn, Hess;9674;138;472;1460;2258;1728;1516;2102
06532013;Hohenahr;2267;4;81;202;442;481;431;626
06532014;Hüttenberg;4581;26;224;517;862;881;806;1265
06532015;Lahnau;3927;49;203;592;879;824;591;789
06532016;Leun;2613;23;83;379;534;551;433;610
06532017;Mittenaar;2210;17;53;214;340;441;468;677
06532018;Schöffengrund;2809;6;82;286;499;617;540;779
06532019;Siegbach;1232;3;18;112;189;248;245;417
06532020;Sinn;2902;28;160;328;520;584;537;745
06532021;Solms;6051;29;198;741;1264;1246;1039;1534
06532022;Waldsolms;2277;10;73;312;451;453;409;569
06532023;Wetzlar;25172;347;1680;5324;6770;4460;2879;3712
06533001;Beselich;2431;12;66;300;435;483;477;658
06533002;Brechen;3044;28;104;373;620;601;534;784
06533003;Bad Camberg;6605;102;368;1089;1416;1243;1033;1354
06533004;Dornburg, Westerw;3893;28;128;459;734;752;747;1045
06533005;Elbtal;1097;3;31;139;231;225;195;273
06533006;Elz;3578;32;178;584;728;695;574;787
06533007;Hadamar;5493;86;235;813;1198;1117;875;1169
06533008;Hünfelden;4336;52;116;519;762;800;779;1308
06533009;Limburg a.d.Lahn;16273;272;1178;3038;4371;2809;1972;2633
06533010;Löhnberg;2066;34;56;268;377;377;392;562
06533011;Mengerskirchen;2638;27;100;357;535;455;420;744
06533012;Merenberg;1435;9;42;180;281;283;240;400
06533013;Runkel;4422;34;149;656;914;870;686;1113
06533014;Selters (Taunus);3894;551;120;590;664;627;524;818
06533015;Villmar;3279;16;91;441;617;584;616;914
06533016;Waldbrunn (Westerwald);2660;8;96;317;494;486;492;767
06533017;Weilburg;6134;63;249;997;1265;1100;1037;1423
06533018;Weilmünster;4311;18;207;597;948;799;786;956
06533019;Weinbach;2115;3;31;210;351;405;420;695
06534001;Amöneburg;2250;9;96;234;408;423;393;687
06534002;Angelburg;1518;19;46;153;264;229;273;534
06534003;Bad Endbach;3661;32;152;472;677;679;611;1038
06534004;Biedenkopf;6296;377;210;739;1223;1210;860;1677
06534005;Breidenbach;2874;63;80;268;528;527;467;941
06534006;Cölbe;3171;65;211;508;647;561;440;739
06534007;Dautphetal;4915;88;102;470;877;905;830;1643
06534008;Ebsdorfergrund;3858;28;164;380;684;839;686;1077
06534009;Fronhausen;1828;22;59;206;337;378;340;486
06534010;Gladenbach;5308;139;235;553;1027;1014;874;1466
06534011;Kirchhain;7357;67;400;1125;1484;1415;1190;1676
06534012;Lahntal;2999;46;155;362;663;543;494;736
06534013;Lohra;2540;22;109;293;475;493;440;708
06534014;Marburg;38777;3846;5033;9104;7032;5384;3732;4646
06534015;Münchhausen am Christenberg;1475;12;34;153;237;266;266;507
06534016;Neustadt (Hessen);3953;30;165;538;869;811;616;924
06534017;Rauschenberg;2021;25;72;235;398;380;327;584
06534018;Stadtallendorf;9146;150;708;2046;2061;1489;1203;1486
06534019;Steffenberg;1785;6;49;177;318;349;339;547
06534020;Weimar (Lahn);3161;75;114;355;606;623;470;918
06534021;Wetter (Hessen);4068;44;260;552;771;763;591;1087
06534022;Wohratal;990;3;28;80;164;184;178;353
06535001;Alsfeld;7948;120;532;1399;1731;1348;1090;1728
06535002;Antrifttal;941;-;12;98;162;180;163;326
06535003;Feldatal;1273;19;40;145;205;223;212;429
06535004;Freiensteinau;1371;3;53;105;205;259;257;489
06535005;Gemünden (Felda);1392;6;44;131;240;279;235;457
06535006;Grebenau;1170;0;24;117;194;233;218;384
06535007;Grebenhain;2365;23;85;314;425;383;377;758
06535008;Herbstein;2146;3;75;197;394;397;373;707
06535009;Homberg (Ohm);3501;40;158;509;763;583;533;915
06535010;Kirtorf;1520;9;39;157;272;292;252;499
06535011;Lauterbach (Hess.);6459;77;281;969;1403;1161;1046;1522
06535012;Lautertal (Vogelsberg);1107;-;18;91;187;207;183;421
06535013;Mücke;4358;23;182;519;756;886;756;1236
06535014;Romrod;1290;6;54;95;205;252;250;428
06535015;Schlitz;4392;62;181;577;810;871;694;1197
06535016;Schotten;4999;64;267;723;1010;922;826;1187
06535017;Schwalmtal, Hess;1324;3;27;124;232;260;221;457
06535018;Ulrichstein;1635;22;46;181;321;316;270;479
06535019;Wartenberg, Hess;1796;6;60;179;337;361;352;501
06611000;Kassel, krsfr. Stadt;103563;4972;14434;29364;28467;13089;6535;6702
06631001;Bad Salzschlirf;1526;21;85;312;421;286;174;227
06631002;Burghaun;3015;6;93;293;681;629;485;828
06631003;Dipperz;1498;9;40;148;325;367;308;301
06631004;Ebersburg;2024;3;45;207;407;561;348;453
06631005;Ehrenberg (Rhön);1158;3;26;100;274;273;187;295
06631006;Eichenzell;4899;42;170;501;1150;1168;831;1037
06631007;Eiterfeld;3128;22;91;258;572;710;538;937
06631008;Flieden;4041;24;163;377;943;973;751;810
06631009;Fulda;31778;1236;3081;6855;8239;5532;3303;3532
06631010;Gersfeld (Rhön);2765;16;141;406;609;586;395;612
06631011;Großenlüder;3871;19;127;375;825;1002;646;877
06631012;Hilders;2382;25;95;325;531;508;329;569
06631013;Hofbieber;2722;53;143;264;527;651;428;656
06631014;Hosenfeld;2083;12;28;158;383;521;455;526
06631015;Hünfeld;7107;62;465;953;1598;1417;1027;1585
06631016;Kalbach;2857;21;81;267;622;787;481;598
06631017;Künzell;7610;161;382;1045;1870;1701;1032;1419
06631018;Neuhof, Kr Fulda;5168;25;150;603;1238;1280;870;1002
06631019;Nüsttal;1239;6;32;115;212;306;261;307
06631020;Petersberg, Kr Fulda;7102;74;389;1059;1648;1529;1096;1307
06631021;Poppenhausen (Wasserkuppe);1295;13;54;134;308;291;208;287
06631022;Rasdorf;707;3;15;47;130;170;135;207
06631023;Tann (Rhön);2162;19;73;227;493;443;326;581
06632001;Alheim;2195;15;47;228;453;433;345;674
06632002;Bad Hersfeld;14502;206;1352;3072;3401;2485;1631;2352
06632003;Bebra;6458;85;291;957;1471;1315;925;1414
06632004;Breitenbach a. Herzberg;803;6;9;81;157;150;107;293
06632005;Cornberg;709;6;54;92;128;125;114;190
06632006;Friedewald, Hess;1172;3;31;89;248;249;239;313
06632007;Hauneck;1457;6;28;121;303;336;275;388
06632008;Haunetal;1374;4;38;111;277;287;252;405
06632009;Heringen (Werra);3799;12;57;434;770;834;685;1007
06632010;Hohenroda;1581;3;28;180;298;308;319;445
06632011;Kirchheim, Hess;1835;6;161;229;355;333;282;469
06632012;Ludwigsau;2554;6;68;268;530;495;403;784
06632013;Nentershausen, Hess;1413;3;44;165;256;278;239;428
06632014;Neuenstein, Hess;1428;9;48;147;272;237;310;405
06632015;Niederaula;2417;3;86;276;536;490;353;673
06632016;Philippsthal (Werra);2129;6;72;270;377;415;410;579
06632017;Ronshausen;1295;6;9;144;329;272;204;331
06632018;Rotenburg a.d.Fulda;6602;72;532;1025;1567;1094;879;1433
06632019;Schenklengsfeld;2087;9;40;163;369;455;409;642
06632020;Wildeck;2498;24;87;250;453;484;483;717
06633001;Ahnatal;3829;54;95;443;868;894;635;840
06633002;Bad Karlshafen;2001;27;81;376;544;337;237;399
06633003;Baunatal;13031;201;899;2282;3949;2833;1366;1501
06633004;Breuna;1676;10;46;133;318;342;296;531
06633005;Calden;3502;29;95;419;725;840;573;821
06633006;Bad Emstal;2916;37;149;505;603;577;431;614
06633007;Espenau;2343;9;56;328;596;519;351;484
06633008;Fuldabrück;4330;40;119;658;1008;1187;622;696
06633009;Fuldatal;5839;40;221;937;1482;1350;853;956
06633010;Grebenstein;2838;16;141;369;681;599;441;591
06633011;Habichtswald;2404;17;63;292;530;550;437;515
06633012;Helsa;2704;9;109;434;696;585;388;483
06633013;Hofgeismar;6957;68;213;1125;1880;1425;935;1311
06633014;Immenhausen;3573;3;111;580;912;849;483;635
06633015;Kaufungen;5981;41;307;1072;1476;1230;764;1091
06633016;Liebenau, Hess;1524;3;18;178;259;335;259;472
06633017;Lohfelden;6596;52;668;1249;1716;1250;749;912
06633018;Naumburg;2574;3;108;329;597;540;399;598
06633019;Nieste;849;3;31;84;187;214;143;187
06633020;Niestetal;5323;74;348;883;1623;1032;608;755
06633021;Oberweser;1662;19;42;160;377;322;257;485
06633022;Reinhardshagen;2311;26;63;258;624;523;347;470
06633023;Schauenburg;4835;28;153;637;1250;1138;784;845
06633024;Söhrewald;2363;7;62;279;658;587;345;425
06633025;Trendelburg;2535;34;31;249;515;501;494;711
06633026;Vellmar;8792;72;414;1302;2772;2022;1049;1161
06633027;Wahlsburg;1052;-;34;117;256;181;157;307
06633028;Wolfhagen;6077;37;262;932;1286;1323;851;1386
06633029;Zierenberg;3234;37;91;442;700;677;518;769
06633200;Gutsbezirk Reinhardswald;-;-;-;-;-;-;-;-
06634001;Borken (Hessen);6029;21;222;719;1242;1414;942;1469
06634002;Edermünde;3460;35;81;438;796;819;558;733
06634003;Felsberg;5033;13;141;564;1116;1168;803;1228
06634004;Frielendorf;3574;19;71;383;784;766;579;972
06634005;Fritzlar;6743;95;473;1036;1326;1358;907;1548
06634006;Gilserberg;1437;18;39;159;261;262;239;459
06634007;Gudensberg;4297;26;157;681;977;966;611;879
06634008;Guxhagen;2554;24;96;324;616;596;361;537
06634009;Homberg (Efze);6711;47;383;938;1470;1398;976;1499
06634010;Jesberg;1186;12;27;131;262;280;162;312
06634011;Knüllwald;2223;15;49;208;472;482;384;613
06634012;Körle;1354;10;41;131;295;324;234;319
06634013;Malsfeld;1849;6;50;186;335;372;313;587
06634014;Melsungen;6674;70;350;1062;1715;1310;892;1275
06634015;Morschen;1706;7;45;191;393;331;315;424
06634016;Neuental;1521;-;22;140;313;372;247;427
06634017;Neukirchen, Knüll;3342;24;165;491;728;696;438;800
06634018;Niedenstein;2525;3;67;314;577;571;420;573
06634019;Oberaula;1716;9;68;235;335;375;253;441
06634020;Ottrau;1018;3;25;83;163;189;174;381
06634021;Schrecksbach;1413;13;19;103;242;317;288;431
06634022;Schwalmstadt;8546;93;488;1334;1959;1782;1213;1677
06634023;Schwarzenborn, Knüll;483;12;6;47;91;83;105;139
06634024;Spangenberg;3049;15;112;367;620;685;480;770
06634025;Wabern;3382;18;61;321;715;781;589;897
06634026;Willingshausen;2282;16;49;186;485;481;378;687
06634027;Bad Zwesten;2016;44;98;336;469;356;316;397
06635001;Allendorf (Eder);2388;36;63;283;448;456;397;705
06635002;Bad Arolsen;7611;157;558;1268;1708;1283;962;1672
06635003;Bad Wildungen;8671;200;775;2020;1930;1294;980;1472
06635004;Battenberg (Eder);2500;12;100;289;432;470;443;754
06635005;Bromskirchen;980;12;55;143;212;179;141;238
06635006;Burgwald;2199;18;80;219;394;456;403;629
06635007;Diemelsee;2517;31;147;274;457;505;399;704
06635008;Diemelstadt;2522;18;115;283;441;439;533;693
06635009;Edertal;3428;22;201;479;789;614;486;837
06635010;Frankenau;1477;-;43;134;299;296;229;476
06635011;Frankenberg (Eder);8468;148;512;1447;1774;1642;1078;1867
06635012;Gemünden (Wohra);1781;6;52;247;349;368;261;498
06635013;Haina (Kloster);1530;-;24;118;280;320;279;509
06635014;Hatzfeld (Eder);1529;-;41;195;240;290;310;453
06635015;Korbach;11351;138;695;1945;3024;1989;1580;1980
06635016;Lichtenfels, Hess;1912;16;91;194;315;313;377;606
06635017;Rosenthal, Hess;968;-;34;100;154;201;156;323
06635018;Twistetal;1976;15;60;145;337;378;337;704
06635019;Vöhl;2914;26;130;381;673;565;426;713
06635020;Volkmarsen;3144;28;89;353;687;637;518;832
06635021;Waldeck, Hess;3769;49;164;514;803;752;548;939
06635022;Willingen (Upland);4025;181;535;855;836;549;504;565
06636001;Bad Sooden-Allendorf;4436;75;313;856;961;829;622;780
