GENESIS-Tabelle: 31211-06-01-5-B
Wohngebäude nach Baujahr;;;;;;;;;;;;
- Stichtag 09.05.2011;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;;;;;;
Stichtag: 09.05.2011;;;;;;;;;;;;
;;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude;Wohngebäude
;;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr;Baujahr
;;Insgesamt;Baujahr vor 1919;Baujahr 1919 bis 1948;Baujahr 1949 bis 1978;Baujahr 1979 bis 1986;Baujahr 1987 bis 1990;Baujahr 1991 bis 1995;Baujahr 1996 bis 2000;Baujahr 2001 bis 2004;Baujahr 2005 bis 2008;Baujahr 2009 und später
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06440004;Büdingen;5467;857;327;2221;563;251;337;381;296;203;31
06440005;Butzbach;5929;972;606;2528;490;233;327;344;200;155;74
06440006;Echzell;1590;306;107;669;175;61;121;92;19;30;10
06440007;Florstadt;2527;445;196;1068;257;133;104;154;85;61;24
06440008;Friedberg (Hessen);5958;890;619;2338;517;185;340;340;368;272;89
06440009;Gedern;2147;266;175;870;233;79;155;206;109;45;9
06440010;Glauburg;922;126;76;445;116;22;41;34;6;34;22
06440011;Hirzenhain;882;98;76;425;133;25;53;20;26;23;3
06440012;Karben;5562;477;265;2957;710;307;238;218;164;171;55
06440013;Kefenrod;745;81;46;316;76;37;71;66;37;9;6
06440014;Limeshain;1487;102;61;739;216;66;89;92;53;53;16
06440015;Münzenberg;1686;323;112;637;161;40;146;122;65;54;26
06440016;Nidda;4818;826;407;2099;477;198;287;259;120;101;44
06440017;Niddatal;2716;295;179;1283;280;116;155;122;146;96;44
06440018;Ober-Mörlen;1712;290;118;722;151;69;141;100;57;58;6
06440019;Ortenberg, Hess;2596;476;195;1094;263;97;169;154;67;69;12
06440020;Ranstadt;1580;254;64;656;165;80;93;93;68;83;24
06440021;Reichelsheim (Wetterau);1958;273;104;887;220;65;128;107;63;80;31
06440022;Rockenberg;1204;177;103;459;143;35;91;75;18;78;25
06440023;Rosbach v.d.Höhe;3467;405;184;1452;398;185;199;186;193;206;59
06440024;Wölfersheim;2794;414;265;1135;235;84;123;173;155;173;37
06440025;Wöllstadt;1671;186;119;717;154;117;98;138;76;56;10
06531001;Allendorf (Lumda);1288;202;100;522;120;51;77;88;71;40;17
06531002;Biebertal;3150;409;291;1540;337;89;139;159;98;66;22
06531003;Buseck;3400;399;267;1558;475;100;115;290;114;67;15
06531004;Fernwald;1680;207;98;834;174;70;112;100;27;42;16
06531005;Gießen;11722;1443;1479;5864;855;339;464;436;285;399;158
06531006;Grünberg, Hess;3761;516;284;1533;457;157;249;295;131;126;13
06531007;Heuchelheim;1964;341;199;890;171;56;75;76;47;83;26
06531008;Hungen;3742;719;275;1584;338;125;194;218;142;117;30
06531009;Langgöns;3206;401;173;1359;477;155;179;241;116;85;20
06531010;Laubach, Hess;3026;549;212;1301;332;91;204;158;90;68;21
06531011;Lich;3576;658;220;1449;337;115;196;210;181;162;48
06531012;Linden, Hessen;2973;397;268;1339;364;110;152;170;103;60;10
06531013;Lollar;2278;294;225;1029;288;57;100;147;66;39;33
06531014;Pohlheim;4234;563;363;1793;521;159;225;153;236;184;37
06531015;Rabenau, Hess;1595;266;169;665;186;78;89;75;30;25;12
06531016;Reiskirchen;2829;347;202;1161;389;104;190;223;110;70;33
06531017;Staufenberg, Hess;2297;364;241;972;203;63;121;121;133;60;19
06531018;Wettenberg;3553;436;307;1661;362;139;181;193;131;98;45
06532001;Aßlar;3541;348;497;1619;338;158;214;171;105;69;22
06532002;Bischoffen;1079;124;88;475;130;55;52;73;28;44;10
06532003;Braunfels;3510;495;199;1738;354;157;186;175;119;78;9
06532004;Breitscheid, Hess;1452;143;162;621;130;56;83;119;76;41;21
06532005;Dietzhölztal;1875;282;217;861;168;68;122;83;46;13;15
06532006;Dillenburg;6340;1072;763;2988;437;138;273;329;161;152;27
06532007;Driedorf;1755;211;152;743;219;58;124;123;71;36;18
06532008;Ehringshausen;2787;290;299;1296;241;84;170;192;122;74;19
06532009;Eschenburg;3023;415;288;1292;271;130;217;212;124;53;21
06532010;Greifenstein;2429;382;238;1110;204;53;115;170;85;47;25
06532011;Haiger;5466;812;506;2588;540;150;279;284;192;91;24
06532012;Herborn, Hess;5570;719;624;2913;410;147;248;260;123;86;40
06532013;Hohenahr;1671;223;141;699;181;85;111;100;75;44;12
06532014;Hüttenberg;2936;312;210;1250;327;145;181;187;123;161;40
06532015;Lahnau;2301;270;234;1213;183;78;110;113;35;46;19
06532016;Leun;1794;290;171;741;208;60;97;128;37;53;9
06532017;Mittenaar;1645;218;186;736;129;44;90;130;63;35;14
06532018;Schöffengrund;1996;278;89;896;248;94;109;120;71;60;31
06532019;Siegbach;944;201;98;385;116;15;31;52;30;13;3
06532020;Sinn;1992;207;197;1000;148;76;78;134;104;39;9
06532021;Solms;3996;372;344;2113;347;142;195;293;116;44;30
06532022;Waldsolms;1635;206;104;707;165;60;192;99;47;35;20
06532023;Wetzlar;11682;1355;1755;5972;740;361;556;379;302;224;38
06533001;Beselich;1714;329;141;637;173;69;102;142;72;33;16
06533002;Brechen;2063;371;171;862;160;111;95;155;57;72;9
06533003;Bad Camberg;3889;591;209;1597;478;218;209;222;208;129;28
06533004;Dornburg, Westerw;2768;402;327;1189;227;94;146;153;110;82;38
06533005;Elbtal;780;80;83;335;89;43;69;34;19;16;12
06533006;Elz;2211;271;262;926;170;58;138;193;109;71;13
06533007;Hadamar;3369;508;334;1398;307;89;218;208;137;133;37
06533008;Hünfelden;3097;639;132;1106;426;118;214;257;96;83;26
06533009;Limburg a.d.Lahn;7763;991;850;3312;771;305;508;441;277;229;79
06533010;Löhnberg;1460;268;161;626;130;57;70;78;38;29;3
06533011;Mengerskirchen;1890;246;197;779;200;59;121;155;72;48;13
06533012;Merenberg;1017;134;81;380;143;48;77;105;29;10;10
06533013;Runkel;2947;507;288;1179;276;101;153;218;107;97;21
06533014;Selters (Taunus);2276;526;169;824;182;113;127;180;67;64;24
06533015;Villmar;2342;465;212;888;184;69;142;184;76;87;35
06533016;Waldbrunn (Westerwald);1813;182;231;820;166;80;95;111;63;43;22
06533017;Weilburg;3754;657;312;1633;365;88;164;316;129;77;13
06533018;Weilmünster;2859;540;265;1147;263;86;165;214;105;42;32
06533019;Weinbach;1591;285;121;713;139;41;91;117;46;22;16
06534001;Amöneburg;1610;332;113;625;165;43;125;88;62;46;11
06534002;Angelburg;1050;157;130;493;64;29;48;67;38;18;6
06534003;Bad Endbach;2399;341;260;1095;230;63;112;176;69;38;15
06534004;Biedenkopf;3905;734;468;1812;282;111;122;166;113;82;15
06534005;Breidenbach;1849;278;204;748;174;48;99;142;77;51;28
06534006;Cölbe;1867;286;224;725;181;69;132;91;118;35;6
06534007;Dautphetal;3404;505;334;1508;357;124;124;221;139;68;24
06534008;Ebsdorfergrund;2708;659;221;853;268;116;185;175;105;92;34
06534009;Fronhausen;1254;282;104;467;114;22;70;88;46;40;21
06534010;Gladenbach;3282;485;326;1412;279;121;179;234;114;107;25
06534011;Kirchhain;4426;672;405;1880;439;142;265;265;189;142;27
06534012;Lahntal;1827;248;176;680;218;79;74;125;129;62;36
06534013;Lohra;1687;250;116;711;189;71;105;94;71;56;24
06534014;Marburg;12700;1847;1145;6007;1158;435;651;629;462;293;73
06534015;Münchhausen am Christenberg;1088;216;126;433;102;28;49;71;34;20;9
06534016;Neustadt (Hessen);2430;380;314;963;205;72;148;143;101;81;23
06534017;Rauschenberg;1385;300;174;497;110;51;79;102;43;20;9
06534018;Stadtallendorf;4403;510;315;2143;409;127;219;286;157;211;26
06534019;Steffenberg;1293;251;148;510;136;31;61;69;48;33;6
06534020;Weimar (Lahn);2102;355;171;822;209;56;116;165;88;63;57
06534021;Wetter (Hessen);2499;423;254;1034;253;81;148;128;77;77;24
06534022;Wohratal;772;152;81;278;62;27;78;57;15;16;6
06535001;Alsfeld;4328;918;447;1892;355;118;189;240;110;47;12
06535002;Antrifttal;645;135;55;247;58;25;25;49;29;16;6
06535003;Feldatal;956;323;50;297;109;32;50;51;22;13;9
06535004;Freiensteinau;1014;153;85;378;144;38;51;68;62;29;6
06535005;Gemünden (Felda);1010;274;88;316;114;15;66;78;34;17;8
06535006;Grebenau;890;148;112;422;105;20;12;33;25;7;6
06535007;Grebenhain;1647;287;142;577;245;83;107;112;46;42;6
06535008;Herbstein;1467;360;100;479;140;76;103;128;48;21;12
06535009;Homberg (Ohm);2180;467;221;812;208;76;131;132;68;41;24
06535010;Kirtorf;1054;296;110;319;105;31;49;53;50;35;6
06535011;Lauterbach (Hess.);3961;674;446;1805;285;89;207;195;134;99;27
06535012;Lautertal (Vogelsberg);850;196;66;281;102;40;61;69;19;10;6
06535013;Mücke;3067;491;261;1247;369;120;204;193;99;65;18
06535014;Romrod;936;229;85;342;69;16;48;70;34;33;10
06535015;Schlitz;2709;511;245;1190;226;87;134;146;94;67;9
06535016;Schotten;3314;540;230;1341;406;137;210;238;121;76;15
06535017;Schwalmtal, Hess;962;242;103;362;83;36;46;55;22;10;3
06535018;Ulrichstein;1256;346;81;417;173;42;74;68;27;19;9
06535019;Wartenberg, Hess;1203;181;97;472;97;49;81;118;46;40;22
06611000;Kassel, krsfr. Stadt;30440;2375;6326;14890;2165;747;1288;1311;687;504;147
06631001;Bad Salzschlirf;715;112;52;298;96;40;59;32;7;16;3
06631002;Burghaun;1949;245;162;761;228;84;139;152;85;57;36
06631003;Dipperz;883;67;55;314;125;66;72;91;31;46;16
06631004;Ebersburg;1274;109;111;486;169;53;86;102;97;43;18
06631005;Ehrenberg (Rhön);748;104;71;277;65;30;77;68;25;28;3
06631006;Eichenzell;2866;200;157;1083;255;143;250;312;238;193;35
06631007;Eiterfeld;2117;220;199;873;218;98;155;173;90;66;25
06631008;Flieden;2312;175;191;1037;243;97;161;186;94;94;34
06631009;Fulda;12044;1123;1170;5567;1221;478;855;636;543;376;75
06631010;Gersfeld (Rhön);1648;297;197;599;179;48;75;102;78;55;18
06631011;Großenlüder;2317;349;161;821;255;116;170;192;148;71;34
06631012;Hilders;1472;173;124;565;182;71;129;120;65;33;10
06631013;Hofbieber;1714;220;154;580;187;77;135;181;86;70;24
06631014;Hosenfeld;1274;190;92;477;140;55;107;105;60;33;15
06631015;Hünfeld;3969;243;265;1741;442;183;354;314;205;154;68
06631016;Kalbach;1776;187;115;723;192;118;124;158;80;54;25
06631017;Künzell;3912;162;221;1739;584;272;290;270;165;156;53
06631018;Neuhof, Kr Fulda;2910;212;279;1346;298;114;241;186;104;106;24
06631019;Nüsttal;838;104;60;296;93;59;61;74;53;32;6
06631020;Petersberg, Kr Fulda;3797;160;269;1863;430;180;253;216;165;208;53
06631021;Poppenhausen (Wasserkuppe);792;98;70;322;95;12;46;70;35;22;22
06631022;Rasdorf;483;78;39;161;48;23;57;49;25;-;3
06631023;Tann (Rhön);1367;211;177;564;121;34;105;80;32;28;15
06632001;Alheim;1459;340;221;458;102;55;74;121;49;35;4
06632002;Bad Hersfeld;7056;552;931;3791;717;223;329;274;139;85;15
06632003;Bebra;3946;589;709;1798;311;76;164;174;83;25;17
06632004;Breitenbach a. Herzberg;569;151;71;205;51;9;23;40;9;7;3
06632005;Cornberg;500;75;189;145;37;10;17;12;9;-;6
06632006;Friedewald, Hess;793;99;83;386;46;23;39;53;27;33;4
06632007;Hauneck;1051;160;97;468;146;31;31;66;30;13;9
06632008;Haunetal;965;242;99;373;76;25;18;65;44;19;4
06632009;Heringen (Werra);2632;233;501;1425;169;50;69;101;42;33;9
06632010;Hohenroda;1114;108;146;560;113;30;38;60;24;22;13
06632011;Kirchheim, Hess;1210;171;120;596;120;54;63;38;24;21;3
06632012;Ludwigsau;1775;263;224;768;170;43;101;127;42;34;3
06632013;Nentershausen, Hess;1017;192;271;366;66;18;37;39;15;6;7
06632014;Neuenstein, Hess;978;243;98;349;90;19;44;60;46;26;3
06632015;Niederaula;1621;215;184;748;109;34;101;113;59;41;17
06632016;Philippsthal (Werra);1436;127;198;802;99;41;69;56;20;18;6
06632017;Ronshausen;870;96;133;370;153;13;16;42;37;7;3
06632018;Rotenburg a.d.Fulda;3770;488;408;1846;311;85;242;223;90;61;16
06632019;Schenklengsfeld;1491;173;148;702;148;67;86;83;39;27;18
06632020;Wildeck;1811;269;358;755;99;41;105;97;52;32;3
06633001;Ahnatal;2678;199;194;1423;318;65;140;238;62;33;6
06633002;Bad Karlshafen;1107;235;143;559;69;12;12;45;16;16;-
06633003;Baunatal;6366;452;350;2654;998;495;426;513;296;143;39
06633004;Breuna;1245;281;174;444;73;40;50;111;44;15;13
06633005;Calden;2386;421;188;886;253;86;241;163;84;55;9
06633006;Bad Emstal;1655;234;156;633;220;53;121;137;65;27;9
06633007;Espenau;1542;176;132;684;219;35;66;156;34;33;7
06633008;Fuldabrück;2680;272;166;1455;308;68;75;187;107;33;9
06633009;Fuldatal;3553;382;453;1766;377;86;138;162;88;89;12
06633010;Grebenstein;1723;359;172;647;180;47;97;97;72;37;15
06633011;Habichtswald;1651;203;114;713;212;47;74;146;82;47;13
06633012;Helsa;1750;332;252;754;137;50;71;78;44;32;-
06633013;Hofgeismar;3825;488;400;1652;397;132;228;296;151;68;13
06633014;Immenhausen;2153;312;214;925;238;57;108;139;118;36;6
06633015;Kaufungen;3534;385;215;1488;394;164;285;326;133;119;25
06633016;Liebenau, Hess;1125;329;134;409;80;20;44;62;29;12;6
06633017;Lohfelden;3401;308;424;1395;443;144;132;282;100;150;23
06633018;Naumburg;1565;405;143;536;128;59;87;114;56;31;6
06633019;Nieste;602;78;36;212;52;19;42;90;22;44;7
06633020;Niestetal;2919;212;344;1506;266;103;116;175;142;49;6
06633021;Oberweser;1107;343;162;359;89;33;29;39;33;10;10
06633022;Reinhardshagen;1473;293;121;650;151;39;87;96;24;3;9
06633023;Schauenburg;3026;465;334;1295;358;67;157;195;81;58;16
06633024;Söhrewald;1549;215;151;659;189;42;105;109;44;21;14
06633025;Trendelburg;1748;501;188;611;163;41;68;86;53;25;12
06633026;Vellmar;4909;233;368;2437;677;254;279;290;249;106;16
06633027;Wahlsburg;659;169;123;233;50;18;21;33;6;3;3
06633028;Wolfhagen;3503;725;330;1407;290;82;146;244;143;118;18
06633029;Zierenberg;2100;354;171;907;258;47;106;124;86;33;14
06633200;Gutsbezirk Reinhardswald;-;-;-;-;-;-;-;-;-;-;-
06634001;Borken (Hessen);3997;581;418;2131;338;66;171;144;93;49;6
06634002;Edermünde;2245;344;167;966;224;49;141;132;108;96;18
06634003;Felsberg;3327;639;360;1561;242;75;130;177;82;40;21
06634004;Frielendorf;2358;568;309;826;156;69;128;158;112;23;9
06634005;Fritzlar;3892;685;299;1597;401;103;228;304;149;116;10
06634006;Gilserberg;996;243;131;353;93;13;50;43;37;23;10
06634007;Gudensberg;2628;464;224;899;180;86;222;237;125;146;45
06634008;Guxhagen;1657;271;162;614;195;42;133;118;63;56;3
06634009;Homberg (Efze);3918;816;485;1580;334;97;172;207;139;72;16
06634010;Jesberg;804;201;79;354;62;10;28;36;24;7;3
06634011;Knüllwald;1546;387;205;596;137;43;50;87;22;16;3
06634012;Körle;934;127;103;320;108;37;82;72;48;30;7
06634013;Malsfeld;1301;351;142;470;88;7;68;74;43;37;21
06634014;Melsungen;3629;534;342;1804;309;80;193;190;92;70;15
06634015;Morschen;1165;308;152;465;71;35;34;44;27;26;3
06634016;Neuental;1055;236;126;455;72;12;25;80;29;17;3
06634017;Neukirchen, Knüll;1878;389;174;796;140;47;94;95;81;44;18
06634018;Niedenstein;1658;308;103;658;170;54;126;119;73;35;12
06634019;Oberaula;1111;185;142;442;173;26;47;36;34;16;10
06634020;Ottrau;737;171;106;261;53;25;40;55;11;9;6
06634021;Schrecksbach;945;196;88;376;68;41;32;65;31;41;7
06634022;Schwalmstadt;4694;645;521;2156;387;148;246;330;153;101;7
06634023;Schwarzenborn, Knüll;343;110;55;110;21;10;13;12;9;3;-
06634024;Spangenberg;1924;451;223;784;149;50;73;99;66;13;16
06634025;Wabern;2290;519;259;889;154;57;96;136;113;41;26
06634026;Willingshausen;1524;357;185;506;120;47;76;107;51;59;16
06634027;Bad Zwesten;1157;184;74;396;162;62;118;102;37;13;9
06635001;Allendorf (Eder);1565;195;151;563;119;50;153;189;96;45;4
06635002;Bad Arolsen;4137;686;391;1898;376;87;184;272;153;78;12
06635003;Bad Wildungen;4170;727;406;1769;368;119;258;279;155;71;18
06635004;Battenberg (Eder);1680;260;137;710;162;56;118;145;51;38;3
06635005;Bromskirchen;679;105;44;278;89;20;43;60;16;15;9
06635006;Burgwald;1479;152;157;638;162;55;83;112;60;48;12
06635007;Diemelsee;1692;385;146;650;164;54;75;122;55;28;13
06635008;Diemelstadt;1739;412;264;634;133;28;58;121;39;30;20
06635009;Edertal;2357;469;265;949;180;69;153;143;85;36;8
06635010;Frankenau;1062;215;114;338;146;44;70;78;30;17;10
06635011;Frankenberg (Eder);4779;526;371;2137;599;171;317;353;158;114;33
06635012;Gemünden (Wohra);1176;247;139;407;107;27;73;95;53;22;6
06635013;Haina (Kloster);1099;209;165;434;73;43;46;55;42;26;6
06635014;Hatzfeld (Eder);1091;218;116;443;147;28;38;63;25;13;-
06635015;Korbach;5949;569;613;3010;423;208;313;360;290;140;23
06635016;Lichtenfels, Hess;1325;348;162;449;132;25;75;83;32;12;7
06635017;Rosenthal, Hess;682;110;85;249;67;13;54;49;21;28;6
06635018;Twistetal;1388;287;189;536;120;31;68;73;42;30;12
06635019;Vöhl;2018;337;177;898;199;68;124;117;55;37;6
06635020;Volkmarsen;1970;412;259;757;133;42;107;137;72;42;9
06635021;Waldeck, Hess;2559;451;270;1100;232;82;120;175;78;30;21
06635022;Willingen (Upland);1864;257;180;841;253;59;56;107;54;44;13
06636001;Bad Sooden-Allendorf;2448;726;229;975;199;52;90;108;38;31;-
06636002;Berkatal;635;149;55;253;75;18;29;28;19;6;3
06636003;Eschwege;5115;1161;693;2269;318;86;184;197;122;75;10
06636004;Großalmerode;2098;487;235;913;154;78;73;81;50;16;11
06636005;Herleshausen;931;274;148;308;49;6;53;48;26;19;-
06636006;Hessisch Lichtenau;3591;526;516;1712;313;93;88;198;79;54;12
06636007;Meinhard;1792;384;172;897;171;27;50;45;30;7;9
06636008;Meißner;1166;277;106;524;92;26;49;51;14;23;4
06636009;Neu-Eichenberg;683;168;27;313;73;14;24;36;19;-;9
06636010;Ringgau;1067;274;90;451;103;18;53;44;22;9;3
06636011;Sontra;2415;470;521;899;172;45;86;126;63;30;3
06636012;Waldkappel;1529;379;111;667;136;41;72;61;37;19;6
06636013;Wanfried;1463;418;164;575;141;34;64;38;22;7;-
06636014;Wehretal;1717;299;186;750;176;19;65;148;41;23;10
06636015;Weißenborn b Eschwege;399;83;76;147;47;13;12;12;9;-;-
06636016;Witzenhausen;4405;960;588;1897;360;101;161;192;68;60;18
06636200;Gutsbezirk Kaufunger Wald;-;-;-;-;-;-;-;-;-;-;-
07111000;Koblenz, krsfr. Stadt;20328;2777;2285;9833;1742;583;847;907;551;590;213
0713100007;Bad Neuenahr-Ahrweiler, verbandsfr. Gemeinde;6551;872;607;2950;565;235;385;466;203;180;88
0713100070;Remagen, verbandsfr. Gemeinde;4494;576;417;1875;497;161;300;203;217;137;111
0713100077;Sinzig, verbandsfr. Gemeinde;4719;449;364;2063;633;183;275;403;144;156;49
0713100090;Grafschaft, verbandsfr. Gemeinde;3632;444;158;971;489;239;561;417;186;137;30
0713101;Adenau, Verbandsgem.;5381;620;631;2503;466;181;259;364;199;111;47
0713101001;Adenau;921;100;143;435;66;27;18;47;51;16;18
0713101004;Antweiler;238;48;31;123;7;-;15;8;6;-;-
0713101005;Aremberg;103;17;15;46;12;-;3;4;3;3;-
0713101008;Barweiler;175;19;13;71;25;3;9;16;7;6;6
0713101009;Bauler b Barweiler;25;3;-;11;4;-;4;3;-;-;-
0713101015;Dankerath;33;4;7;12;3;-;3;-;4;-;-
0713101018;Dorsel;103;28;25;29;6;3;3;-;6;3;-
0713101021;Eichenbach;54;6;7;32;6;-;-;3;-;-;-
0713101022;Fuchshofen;49;10;-;19;7;-;9;-;-;4;-
0713101026;Harscheid;58;3;3;28;12;-;3;6;3;-;-
0713101028;Herschbroich;99;4;0;70;3;3;-;10;3;3;3
0713101030;Hoffeld, Eifel;141;19;30;51;15;-;7;-;10;9;-
0713101032;Honerath;62;16;7;19;3;3;7;-;3;4;-
0713101033;Hümmel;219;18;32;85;19;10;3;33;6;10;3
0713101034;Insul;186;15;9;84;14;10;14;22;6;12;-
0713101037;Kaltenborn;173;11;22;96;13;9;9;4;3;6;-
0713101042;Kottenborn;48;3;-;16;13;6;-;7;3;-;-
0713101044;Leimbach b Adenau;207;29;31;72;26;9;10;20;6;4;-
0713101050;Meuspath;89;12;3;50;8;-;6;6;-;-;4
0713101051;Müllenbach b Adenau;173;12;23;68;23;11;12;18;3;3;-
0713101052;Müsch;88;7;13;35;15;-;3;9;6;-;-
0713101058;Nürburg;78;12;9;41;3;3;-;3;7;-;-
0713101062;Ohlenhard;71;13;-;38;6;4;-;6;4;-;-
0713101065;Pomster;77;13;13;36;3;3;3;3;3;-;-
0713101066;Quiddelbach;114;7;18;63;9;3;4;0;10;-;-
0713101069;Reifferscheid;222;22;9;123;23;16;19;0;3;4;3
0713101072;Rodder;82;15;6;34;3;4;6;14;-;-;-
0713101074;Schuld;284;15;29;160;19;11;14;25;7;4;-
0713101075;Senscheid;41;8;6;15;4;-;-;8;-;-;-
0713101076;Sierscheid;48;3;6;24;3;6;-;6;-;-;-
0713101079;Trierscheid;24;3;-;12;-;-;-;3;6;-;-
0713101082;Wershofen;375;36;45;158;36;16;15;42;14;10;3
0713101083;Wiesemscheid;92;-;13;29;13;3;21;13;-;-;-
0713101084;Wimbach;187;10;24;94;9;3;20;7;10;3;7
0713101085;Winnerath;88;3;3;48;3;6;9;3;6;7;-
0713101086;Wirft;57;23;6;9;10;-;-;9;-;-;-
0713101501;Dümpelfeld;297;53;30;167;22;9;10;6;-;-;-
0713102;Altenahr, Verbandsgem.;4167;469;431;1882;418;128;231;334;116;108;50
0713102002;Ahrbrück;421;30;15;253;22;3;14;45;17;16;6
0713102003;Altenahr;599;81;95;276;45;20;15;43;10;7;7
0713102011;Berg, Kr Ahrweiler;519;57;54;210;60;23;54;33;15;10;3
0713102017;Dernau;599;63;71;273;46;35;43;51;6;7;4
0713102027;Heckenbach;118;-;-;69;27;3;9;3;4;3;-
0713102029;Hönningen;405;29;45;145;49;10;33;54;17;13;10
0713102036;Kalenborn, Kr Ahrweiler;233;24;11;99;31;12;10;28;9;6;3
0713102039;Kesseling;275;64;12;127;28;-;4;18;3;16;3
0713102040;Kirchsahr;206;27;3;101;21;10;7;21;10;3;3
0713102047;Lind, Kr Ahrweiler;240;23;25;74;39;9;26;22;6;9;7
0713102049;Mayschoß;340;58;47;154;30;0;9;10;13;15;4
0713102068;Rech;212;13;53;101;20;3;7;6;6;3;-
0713103;Bad Breisig, Verbandsgem.;3639;450;352;1613;376;107;211;283;144;79;24
0713103006;Bad Breisig;2172;159;190;1084;252;57;135;167;78;37;13
0713103014;Brohl-Lützing;912;190;124;342;66;28;51;63;21;27;-
0713103025;Gönnersdorf, Kr Ahrweiler;241;25;17;98;19;13;12;29;12;9;7
0713103081;Waldorf;314;76;21;89;39;9;13;24;33;6;4
0713104;Brohltal, Verbandsgem.;6661;848;596;2525;791;259;438;542;369;212;81
0713104016;Dedenbach;179;32;11;63;27;3;12;19;3;9;-
0713104041;Königsfeld, Eifel;236;27;9;87;32;6;17;29;3;26;-
0713104054;Niederdürenbach;337;19;32;129;71;17;12;29;19;6;3
0713104055;Niederzissen;961;91;92;357;136;33;83;80;45;29;15
0713104059;Oberdürenbach;275;44;17;76;32;9;25;34;22;13;3
0713104060;Oberzissen;365;15;44;154;64;11;20;21;24;9;3
0713104073;Schalkenbach;340;25;27;112;67;20;9;46;24;7;3
0713104201;Brenk;80;28;-;24;6;-;3;9;3;7;-
0713104202;Burgbrohl;1148;130;157;516;86;54;48;85;40;17;15
0713104204;Galenberg;71;4;6;33;6;-;6;3;10;3;-
0713104205;Glees;214;23;24;70;29;6;21;15;12;8;6
0713104206;Hohenleimbach;119;6;15;47;9;6;13;7;9;-;7
0713104208;Spessart;273;27;16;112;20;3;29;28;22;13;3
0713104209;Wassenach;410;69;30;165;32;23;47;13;18;10;3
0713104210;Wehr, Eifel;453;116;27;153;44;14;27;30;16;16;10
0713104211;Weibern;545;122;42;172;58;19;35;31;46;17;3
0713104502;Kempenich;655;70;47;255;72;35;31;63;53;22;7
0713200050;Herdorf, verbandsfr. Gemeinde;2236;525;247;916;191;72;72;107;48;42;16
0713201;Altenkirchen (Westerwald), Verbandsgem.;6776;764;890;2483;695;199;528;608;366;176;67
0713201001;Almersbach;129;18;15;67;10;-;13;6;-;-;-
0713201004;Bachenberg;35;7;10;8;-;4;3;-;3;-;-
0713201009;Birnbach;207;25;15;88;28;6;10;13;16;6;-
0713201017;Busenhausen;101;28;16;35;9;3;-;3;7;-;-
0713201022;Eichelhardt;155;23;9;57;16;6;16;10;4;10;4
0713201027;Ersfeld;23;3;3;4;3;-;-;4;3;3;-
0713201031;Fiersbach;102;9;3;34;3;3;12;28;10;-;-
0713201033;Fluterschen;210;24;36;77;16;3;14;24;9;3;4
0713201035;Forstmehren;53;9;6;13;15;-;4;6;-;-;-
0713201040;Gieleroth;215;36;22;69;16;10;6;3;35;12;6
0713201046;Hasselbach, Westerwald;104;7;7;50;9;3;12;7;9;-;-
0713201047;Helmenzen;266;24;19;96;31;7;12;32;16;29;-
0713201048;Helmeroth;84;13;22;28;3;9;-;-;-;3;6
0713201049;Hemmelzen;70;3;15;28;3;6;3;6;6;-;-
0713201051;Heupelzen;84;6;12;21;12;6;9;12;3;3;-
0713201052;Hilgenroth;94;14;4;37;6;4;7;16;6;-;-
0713201053;Hirz-Maulsbach;111;22;19;13;14;-;10;17;13;3;-
0713201056;Idelberg;22;7;3;9;3;-;-;-;-;-;-
0713201057;Ingelbach;180;29;20;63;4;6;16;18;13;7;4
0713201058;Isert;38;3;7;15;4;-;-;6;3;-;-
0713201061;Kettenhausen;86;6;6;29;12;3;15;3;-;3;9
0713201062;Kircheib;199;22;24;66;19;7;9;24;22;6;-
0713201064;Kraam;58;13;15;12;6;3;-;3;3;-;3
0713201067;Mammelzen;305;32;30;120;36;3;18;33;27;3;3
0713201069;Mehren, Westerwald;132;33;3;39;19;3;7;18;3;7;-
0713201070;Michelbach (Westerwald);169;19;25;45;24;10;7;15;21;3;-
0713201074;Neitersen;252;35;44;100;10;3;18;24;9;6;3
0713201081;Obererbach (Westerwald);185;43;16;52;22;-;13;18;11;6;4
0713201082;Oberirsen;201;22;18;80;34;-;21;16;6;4;-
0713201086;Oberwambach;140;15;37;49;6;-;4;17;9;3;-
0713201087;Ölsen;25;6;3;13;3;-;-;-;-;-;-
0713201092;Racksen;59;9;18;16;3;-;-;3;7;3;-
0713201094;Rettersen;125;12;13;31;15;6;16;-;7;22;3
0713201099;Schöneberg, Westerwald;125;25;18;51;3;-;16;3;9;-;-
0713201106;Sörth;67;3;16;15;11;-;6;16;-;-;-
0713201109;Stürzelbach;105;13;6;41;7;3;4;25;6;-;-
0713201110;Volkerzen;27;9;9;9;-;-;-;-;-;-;-
