GENESIS-Tabelle: 31211-11-01-5-B
Wohnungen in Wohngebäuden nach Art der;;;;;;
Wohnungsnutzung - Stichtag 09.05.2011;;;;;;
regionale Ebenen;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;
Stichtag: 09.05.2011;;;;;;
;;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden;Wohnungen in Wohngebäuden
;;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung;Art der Wohnungsnutzung
;;Insgesamt;von Eigentümer/-in bewohnt;zu Wohnzwecken vermietet (auch mietfrei);Ferien- oder Freizeitwohnung;leer stehend
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
03360004;Bienenbüttel;2966;1912;905;49;100
03360025;Uelzen;17188;7545;8829;53;761
03360401;Bevensen, Samtgemeinde;8445;4498;3276;282;389
03360401001;Altenmedingen;-;-;-;-;-
03360401002;Bad Bevensen, Stadt;-;-;-;-;-
03360401003;Barum;-;-;-;-;-
03360401008;Emmendorf;-;-;-;-;-
03360401011;Himbergen;-;-;-;-;-
03360401012;Jelmstorf;-;-;-;-;-
03360401017;Römstedt;-;-;-;-;-
03360401026;Weste;-;-;-;-;-
03360402;Bodenteich, Samtgemeinde;2851;1735;904;66;146
03360402005;Bad Bodenteich;-;-;-;-;-
03360402013;Lüder;-;-;-;-;-
03360402020;Soltendieck;-;-;-;-;-
03360403;Altes Amt Ebstorf, Samtgemeinde;4564;2837;1452;74;201
03360403006;Ebstorf, Klosterflecken;-;-;-;-;-
03360403010;Hanstedt;-;-;-;-;-
03360403014;Natendorf;-;-;-;-;-
03360403019;Schwienau;-;-;-;-;-
03360403029;Wriedel;-;-;-;-;-
03360404;Rosche, Samtgemeinde;3148;2080;831;76;161
03360404015;Oetzen;546;355;161;-;30
03360404016;Rätzlingen, Kr Uelzen;209;122;77;-;10
03360404018;Rosche;920;623;237;16;44
03360404022;Stoetze;298;185;71;26;16
03360404024;Suhlendorf;1175;795;285;34;61
03360405;Suderburg, Samtgemeinde;3244;2057;948;83;156
03360405007;Eimke;387;289;62;9;27
03360405009;Gerdau;679;453;178;3;45
03360405023;Suderburg;2178;1315;708;71;84
03360406;Wrestedt, Samtgemeinde;2999;1972;893;19;115
03360406021;Stadensen;566;393;145;6;22
03360406027;Wieren;1092;677;344;13;58
03360406028;Wrestedt;1341;902;404;-;35
03360407;Bevensen-Ebstorf, Samtgemeinde;-;-;-;-;-
03360407001;Altenmedingen;710;450;198;37;25
03360407002;Bad Bevensen, Stadt;4875;2215;2264;155;241
03360407003;Barum;398;230;148;7;13
03360407006;Ebstorf, Klosterflecken;2336;1408;796;51;81
03360407008;Emmendorf;350;245;87;-;18
03360407010;Hanstedt;404;287;96;4;17
03360407011;Himbergen;859;556;213;50;40
03360407012;Jelmstorf;428;292;91;27;18
03360407014;Natendorf;372;217;133;3;19
03360407017;Römstedt;409;214;173;3;19
03360407019;Schwienau;338;204;104;3;27
03360407026;Weste;416;296;102;3;15
03360407029;Wriedel;1114;721;323;13;57
03360408;Aue, Samtgemeinde;-;-;-;-;-
03360408005;Bad Bodenteich;1764;1012;624;41;87
03360408013;Lüder;585;391;159;13;22
03360408020;Soltendiek;502;332;121;12;37
03360408030;Wrestedt;-;-;-;-;-
03361001;Achim b Bremen;13710;8375;5029;12;294
03361003;Dörverden;3974;2608;1209;15;142
03361005;Kirchlinteln;4228;2938;1163;32;95
03361006;Langwedel, Kr Verden;6014;3981;1893;0;140
03361008;Ottersberg;5148;3239;1716;51;142
03361009;Oyten;6531;4404;1987;-;140
03361012;Verden (Aller);12673;5825;6395;28;425
03361401;Thedinghausen, Samtgemeinde;6370;4127;2049;15;179
03361401002;Blender;1220;806;360;6;48
03361401004;Emtinghausen;926;478;421;6;21
03361401010;Riede;1079;780;260;-;39
03361401013;Thedinghausen;3145;2063;1008;3;71
03401000;Delmenhorst, krsfr. Stadt;36269;17584;17320;26;1339
03402000;Emden, krsfr. Stadt;24410;11888;11679;136;703
03403000;Oldenburg(Oldb), krsfr. Stadt;81916;32586;47963;126;1229
03404000;Osnabrück, krsfr. Stadt;80932;26668;51811;86;2361
03405000;Wilhelmshaven, krsfr. Stadt;43461;12627;28107;253;2474
03451001;Apen;4765;3075;1556;25;109
03451002;Bad Zwischenahn;13494;7416;5397;376;305
03451004;Edewecht;8706;5944;2601;26;135
03451005;Rastede;9179;5827;3129;52;171
03451007;Westerstede;9409;5783;3370;88;168
03451008;Wiefelstede;6408;4116;2122;95;75
03452001;Aurich (Ostfr.);18785;11558;6606;164;457
03452002;Baltrum;460;125;135;172;28
03452006;Großefehn;5572;4107;1247;100;118
03452007;Großheide;3572;2598;765;115;94
03452011;Hinte;3096;2522;466;25;83
03452012;Ihlow, Ostfriesl;4935;3912;884;62;77
03452013;Juist;1297;319;361;583;34
03452014;Krummhörn;6031;4350;985;564;132
03452019;Norden;13409;6979;4945;1135;350
03452020;Norderney;4791;1142;1887;1633;129
03452023;Südbrookmerland;7588;5626;1689;122;151
03452025;Wiesmoor;5678;4015;1472;57;134
03452027;Dornum;3753;1543;701;1407;102
03452401;Brookmerland, Samtgemeinde;5689;3987;1390;196;116
03452401015;Leezdorf;762;574;142;25;21
03452401017;Marienhafe;1033;622;361;25;25
03452401021;Osteel;966;718;173;56;19
03452401022;Rechtsupweg;829;619;182;19;9
03452401024;Upgant-Schott;1626;1110;441;39;36
03452401026;Wirdum;473;344;91;32;6
03452403;Hage, Samtgemeinde;5775;3420;1568;625;162
03452403003;Berumbur;1326;818;306;183;19
03452403008;Hage;3412;1963;1006;334;109
03452403009;Hagermarsch;256;114;63;72;7
03452403010;Halbemond;460;295;118;29;18
03452403016;Lütetsburg;321;230;75;7;9
03452501;Nordseeinsel Memmert, gem.fr. Geb.;-;-;-;-;-
03453001;Barßel;4933;3384;1377;74;98
03453002;Bösel;2629;1858;716;3;52
03453003;Cappeln (Oldenburg);2250;1616;606;0;28
03453004;Cloppenburg;12987;6503;6287;12;185
03453005;Emstek;3767;2728;965;12;62
03453006;Essen (Oldenburg);3000;2014;917;15;54
03453007;Friesoythe;7347;5104;2106;13;124
03453008;Garrel;4351;3107;1191;3;50
03453009;Lastrup;2355;1729;582;9;35
03453010;Lindern (Oldenburg);1621;1212;358;21;30
03453011;Löningen;4988;3446;1445;13;84
03453012;Molbergen;2469;1738;657;41;33
03453013;Saterland;4877;3260;1509;13;95
03454010;Emsbüren;3617;2664;797;101;52
03454014;Geeste;3931;3113;733;21;64
03454018;Haren (Ems);8600;6404;2000;64;132
03454019;Haselünne;4800;3537;1155;34;74
03454032;Lingen (Ems);22449;12372;9626;48;403
03454035;Meppen;14159;9387;4536;48;188
03454041;Papenburg;14468;8534;5575;115;244
03454044;Rhede (Ems);1478;1201;227;25;25
03454045;Salzbergen;2819;1999;770;16;34
03454054;Twist;3432;2778;575;15;64
03454401;Dörpen, Samtgemeinde;5871;4381;1348;49;93
03454401007;Dersum;472;425;47;-;-
03454401008;Dörpen;1875;1183;661;9;22
03454401020;Heede, Ems;967;653;261;25;28
03454401025;Kluse;601;485;98;-;18
03454401030;Lehe, Ems;349;294;49;3;3
03454401037;Neubörger;580;471;99;-;10
03454401038;Neulehe;277;233;35;3;6
03454401056;Walchum;443;389;39;9;6
03454401060;Wippingen;307;248;59;-;-
03454402;Freren, Samtgemeinde;3669;2516;1027;41;85
03454402001;Andervenne;272;232;34;-;6
03454402003;Beesten;542;436;78;3;25
03454402012;Freren;1940;1169;705;35;31
03454402036;Messingen;345;276;60;3;6
03454402053;Thuine;570;403;150;-;17
03454403;Herzlake, Samtgemeinde;3561;2809;662;28;62
03454403009;Dohren, Emsl;388;333;42;3;10
03454403021;Herzlake;1530;1115;389;6;20
03454403026;Lähden;1643;1361;231;19;32
03454404;Lathen, Samtgemeinde;4191;3189;893;38;71
03454404013;Fresenburg;366;301;47;6;12
03454404029;Lathen;2376;1673;644;13;46
03454404039;Niederlangen;443;379;57;4;3
03454404040;Oberlangen;336;281;49;6;-
03454404043;Renkenberge;233;178;49;-;6
03454404052;Sustrum;437;377;47;9;4
03454405;Lengerich, Samtgemeinde;3114;2341;683;26;64
03454405002;Bawinkel;802;606;172;3;21
03454405015;Gersten;430;325;86;7;12
03454405017;Handrup;256;216;34;-;6
03454405028;Langen, Emsl;477;390;81;3;3
03454405031;Lengerich, Emsl;976;650;291;13;22
03454405059;Wettrup;173;154;19;-;-
03454406;Nordhümmling, Samtgemeinde;4294;3308;880;24;82
03454406004;Bockhorst;347;292;43;3;9
03454406006;Breddenberg;271;231;37;-;3
03454406011;Esterwegen;1829;1383;420;3;23
03454406022;Hilkenbrook;286;215;63;-;8
03454406051;Surwold;1561;1187;317;18;39
03454407;Sögel, Samtgemeinde;5569;4047;1402;54;66
03454407005;Börger;1020;744;234;10;32
03454407016;Groß Berßen;219;213;6;-;-
03454407023;Hüven;184;140;41;3;-
03454407024;Klein Berßen;374;324;43;-;7
03454407047;Sögel;2551;1614;887;32;18
03454407048;Spahnharrenstätte;498;407;88;-;3
03454407050;Stavern;368;319;43;3;3
03454407058;Werpeloh;355;286;60;6;3
03454408;Spelle, Samtgemeinde;4376;3074;1195;44;63
03454408034;Lünne;698;515;131;35;17
03454408046;Schapen;759;562;182;3;12
03454408049;Spelle;2919;1997;882;6;34
03454409;Werlte, Samtgemeinde;5630;3986;1539;24;81
03454409027;Lahn;296;228;65;3;-
03454409033;Lorup;1029;761;238;9;21
03454409042;Rastdorf;347;301;40;-;6
03454409055;Vrees;548;444;85;3;16
03454409057;Werlte;3410;2252;1111;9;38
03455007;Jever;6705;3638;2846;59;162
03455014;Sande;4214;2738;1356;25;95
03455015;Schortens;9355;6045;3028;46;236
03455020;Wangerland;5581;2841;1393;1161;186
03455021;Wangerooge;1757;383;422;895;57
03455025;Bockhorn, Jadebusen;3846;2432;1251;47;116
03455026;Varel;11766;6632;4395;441;298
03455027;Zetel;5020;3198;1698;12;112
03456001;Bad Bentheim;6631;4335;2065;73;158
03456015;Nordhorn;23010;14405;8129;68;405
03456025;Wietmarschen;3886;2963;875;9;39
03456401;Emlichheim, Samtgemeinde;5153;4032;1023;25;73
03456401002;Emlichheim;2668;2001;622;3;42
03456401009;Hoogstede;1002;823;167;3;9
03456401012;Laar;733;591;129;10;3
03456401019;Ringe;750;617;105;9;19
03456402;Neuenhaus, Samtgemeinde;5345;3918;1297;26;104
03456402004;Esche;194;162;28;-;4
03456402005;Georgsdorf;449;385;61;3;-
03456402013;Lage, Dinkel;387;303;67;3;14
03456402014;Neuenhaus;3930;2754;1082;14;80
03456402017;Osterwald;385;314;59;6;6
03456403;Schüttorf, Samtgemeinde;6020;4318;1605;18;79
03456403003;Engden;131;112;15;-;4
03456403010;Isterberg;205;166;33;3;3
03456403016;Ohne;212;174;29;3;6
03456403018;Quendorf;180;157;19;-;4
03456403020;Samern;262;202;48;-;12
03456403021;Schüttorf, Stadt;4649;3194;1393;12;50
03456403022;Suddendorf;381;313;68;-;-
03456403027;Schüttorf, Stadt;-;-;-;-;-
03456404;Uelsen, Samtgemeinde;4333;3328;884;51;67
03456404006;Getelo;178;151;21;-;6
03456404007;Gölenkamp;234;175;56;3;-
03456404008;Halle b Neuenhaus, Dinkel;233;187;40;3;3
03456404011;Itterbeck;616;484;119;-;13
03456404023;Uelsen;2286;1676;539;39;32
03456404024;Wielen;211;181;30;-;-
03456404026;Wilsum;575;474;79;6;13
03457002;Borkum;4697;1120;2262;1141;174
03457012;Jemgum;1780;1178;375;156;71
03457013;Leer (Ostfriesland);16062;7944;7670;103;345
03457014;Moormerland;9509;6833;2413;100;163
03457017;Ostrhauderfehn;4456;3155;1161;34;106
03457018;Rhauderfehn;7178;5013;1913;70;182
03457020;Uplengen;4381;3288;981;33;79
03457021;Weener;6640;4813;1622;65;137
03457022;Westoverledingen;8057;5899;1939;54;165
03457024;Bunde;3296;2360;723;126;87
03457402;Hesel, Samtgemeinde;4339;3181;1042;30;86
03457402003;Brinkum;304;226;71;-;7
03457402009;Firrel;321;224;79;12;6
03457402010;Hesel;1869;1269;566;12;22
03457402011;Holtland;898;695;179;3;21
03457402015;Neukamperfehn;664;517;129;-;18
03457402019;Schwerinsdorf;283;250;18;3;12
03457403;Jümme, Samtgemeinde;2652;1896;615;73;68
03457403006;Detern;1135;752;301;46;36
03457403008;Filsum;868;636;191;18;23
03457403016;Nortmoor;649;508;123;9;9
03457501;Insel Lütje Hörn, gem.fr. Geb.;-;-;-;-;-
03458003;Dötlingen;2455;1644;701;52;58
03458005;Ganderkesee;13181;8363;4482;31;305
03458007;Großenkneten;5534;3635;1752;34;113
03458009;Hatten;5713;3781;1783;49;100
03458010;Hude (Oldenburg);6797;4272;2359;38;128
03458013;Wardenburg;6602;4371;2090;25;116
03458014;Wildeshausen;7833;4167;3503;42;118
03458401;Harpstedt, Samtgemeinde;4615;2869;1584;42;120
03458401001;Beckeln;308;223;79;6;-
03458401002;Colnrade;305;225;63;3;14
03458401004;Dünsen;524;362;131;6;25
03458401006;Groß Ippener;405;277;118;3;7
03458401008;Harpstedt;2071;1163;861;6;41
03458401011;Kirchseelte;507;343;135;9;20
03458401012;Prinzhöfte;253;163;74;3;13
03458401015;Winkelsett;242;113;123;6;0
03459003;Bad Essen;6249;3425;2546;32;246
03459004;Bad Iburg;4707;2473;2090;12;132
03459005;Bad Laer;3563;1836;1606;15;106
03459006;Bad Rothenfelde;4074;1610;2216;90;158
03459008;Belm;5611;3157;2283;3;168
03459012;Bissendorf;5958;3655;2090;22;191
03459013;Bohmte;4960;3062;1747;12;139
03459014;Bramsche;12613;7166;5092;37;318
03459015;Dissen am Teutob. Wald;3991;1896;1945;4;146
03459019;Georgsmarienhütte;14238;7426;6359;6;447
03459020;Hagen am Teutoburger Wald;5573;3033;2383;9;148
03459021;Hasbergen;4899;2764;1969;-;163
03459022;Hilter am Teutob. Wald;4123;2206;1775;12;127
03459024;Melle;19087;11234;7154;35;664
03459029;Ostercappeln;3613;2118;1377;12;106
03459033;Wallenhorst;9823;5734;3876;9;204
03459034;Glandorf;2302;1500;757;10;35
03459401;Artland, Samtgemeinde;9168;5156;3646;48;315
03459401007;Badbergen;1706;1078;551;21;56
03459401025;Menslage;952;639;265;11;37
03459401028;Nortrup;1067;748;298;3;18
03459401030;Quakenbrück;5443;2691;2532;13;204
03459402;Bersenbrück, Samtgemeinde;10355;6270;3808;81;196
03459402001;Alfhausen;1334;854;440;-;40
03459402002;Ankum;2730;1507;1158;18;47
03459402010;Bersenbrück;2955;1680;1212;7;56
03459402016;Eggermühlen;618;385;227;-;6
03459402018;Gehrde;838;575;247;-;16
03459402023;Kettenkamp;591;436;143;-;12
03459402031;Rieste;1289;833;381;56;19
03459403;Fürstenau, Samtgemeinde;6299;3826;2206;31;236
03459403009;Berge b Quakenbrück;1326;961;325;12;28
03459403011;Bippen;1172;804;330;6;32
03459403017;Fürstenau;3801;2061;1551;13;176
03459404;Neuenkirchen, Samtgemeinde;3346;2329;961;7;49
03459404026;Merzen;1245;874;343;-;28
03459404027;Neuenkirchen b Bramsche, Hase;1545;1010;514;3;18
03459404032;Voltlage;556;445;104;4;3
03460001;Bakum;1979;1446;495;6;32
03460002;Damme, Dümmer;6144;3847;2160;54;83
03460003;Dinklage;4567;3008;1503;10;46
03460004;Goldenstedt;3421;2367;1006;6;42
03460005;Holdorf, Niedersachs;2348;1619;707;-;22
03460006;Lohne (Oldenburg);9289;5876;3280;9;124
03460007;Neuenkirchen-Vörden;2795;1806;928;10;51
03460008;Steinfeld (Oldenburg);3372;2093;1240;15;24
03460009;Vechta;12372;6788;5395;22;167
03460010;Visbek;3154;2359;750;7;38
03461001;Berne;2912;1967;860;6;79
03461002;Brake (Unterweser);7465;3806;3369;23;264
03461003;Butjadingen;4251;1901;972;1228;150
03461004;Elsfleth;4356;2231;1966;43;116
03461005;Jade;2482;1655;662;97;68
03461006;Lemwerder;3200;1884;1184;18;114
03461007;Nordenham;13061;6619;5756;77;609
03461008;Ovelgönne;2270;1482;694;40;54
03461009;Stadland;3361;2124;1057;82;98
03462005;Friedeburg;4273;2989;1102;54;128
03462007;Langeoog;1759;448;475;791;45
03462014;Spiekeroog;559;134;210;197;18
03462019;Wittmund;9941;5724;3102;826;289
03462401;Esens, Samtgemeinde;7788;4067;2187;1346;188
03462401002;Dunum;489;383;81;25;-
03462401003;Esens;3879;1923;1396;433;127
03462401006;Holtgast;822;555;141;111;15
03462401008;Moorweg;367;264;73;27;3
03462401010;Neuharlingersiel;950;287;200;454;9
03462401015;Stedesdorf;722;430;221;52;19
03462401017;Werdum;559;225;75;244;15
03462402;Holtriem, Samtgemeinde;3851;2705;912;156;78
03462402001;Blomberg, Ostfriesl;680;490;171;13;6
03462402004;Eversmeer;354;268;54;26;6
03462402009;Nenndorf;293;210;61;13;9
03462402011;Neuschoo;497;340;117;22;18
03462402012;Ochtersum;438;299;82;42;15
03462402013;Schweindorf;260;178;75;7;-
03462402016;Utarp;275;173;81;21;-
03462402018;Westerholt;1054;747;271;12;24
04011000;Bremen, krsfr. Stadt;276314;107971;159972;190;8177
04012000;Bremerhaven, krsfr. Stadt;60899;18200;38612;149;3938
05111000;Düsseldorf, krsfr. Stadt;321622;74462;237595;365;9163
05112000;Duisburg, krsfr. Stadt;248803;67135;168164;203;13301
05113000;Essen, krsfr. Stadt;300047;78147;208548;129;13207
05114000;Krefeld, krsfr. Stadt;114800;41622;67702;54;5419
05116000;Mönchengladbach, krsfr. Stadt;128158;48021;74264;36;5827
05117000;Mülheim an der Ruhr, krsfr. Stadt;87113;29368;54418;45;3278
05119000;Oberhausen, krsfr. Stadt;105687;34189;67258;88;4143
05120000;Remscheid, krsfr. Stadt;56796;19532;33649;3;3612
05122000;Solingen, krsfr. Stadt;78125;28454;45682;51;3935
05124000;Wuppertal, krsfr. Stadt;184966;57275;117131;80;10467
05154004;Bedburg-Hau;5039;3405;1537;12;85
05154008;Emmerich am Rhein;14081;7584;6049;27;421
05154012;Geldern;14054;7640;6029;25;360
05154016;Goch;14547;8008;6182;18;307
05154020;Issum;5061;3117;1846;3;95
05154024;Kalkar;5598;3327;2092;22;148
05154028;Kerken;5250;3238;1870;13;129
05154032;Kevelaer;11625;6438;4920;24;243
05154036;Kleve, Niederrhein;22939;10719;11555;21;638
05154040;Kranenburg, Niederrhein;4289;3012;1176;13;88
05154044;Rees;8834;5209;3424;18;183
05154048;Rheurdt;2806;1712;988;37;69
05154052;Straelen;5993;3503;2335;9;146
05154056;Uedem;3254;1967;1187;-;96
05154060;Wachtendonk;3208;1773;1349;6;80
05154064;Weeze;4209;2646;1442;-;121
05158004;Erkrath;22153;11008;10660;0;485
05158008;Haan;14540;6902;7203;10;425
05158012;Heiligenhaus;12724;5654;6484;12;574
05158016;Hilden;27341;10195;16445;6;695
05158020;Langenfeld (Rhld.);26582;13030;13007;0;542
05158024;Mettmann;18283;8298;9325;17;643
05158026;Monheim am Rhein;19161;8956;9712;6;487
05158028;Ratingen;43861;20133;22673;19;1032
05158032;Velbert;39036;15492;21794;15;1735
05158036;Wülfrath;9951;4561;5056;6;328
05162004;Dormagen;27280;13954;12576;3;747
05162008;Grevenbroich;28211;14676;12768;10;757
05162012;Jüchen;9829;6300;3328;3;198
05162016;Kaarst;19417;11535;7528;21;333
05162020;Korschenbroich;14546;8655;5562;6;319
05162022;Meerbusch;26428;12836;12947;19;623
05162024;Neuss;71428;28309;41210;21;1881
05162028;Rommerskirchen;5418;3578;1703;-;137
05166004;Brüggen, Niederrhein;6762;4035;2556;3;168
05166008;Grefrath;6289;3946;2197;3;143
05166012;Kempen;15679;8395;6924;18;342
05166016;Nettetal;18305;9702;8077;46;476
05166020;Niederkrüchten;6487;4228;2034;76;149
05166024;Schwalmtal, Niederrhein;8209;4662;3276;16;255
05166028;Tönisvorst;13409;7266;5855;7;281
05166032;Viersen;36083;16010;18495;40;1535
05166036;Willich;22395;12753;9175;9;458
05170004;Alpen;5258;3504;1642;3;109
05170008;Dinslaken;31389;12963;17563;6;857
05170012;Hamminkeln;10739;6914;3590;22;210
05170016;Hünxe;5770;3617;2033;9;111
05170020;Kamp-Lintfort;17065;7041;9486;10;528
05170024;Moers;49144;20102;27711;16;1315
05170028;Neukirchen-Vluyn;12355;6269;5719;10;357
05170032;Rheinberg;13913;7831;5702;6;374
05170036;Schermbeck;5605;3231;2237;3;134
05170040;Sonsbeck;3333;1984;1232;18;99
05170044;Voerde (Niederrhein);16214;8129;7666;3;416
05170048;Wesel;27572;12672;14196;21;677
05170052;Xanten;8960;5424;3285;49;202
05313000;Aachen, Stadt (alt);-;-;-;-;-
05314000;Bonn, krsfr. Stadt;158848;50888;103512;202;4217
05315000;Köln, krsfr. Stadt;521440;138369;370171;294;12570
05316000;Leverkusen, krsfr. Stadt;77784;26922;48753;39;2067
05334002;Aachen, krfr. Stadt;127714;32976;91345;84;3286
05334004;Alsdorf, Stadt (ab 21.10.2009);20645;9402;10666;3;574
05334008;Baesweiler, Stadt (ab 21.10.2009);11210;5436;5435;7;332
05334012;Eschweiler, Stadt (ab 21.10.2009);25514;10880;13700;11;923
05334016;Herzogenrath, Stadt (ab 21.10.2009);21467;10101;10615;7;741
05334020;Monschau, Stadt (ab 21.10.2009);5585;3852;1456;83;194
05334024;Roetgen (ab 21.10.2009);3550;2415;1010;32;93
05334028;Simmerath (ab 21.10.2009);6941;4157;2279;274;228
05334032;Stolberg (Rhld.), Stadt (ab 21.10.2009);26223;11388;13601;57;1174
05334036;Würselen, Stadt (ab 21.10.2009);17617;7538;9530;6;543
05354004;Alsdorf, Stadt;-;-;-;-;-
05354008;Baesweiler, Stadt;-;-;-;-;-
05354012;Eschweiler, Stadt;-;-;-;-;-
05354016;Herzogenrath, Stadt;-;-;-;-;-
05354020;Monschau, Stadt;-;-;-;-;-
05354024;Roetgen;-;-;-;-;-
05354028;Simmerath;-;-;-;-;-
05354032;Stolberg (Rhld.), Stadt;-;-;-;-;-
05354036;Würselen, Stadt;-;-;-;-;-
05358004;Aldenhoven;5951;3059;2702;4;182
05358008;Düren;40747;16884;22251;15;1591
05358012;Heimbach, Eifel;2022;1331;533;74;84
05358016;Hürtgenwald;3725;2743;872;10;100
05358020;Inden;3005;1847;1086;3;69
05358024;Jülich;15044;7215;7382;3;444
05358028;Kreuzau;7731;5019;2438;46;228
05358032;Langerwehe;6030;3929;1919;3;179
05358036;Linnich;5777;3541;1972;6;258
05358040;Merzenich;4257;2594;1559;-;104
05358044;Nideggen;4365;3042;1065;77;181
05358048;Niederzier;5677;3710;1823;-;140
05358052;Nörvenich;4404;2830;1438;3;133
05358056;Titz;3487;2333;1025;3;126
05358060;Vettweiß;3715;2468;1126;3;118
05362004;Bedburg;10135;6071;3752;9;303
05362008;Bergheim, Erft;26967;13921;12024;15;1004
05362012;Brühl, Rheinl;20895;9179;10960;43;713
05362016;Elsdorf, Stadt;9251;5298;3676;7;270
05362020;Erftstadt;22037;13452;8065;15;505
05362024;Frechen;23222;11369;11297;9;547
05362028;Hürth;27005;12310;13963;23;697
05362032;Kerpen;28719;15321;12550;18;827
05362036;Pulheim;23632;14650;8465;21;490
05362040;Wesseling;15896;6887;8495;12;502
05366004;Bad Münstereifel;8418;5188;2769;128;333
05366008;Blankenheim, Ahr;3994;2668;923;230;169
05366012;Dahlem, b Kall;1940;1360;388;79;113
05366016;Euskirchen;24899;11975;12156;33;735
05366020;Hellenthal;3913;2672;880;191;170
05366024;Kall;5092;3263;1617;53;159
05366028;Mechernich;11374;7438;3491;55;386
05366032;Nettersheim;3334;2360;799;32;143
05366036;Schleiden;5949;3665;1961;56;267
05366040;Weilerswist;7006;4313;2483;-;210
05366044;Zülpich;8396;5086;3041;9;260
05370004;Erkelenz;19084;10921;7356;3;800
05370008;Gangelt;4765;2869;1658;-;116
05370012;Geilenkirchen;11726;5766;5471;15;326
05370016;Heinsberg (Rhld.);17495;9695;7237;6;516
05370020;Hückelhoven;16222;8455;7295;9;451
05370024;Selfkant;4465;2886;1386;-;125
05370028;Übach-Palenberg;10719;5379;4817;18;498
05370032;Waldfeucht;3635;2469;1035;23;88
05370036;Wassenberg;7228;4636;2380;14;198
05370040;Wegberg;12601;7994;4200;41;357
05374004;Bergneustadt;8412;4056;3716;21;616
05374008;Engelskirchen;8945;5186;3340;31;388
05374012;Gummersbach;24089;11658;11275;44;1112
05374016;Hückeswagen;6952;3428;3200;6;318
05374020;Lindlar;9126;5402;3423;12;289
05374024;Marienheide;5794;3490;2013;39;249
05374028;Morsbach;4603;2906;1458;42;197
05374032;Nümbrecht;7305;4503;2465;62;275
05374036;Radevormwald;10583;4733;5328;35;484
05374040;Reichshof;8219;5269;2497;57;396
05374044;Waldbröl;8064;4473;3133;61;397
05374048;Wiehl;11459;6775;4175;51;458
05374052;Wipperfürth;9482;5098;4035;16;333
05378004;Bergisch Gladbach;52540;25503;25531;58;1441
05378008;Burscheid, Rheinl;8267;4274;3677;-;316
05378012;Kürten;8554;5042;3137;25;350
05378016;Leichlingen (Rhld.);12927;6687;5832;28;380
05378020;Odenthal;6689;4127;2345;6;211
05378024;Overath;11822;6712;4718;25;364
05378028;Rösrath;12745;7010;5312;17;406
05378032;Wermelskirchen;16790;8455;7630;21;678
05382004;Alfter;10210;5723;4234;3;250
05382008;Bad Honnef;11730;6032;5338;39;318
05382012;Bornheim, Rheinl;20299;10967;8845;9;478
05382016;Eitorf;8227;4620;3217;30;360
05382020;Hennef (Sieg);18833;11374;6986;38;435
05382024;Königswinter;18610;10737;7254;61;558
05382028;Lohmar;12898;8294;4298;9;294
05382032;Meckenheim, Rheinl;10245;6444;3498;6;290
05382036;Much;6296;3879;2123;47;247
05382040;Neunkirchen-Seelscheid;8580;5513;2792;47;228
05382044;Niederkassel;15175;8875;6065;3;232
05382048;Rheinbach;11652;6137;5222;23;270
05382052;Ruppichteroth;4368;2820;1350;21;177
05382056;Sankt Augustin;25048;13225;11083;19;721
05382060;Siegburg;18440;7263;10692;21;461
05382064;Swisttal;7497;4695;2632;-;170
05382068;Troisdorf;33317;14484;17999;6;828
05382072;Wachtberg;8539;5023;3242;6;259
05382076;Windeck;8679;5585;2564;89;438
05512000;Bottrop, krsfr. Stadt;56559;20754;33971;39;1795
05513000;Gelsenkirchen, krsfr. Stadt;133132;29835;94460;59;8769
05515000;Münster, krsfr. Stadt;149808;45823;100585;180;3191
05554004;Ahaus;14569;9255;5083;3;225
05554008;Bocholt;31451;17307;13583;13;548
05554012;Borken;16899;9596;6883;58;362
05554016;Gescher;6330;3845;2375;3;107
05554020;Gronau (Westf.);19123;11122;7616;33;352
05554024;Heek;2992;2122;761;51;58
05554028;Heiden;2970;1873;1041;-;56
05554032;Isselburg;4316;2837;1382;-;97
05554036;Legden;2503;1587;858;3;55
05554040;Raesfeld;4255;2360;1836;8;51
05554044;Reken;5596;3434;2031;10;121
05554048;Rhede;7512;4620;2765;3;124
05554052;Schöppingen;2244;1463;734;3;44
05554056;Stadtlohn;7529;4860;2542;12;112
05554060;Südlohn;3377;2275;1034;9;59
05554064;Velen, Stadt;4906;3080;1709;6;111
05554068;Vreden;8526;5653;2652;49;172
05558004;Ascheberg;5907;3184;2593;3;127
05558008;Billerbeck;4572;2877;1482;115;98
05558012;Coesfeld;15264;8293;6686;9;276
05558016;Dülmen;19437;10726;8247;65;384
05558020;Havixbeck;4698;2803;1814;7;71
05558024;Lüdinghausen;9887;5045;4589;17;233
05558028;Nordkirchen;3946;2329;1522;-;95
05558032;Nottuln;7787;4788;2795;9;195
05558036;Olfen;5094;3026;1921;49;98
05558040;Rosendahl;3962;2768;1038;3;153
